n-gram,frekvence
dnes,224
sociální,168
čssd,148
eu,147
než,147
let,142
práce,124
více,111
čr,108
opravdu,104
musí,101
jejich,99
také,99
další,94
lidí,93
děti,92
podle,91
lidé,88
mají,86
všem,82
návrh,80
třeba,80
velmi,74
všechny,73
lidi,73
hodně,70
zlíně,70
den,69
proti,69
české,69
stát,69
díky,67
jeho,67
rok,66
pak,66
naše,63
mezi,63
mne,63
zdravotním,63
práci,62
své,62
první,62
nejen,62
zdravotnictví,61
jim,61
peníze,61
roce,61
postižením,61
ministr,58
sociálních,55
sněmovně,55
tedy,54
demokracie,54
nyní,53
řešení,53
téma,53
říká,52
roku,52
jednání,52
dětí,50
zdravotní,50
ano,50
přeji,49
naší,49
chce,49
problém,48
život,48
měl,48
života,48
ženy,47
zde,47
vláda,46
kraje,46
zákona,46
dětmi,46
my,45
služby,45
děkuji,45
jde,45
musíme,45
zdravotním postižením,56
sociální demokracie,36
více než,25
veřejné služby,20
zdravotní péče,20
rodičovského příspěvku,20
víc než,19
sociální demokraté,17
zlínského kraje,17
jana maláčová,16
lidi zdravotním,16
sociální služby,16
minimální mzdy,16
rodiny dětmi,16
více zde,16
sociálních služeb,15
zlínském kraji,15
evropského parlamentu,14
via cc,14
rodičovský příspěvek,13
alena gajdůšková,13
poslanecké sněmovně,13
zdravotní péči,12
sociální demokracii,12
práce sociálních,12
zlínský kraj,12
mld kč,11
velké blahopřání,11
tisíc korun,11
české republice,11
životního prostředí,11
sociálních službách,11
sociálních věcí,11
lidí zdravotním,11
návrh zákona,11
klimatické změny,11
hodně úspěchů,10
prvního dne,10
přeji hodně,10
opravdu ráda,10
přeji všem,10
ministr toman,10
zálohované výživné,9
česká republika,9
lidských práv,9
nové nemocnice,9
lidé zdravotním,9
mimo jiné,9
miloš zeman,9
30 let,9
jan hamáček,9
zvýšení rodičovského,9
příští rok,8
mužů žen,8
navýšení rodičovského,8
klimatickou změnu,8
zrušení karenční,8
karenční doby,8
rodin dětmi,8
ministra kultury,8
lidská práva,8
4 let,8
dostupné bydlení,8
všechny děti,8
prostřednictvím uživatele,8
malými dětmi,8
české republiky,8
hodně zdraví,8
hodně štěstí,8
dvojí kvalitě,8
zaměstnávání lidí,8
žen mužů,7
volby evropského,7
evropské komise,7
očima saši,7
saši mitrofanova,7
sociální demokraty,7
osob zdravotním,7
poslaneckého klubu,7
méně než,7
lidi zdravotním postižením,14
lidí zdravotním postižením,11
práce sociálních věcí,10
lidé zdravotním postižením,9
zrušení karenční doby,8
zvýšení rodičovského příspěvku,8
volby evropského parlamentu,7
očima saši mitrofanova,7
osob zdravotním postižením,7
zvýšení minimální mzdy,7
prezident miloš zeman,7
navýšení rodičovského příspěvku,7
zaměstnávání lidí zdravotním,7
dofinancování sociálních služeb,6
médií veřejné služby,6
ministryně práce sociálních,6
dvojí kvalitě potravin,6
kvalitní zdravotní péče,5
zaměstnávání osob zdravotním,5
poslaneckého klubu čssd,5
všechny rodiny dětmi,5
dětmi 4 let,5
hodně zdraví štěstí,5
řešení klimatické změny,5
nemocenské prvního dne,4
alena gajdůšková čssd,4
výboru alena gajdůšková,4
děti lidi zdravotním,4
místopředsedkyně sociálního výboru,4
rodiny dětmi 4,4
média veřejné služby,4
mld kc roce,4
spoluúčasti pacientů zdravotní,3
pacientů zdravotní péči,3
placení nemocenské prvního,3
dne zvyšování platů,3
přeji hodně sil,3
rovnosti žen mužů,3
přeji hodně úspěchů,3
sociální demokraté zlínském,3
demokraté zlínském kraji,3
dostupná kvalitní zdravotní,3
osoby zdravotním postižením,3
navýšení příspěvku zaměstnávání,3
stát musí zajistit,3
minimální důstojná mzda,3
rodin dětmi dětí,3
konfederace odborových svazů,3
více než rok,3
rok leží sněmovně,3
leží sněmovně návrh,3
sociálního výboru alena,3
zákona pobytu cizinců,3
lidem zdravotním postižením,3
zaměstnavatelů zdravotně postižených,3
děti 4 let,3
zdravotním postižením seniory,3
volte číslo 7,3
krajská konference čssd,3
délku zdravého života,3
navýšení příspěvků zaměstnávání,3
příspěvků zaměstnávání osob,3
navýšení minimální mzdy,3
nové nemocnice zlíně,3
kratší pracovní dobu,3
prvního dne nemoci,3
komise spravedlivé důchody,3
zaměstnávání lidi zdravotním,3
musí prvé řadě,3
nového ministra kultury,3
systému zdravotní péče,3
přeji všem srdce,3
ministr zemědělství miroslav,3
zemědělství miroslav toman,3
sociální demokracie dnes,3
mezinárodní konferenci práce,3
zrušit platby státu,3
velká část lidí,3
úpravy pracovního místa,3
vyčerpat všechny prostředky,3
zaměstnávání lidí zdravotním postižením,7
ministryně práce sociálních věcí,6
zaměstnávání osob zdravotním postižením,5
děti lidi zdravotním postižením,4
všechny rodiny dětmi 4,4
rodiny dětmi 4 let,4
spoluúčasti pacientů zdravotní péči,3
placení nemocenské prvního dne,3
sociální demokraté zlínském kraji,3
dostupná kvalitní zdravotní péče,3
rok leží sněmovně návrh,3
místopředsedkyně sociálního výboru alena,3
sociálního výboru alena gajdůšková,3
příspěvků zaměstnávání osob zdravotním,3
zaměstnávání lidi zdravotním postižením,3
ministr zemědělství miroslav toman,3
dnešních interpelacích ministry zaznělo,2
interpelacích ministry zaznělo náklady,2
ministry zaznělo náklady zdravotního,2
zaznělo náklady zdravotního systému,2
náklady zdravotního systému řešení,2
zdravotního systému řešení důsledků,2
systému řešení důsledků kouření,2
řešení důsledků kouření 100,2
důsledků kouření 100 mld,2
kouření 100 mld kč,2
100 mld kč kuřáci,2
mld kč kuřáci měli,2
kč kuřáci měli ostatním,2
kuřáci měli ostatním daňovým,2
měli ostatním daňovým poplatníkům,2
ostatním daňovým poplatníkům aspoň,2
daňovým poplatníkům aspoň trochu,2
poplatníkům aspoň trochu vrátit,2
aspoň trochu vrátit podobné,2
rodičovský příspěvek zvýšené důchody,2
příspěvek zvýšené důchody zálohované,2
zvýšené důchody zálohované výživné,2
důchody zálohované výživné placení,2
zálohované výživné placení nemocenské,2
výživné placení nemocenské prvního,2
nemocenské prvního dne zvyšování,2
prvního dne zvyšování platů,2
dne zvyšování platů investice,2
zvyšování platů investice lidí,2
platů investice lidí my,2
investice lidí my lidi,2
my venkově jaře nemáme,2
venkově jaře nemáme příliš,2
jaře nemáme příliš času,2
nemáme příliš času sedět,2
příliš času sedět pc,2
času sedět pc nyní,2
sedět pc nyní telegraficky,2
pc nyní telegraficky přes,2
nyní telegraficky přes veškeré,2
telegraficky přes veškeré stranické,2
přes veškeré stranické preference,2
veškeré stranické preference trošku,2
stranické preference trošku závidím,2
preference trošku závidím slovákům,2
trošku závidím slovákům nejvyšší,2
závidím slovákům nejvyšší funkce,2
slovákům nejvyšší funkce dokázali,2
nejvyšší funkce dokázali zvolit,2
funkce dokázali zvolit ženu,2
dokázali zvolit ženu paní,2
zvolit ženu paní čaputové,2
ženu paní čaputové přeji,2
přeji hodně sil zdraví,2
přece musí vadit mužům,2
musí vadit mužům vždyť,2
vadit mužům vždyť jde,2
mužům vždyť jde jejich,2
vždyť jde jejich ženy,2
jde jejich ženy dcery,2
jejich ženy dcery přítelkyně,2
přeji hodně úspěchů práci,2
standardní daň kterou používá,2
skončila první hodina letošního,2
všechny rodiny dětmi 4 let,4
místopředsedkyně sociálního výboru alena gajdůšková,3
příspěvků zaměstnávání osob zdravotním postižením,3
dnešních interpelacích ministry zaznělo náklady,2
interpelacích ministry zaznělo náklady zdravotního,2
ministry zaznělo náklady zdravotního systému,2
zaznělo náklady zdravotního systému řešení,2
náklady zdravotního systému řešení důsledků,2
zdravotního systému řešení důsledků kouření,2
systému řešení důsledků kouření 100,2
řešení důsledků kouření 100 mld,2
důsledků kouření 100 mld kč,2
kouření 100 mld kč kuřáci,2
100 mld kč kuřáci měli,2
mld kč kuřáci měli ostatním,2
kč kuřáci měli ostatním daňovým,2
kuřáci měli ostatním daňovým poplatníkům,2
měli ostatním daňovým poplatníkům aspoň,2
ostatním daňovým poplatníkům aspoň trochu,2
daňovým poplatníkům aspoň trochu vrátit,2
poplatníkům aspoň trochu vrátit podobné,2
rodičovský příspěvek zvýšené důchody zálohované,2
příspěvek zvýšené důchody zálohované výživné,2
zvýšené důchody zálohované výživné placení,2
důchody zálohované výživné placení nemocenské,2
zálohované výživné placení nemocenské prvního,2
výživné placení nemocenské prvního dne,2
placení nemocenské prvního dne zvyšování,2
nemocenské prvního dne zvyšování platů,2
prvního dne zvyšování platů investice,2
dne zvyšování platů investice lidí,2
zvyšování platů investice lidí my,2
platů investice lidí my lidi,2
my venkově jaře nemáme příliš,2
venkově jaře nemáme příliš času,2
jaře nemáme příliš času sedět,2
nemáme příliš času sedět pc,2
příliš času sedět pc nyní,2
času sedět pc nyní telegraficky,2
sedět pc nyní telegraficky přes,2
pc nyní telegraficky přes veškeré,2
nyní telegraficky přes veškeré stranické,2
telegraficky přes veškeré stranické preference,2
přes veškeré stranické preference trošku,2
veškeré stranické preference trošku závidím,2
stranické preference trošku závidím slovákům,2
preference trošku závidím slovákům nejvyšší,2
trošku závidím slovákům nejvyšší funkce,2
závidím slovákům nejvyšší funkce dokázali,2
slovákům nejvyšší funkce dokázali zvolit,2
nejvyšší funkce dokázali zvolit ženu,2
funkce dokázali zvolit ženu paní,2
dokázali zvolit ženu paní čaputové,2
zvolit ženu paní čaputové přeji,2
přece musí vadit mužům vždyť,2
musí vadit mužům vždyť jde,2
vadit mužům vždyť jde jejich,2
mužům vždyť jde jejich ženy,2
vždyť jde jejich ženy dcery,2
jde jejich ženy dcery přítelkyně,2
skončila první hodina letošního školního,2
první hodina letošního školního roku,2
hodina letošního školního roku přivítat,2
letošního školního roku přivítat prvňáčky,2
školního roku přivítat prvňáčky naší,2
roku přivítat prvňáčky naší obci,2
přivítat prvňáčky naší obci prý,2
prvňáčky naší obci prý školy,2
naší obci prý školy těšili,2
obci prý školy těšili jim,2
prý školy těšili jim vydrželo,2
školy těšili jim vydrželo společná,2
těšili jim vydrželo společná úloha,2
jim vydrželo společná úloha učitelů,2
vydrželo společná úloha učitelů rodičů,2
společná úloha učitelů rodičů děti,2
úloha učitelů rodičů děti muset,2
učitelů rodičů děti muset učit,2
rodičů děti muset učit celý,2
děti muset učit celý život,2
