n-gram,frekvence
návrh,39
dnes,35
další,19
top,19
jeho,18
ano,18
díky,18
zákona,18
mě,17
let,17
09,17
lety,17
proti,17
podle,17
teď,17
než,15
návrhu,15
vláda,14
již,14
jednání,14
den,14
sněmovně,14
rok,13
zvířat,13
zítra,13
vládní,12
práce,12
senátu,12
lepší,12
tady,12
pozměňovací,12
dneska,12
zde,11
víc,11
poslanci,11
sněmovna,10
práva,10
čssd,9
spd,9
právě,9
roce,9
tedy,9
jejich,9
jeden,9
české,9
dva,9
místo,9
bych,9
zákon,9
pak,9
sněmovny,9
více,9
týrání,9
rád,8
chce,8
celý,8
jim,8
snad,8
přes,8
přesně,8
ústavní,8
zdanění,8
prý,8
úplně,8
prezidenta,8
všem,8
také,8
mají,8
ústavně,8
výboru,8
čtení,8
návrhy,8
pár,8
poslance,7
poslanec,7
své,7
řekl,7
2,7
hlasování,7
mimo,7
top 09,17
pozměňovací návrh,8
týrání zvířat,8
zdanění církevních,6
církevních restitucí,6
ústavně právním,5
soudech soudcích,4
právním výboru,4
ano čssd,4
pozměňovací návrhy,4
30 lety,4
dominik feri,3
blbě vidím,3
pět let,3
ústavní soud,3
nabytí nemovitosti,3
právní výbor,3
velkou radost,3
víc než,3
proti množírnám,3
sněmovního systému,3
zákona soudech,3
reprodukce časopisu,3
tři roky,3
tisíc lidí,3
jeho poradce,3
střetu zájmů,2
andreje babiše,2
čssd spd,2
celou republiku,2
čestný předseda,2
března 1939,2
příštím roce,2
státního rozpočtu,2
již dnes,2
dva tři,2
ano berkovec,2
klubu ano,2
vánoční trhy,2
proti novele,2
národním divadle,2
slev jízdném,2
svým závazkům,2
odvody dohod,2
dohod provedení,2
provedení práce,2
10 tisíc,2
senátor místopředseda,2
prezidentu republiky,2
sněmovna dnes,2
dnes schválila,2
klacky nohy,2
roce 2021,2
vánoční zázrak,2
nečetl nemám,2
nemám brejle,2
brejle kampaň,2
milionu chvilek,2
boj proti,2
životního prostředí,2
tenhle rok,2
martin kroh,2
rychlost připojení,2
zítra začíná,2
schůze sněmovny,2
evropského parlamentu,2
všecko nej,2
jedna nejvýznamnějších,2
74 lety,2
poskytování realitních,2
realitních úschov,2
daň nabytí,2
žaloba prezidenta,2
ústavně právní,2
lety začala,2
dneska přijeli,2
tančit všude,2
komunistický návrh,2
návrh zrušení,2
andrej babiš,2
zdanění církevních restitucí,6
ústavně právním výboru,4
zákona soudech soudcích,3
odvody dohod provedení,2
dohod provedení práce,2
sněmovna dnes schválila,2
nečetl nemám brejle,2
nemám brejle kampaň,2
poskytování realitních úschov,2
daň nabytí nemovitosti,2
ústavně právní výbor,2
proti týrání zvířat,2
zpřísnění trestů týrání,2
trestů týrání zvířat,2
nikdo kupříkladu příliš,2
sněmu top 09,2
reprodukce časopisu pestrý,2
časopisu pestrý týden,2
novele zákona soudech,2
hromadné žaloby vzplanou,2
žaloby vzplanou společnosti,2
vzplanou společnosti emoce,2
dodržování lidských práv,2
senátoři top 09,2
leží sněmovně června,2
tříčlennou správní radu,2
prezidenta jeho poradce,2
rozšíření eet prezidentem,1
eet prezidentem podepsáno,1
prezidentem podepsáno gt,1
podepsáno gt nové,1
gt nové povinnosti,1
nové povinnosti další,1
povinnosti další podnikatele,1
další podnikatele kromobyčejnej,1
podnikatele kromobyčejnej vládní,1
kromobyčejnej vládní úspěch,1
mě okamurovo vyvolání,1
okamurovo vyvolání nenávisti,1
vyvolání nenávisti všech,1
nenávisti všech frontách,1
všech frontách nebaví,1
frontách nebaví rád,1
nebaví rád sněmovna,1
rád sněmovna dala,1
sněmovna dala pravdu,1
dala pravdu lidem,1
pravdu lidem dluhové,1
lidem dluhové pasti,1
dluhové pasti nechce,1
pasti nechce pomoci,1
nechce pomoci chce,1
pomoci chce vyděsit,1
chce vyděsit nabídnout,1
vyděsit nabídnout sebe,1
nabídnout sebe řešení,1
sebe řešení celý,1
řešení celý komentář,1
celý komentář našeho,1
komentář našeho poslance,1
našeho poslance zde,1
několika minutami skončila,1
minutami skončila mimořádná,1
skončila mimořádná tisková,1
mimořádná tisková konference,1
tisková konference zástupců,1
konference zástupců opozičních,1
zástupců opozičních stran,1
opozičních stran dalšímu,1
stran dalšímu postupu,1
dalšímu postupu otázce,1
postupu otázce střetu,1
otázce střetu zájmů,1
střetu zájmů premiéra,1
zájmů premiéra andreje,1
premiéra andreje babiše,1
andreje babiše než,1
babiše než navrhneme,1
než navrhneme vyslovení,1
navrhneme vyslovení nedůvěry,1
odvody dohod provedení práce,2
nečetl nemám brejle kampaň,2
zpřísnění trestů týrání zvířat,2
reprodukce časopisu pestrý týden,2
novele zákona soudech soudcích,2
hromadné žaloby vzplanou společnosti,2
žaloby vzplanou společnosti emoce,2
rozšíření eet prezidentem podepsáno,1
eet prezidentem podepsáno gt,1
prezidentem podepsáno gt nové,1
podepsáno gt nové povinnosti,1
gt nové povinnosti další,1
nové povinnosti další podnikatele,1
povinnosti další podnikatele kromobyčejnej,1
další podnikatele kromobyčejnej vládní,1
podnikatele kromobyčejnej vládní úspěch,1
mě okamurovo vyvolání nenávisti,1
okamurovo vyvolání nenávisti všech,1
vyvolání nenávisti všech frontách,1
nenávisti všech frontách nebaví,1
všech frontách nebaví rád,1
frontách nebaví rád sněmovna,1
nebaví rád sněmovna dala,1
rád sněmovna dala pravdu,1
sněmovna dala pravdu lidem,1
dala pravdu lidem dluhové,1
pravdu lidem dluhové pasti,1
lidem dluhové pasti nechce,1
dluhové pasti nechce pomoci,1
pasti nechce pomoci chce,1
nechce pomoci chce vyděsit,1
pomoci chce vyděsit nabídnout,1
chce vyděsit nabídnout sebe,1
vyděsit nabídnout sebe řešení,1
nabídnout sebe řešení celý,1
sebe řešení celý komentář,1
řešení celý komentář našeho,1
celý komentář našeho poslance,1
komentář našeho poslance zde,1
několika minutami skončila mimořádná,1
minutami skončila mimořádná tisková,1
skončila mimořádná tisková konference,1
mimořádná tisková konference zástupců,1
tisková konference zástupců opozičních,1
konference zástupců opozičních stran,1
zástupců opozičních stran dalšímu,1
opozičních stran dalšímu postupu,1
stran dalšímu postupu otázce,1
dalšímu postupu otázce střetu,1
postupu otázce střetu zájmů,1
otázce střetu zájmů premiéra,1
střetu zájmů premiéra andreje,1
zájmů premiéra andreje babiše,1
premiéra andreje babiše než,1
andreje babiše než navrhneme,1
babiše než navrhneme vyslovení,1
než navrhneme vyslovení nedůvěry,1
navrhneme vyslovení nedůvěry vládě,1
vyslovení nedůvěry vládě chceme,1
nedůvěry vládě chceme znát,1
vládě chceme znát pozice,1
chceme znát pozice čssd,1
znát pozice čssd spd,1
pozice čssd spd jim,1
čssd spd jim adresovali,1
spd jim adresovali otázky,1
význame delenia pravicu ľavicu,1
delenia pravicu ľavicu hľadaní,1
pravicu ľavicu hľadaní spôsobov,1
ľavicu hľadaní spôsobov ako,1
hľadaní spôsobov ako poraziť,1
spôsobov ako poraziť andreja,1
ako poraziť andreja babiša,1
poraziť andreja babiša nutnosti,1
andreja babiša nutnosti oslovovať,1
babiša nutnosti oslovovať mladých,1
