n-gram,frekvence
dnes,85
díky,63
naše,56
jejich,55
život,54
všem,50
lidi,48
vláda,48
proti,48
musí,46
peníze,46
lidí,42
jim,42
děkuji,41
musíme,40
let,39
než,37
jeho,37
budeme,35
lidem,35
mě,34
práci,34
naší,34
ať,33
mají,31
rád,31
naši,31
lidé,31
čr,31
teď,31
další,31
země,31
stejně,30
své,30
ano,29
den,29
stát,28
také,28
sociálních,28
měl,27
práce,27
dnešní,27
víc,27
bydlení,26
již,26
děti,26
české,26
rok,26
budoucnost,25
služby,24
nikdy,23
zemi,23
sociální,23
opravdu,23
všech,23
velmi,23
budu,22
například,22
důležité,22
svůj,22
premiér,22
více,21
dobře,21
lety,21
my,21
strany,21
situaci,21
zde,21
jde,21
česká,21
době,20
či,20
můžeme,20
dál,20
vy,20
roku,20
chci,20
všechny,20
bezpečnost,20
přitom,19
sociální služby,16
sociálních služeb,14
česká republika,11
naší zemi,10
odpočívejte pokoji,10
české republice,10
sociálních službách,9
jejich práci,9
církevních restitucí,8
držím palce,8
dostupného bydlení,7
zdanění církevních,7
české republiky,7
příští rok,7
kdu čsl,7
naše země,6
celém světě,6
světový den,6
dnešní den,6
naše děti,6
financování sociálních,6
dnešní době,6
státní rozpočet,6
současné době,5
jan bartošek,5
bezpečnostní riziko,5
svůj názor,5
naše vláda,5
velké díky,5
právní stát,5
události komentáře,5
jihočeském kraji,5
naší země,5
mezinárodní den,5
dostupné bydlení,5
alkoholu vodáků,5
ministra kultury,4
poslanecké sněmovny,4
přeji všem,4
děkuji pozvání,4
jihočeského kraje,4
dlouhodobé financování,4
pět let,4
miliónů kč,4
navýšení rámci,4
rámci přesunu,4
díky všem,4
77 lety,4
vládní koalice,4
vlastní život,4
přeji ať,4
myslet budoucnost,4
jejich práce,4
dnes večer,4
poslanecké sněmovně,4
ministryně financí,4
nikdo neví,4
svůj život,4
českých budějovic,4
děkuji všem,4
pan prezident,4
20 let,4
čt 24,4
pan premiér,4
vládní krize,4
další generace,4
lidé mají,4
lidský život,4
čest jeho,4
jeho památce,4
nebál postavit,4
přímém přenosu,4
téma dostupného,3
politické body,3
80 lety,3
tisíc lidí,3
přibližně milionu,3
věřím budeme,3
jaké překvapení,3
snižuje dph,3
financování sociálních služeb,6
zdanění církevních restitucí,6
navýšení rámci přesunu,4
čest jeho památce,4
téma dostupného bydlení,3
snižuje dph pivo,3
rámci přesunu kapitoly,3
volby evropského parlamentu,3
nevyřeší zavedení nového,3
zavedení nového mýtného,3
nového mýtného systému,3
českých budějovic prahy,3
svolání výboru bezpečnost,3
zlaté české ručičky,3
alkoholu vodáků cyklistů,3
jeden lidský život,3
kontextu hybridních hrozeb,3
hybridních hrozeb výsledku,3
hrozeb výsledku voleb,3
výsledku voleb chceme,3
voleb chceme rozhodnout,3
chceme rozhodnout sami,3
velmi vysoké úrovni,3
dobrá věc podařila,3
pití alkoholu vodáků,3
jednání bezpečnostního výboru,2
získat politické body,2
systém přidělování dotací,2
přidělování dotací děravější,2
dotací děravější než,2
musí okamžitá vzali,2
okamžitá vzali dotaci,2
vzali dotaci neoprávněně,2
dotaci neoprávněně musí,2
zlepšovat lidem firmám,2
dubna každoročně připomíná,2
každoročně připomíná začátek,2
připomíná začátek arménské,2
začátek arménské genocidy,2
arménské genocidy během,2
genocidy během let,2
během let 1915,2
let 1915 1918,2
1915 1918 vyvražděno,2
1918 vyvražděno přibližně,2
vyvražděno přibližně milionu,2
přibližně milionu arménů,2
milionu arménů turky,2
arménů turky nenávist,2
turky nenávist zlo,2
nenávist zlo násilí,2
zlo násilí spáchané,2
násilí spáchané člověkem,2
spáchané člověkem člověku,2
člověkem člověku všude,2
člověku všude světě,2
všude světě stejně,2
světě stejně odpornou,2
stejně odpornou podobu,2
vize plány svou,2
plány svou stranou,2
destrukci porevolučních hodnot,2
všem podporovali zdanění,2
podporovali zdanění církevních,2
počátku takových zločinu,2
takových zločinu vždycky,2
zločinu vždycky slovo,2
vždycky slovo slovo,2
slovo slovo nějakou,2
slovo nějakou skupinu,2
nějakou skupinu označí,2
skupinu označí původce,2
označí původce všeho,2
původce všeho zla,2
všeho zla souvislosti,2
zla souvislosti výročím,2
souvislosti výročím dnes,2
výročím dnes celé,2
dnes celé zemi,2
celé zemi připomínáme,2
navýšení rámci přesunu kapitoly,3
nevyřeší zavedení nového mýtného,3
zavedení nového mýtného systému,3
kontextu hybridních hrozeb výsledku,3
hybridních hrozeb výsledku voleb,3
