n-gram,frekvence
praze,148
praha,136
díky,117
7,112
třeba,97
lidé,92
zemi,91
prahy,89
lidí,89
všem,81
také,79
naší,78
dnes,78
budeme,76
naše,69
sobě,68
či,65
pak,63
než,59
volbách,58
právě,56
této,54
své,50
jeho,50
jejich,49
ano,49
lidi,48
let,48
víc,47
my,47
tedy,46
země,45
teď,44
abychom,44
společně,44
možná,43
naši,43
další,43
čižinský,43
1,43
věci,42
nyní,42
již,42
změnu,42
pan,42
koalice,41
jim,41
mají,41
stejně,40
prostředí,40
prahu,39
sněmovně,39
den,39
jde,38
jan,38
udělat,37
podle,35
bychom,34
mu,34
stát,33
proti,33
pražské,32
koalici,32
města,32
děti,32
chceme,32
všechny,32
mne,32
celé,32
letné,32
ní,30
lidem,30
měli,29
práce,29
velmi,29
musíme,29
pojďme,29
politiky,28
sociální,28
opět,28
praha sobě,45
prahy 7,33
praze 7,32
jan čižinský,31
víc než,29
praha 7,29
naší zemi,24
této zemi,22
andrej babiš,19
andreje babiše,19
praze 1,19
městské části,17
milí sousedé,17
srdečně vděčně,17
vděčně jan,17
díky všem,15
hnutí ano,14
naši zemi,13
životního prostředí,13
naše radní,13
lidská práva,13
než panda,13
panda zoo,13
životnímu prostředí,12
miloš zeman,11
adam scheinherr,11
naší země,11
této země,11
klimatické nouze,10
prahy sobě,9
hana třeštíková,9
udělat chybu,9
velké díky,9
občanská společnost,9
práva víc,9
prahy 1,9
radní kulturu,8
chybu budeme,8
památníku ticha,8
ticha bubnech,8
české republice,8
pražském hradě,8
příští rok,8
životní prostředí,8
čtyři roky,8
milena johnová,8
hezký den,8
renata kropáčková,8
kropáčková moderátorka,8
sbírali podpisy,7
řeší naše,7
kulturu hana,7
třeštíková rádi,7
rádi bychom,7
bychom pomohli,7
pomohli propagací,7
sbírky abychom,7
abychom neomezili,7
neomezili slova,7
slova praze,7
praze pracujeme,7
pracujeme hýbeme,7
výstavištěm doplatilo,7
doplatilo také,7
nemůžeme udělat,7
pražské koalice,7
hlavní město,7
všem pražanům,7
bychom měli,7
celé zemi,7
dobrý den,7
úsporné spotřebiče,7
ano čssd,7
pražské koalici,6
komunálních volbách,6
svých sousedů,6
propagací finanční,6
finanční sbírky,6
hýbeme nyní,6
nyní právě,6
srdečně vděčně jan,17
vděčně jan čižinský,17
víc než panda,13
než panda zoo,13
lidská práva víc,9
práva víc než,9
naše radní kulturu,8
udělat chybu budeme,8
renata kropáčková moderátorka,8
řeší naše radní,7
radní kulturu hana,7
kulturu hana třeštíková,7
hana třeštíková rádi,7
třeštíková rádi bychom,7
rádi bychom pomohli,7
bychom pomohli propagací,7
sbírky abychom neomezili,7
abychom neomezili slova,7
neomezili slova praze,7
slova praze pracujeme,7
praze pracujeme hýbeme,7
výstavištěm doplatilo také,7
nemůžeme udělat chybu,7
pomohli propagací finanční,6
propagací finanční sbírky,6
finanční sbírky abychom,6
pracujeme hýbeme nyní,6
hýbeme nyní právě,6
nyní právě například,6
právě například výstavištěm,6
například výstavištěm doplatilo,6
doplatilo také velký,6
také velký požár,6
památníku ticha bubnech,6
chybu budeme životnímu,5
budeme životnímu prostředí,5
životnímu prostředí chovat,5
andreje babiše ano,5
starosta prahy 7,5
pomníku diktátora stalina,5
zadržovat používat dešťovou,5
používat dešťovou vodu,5
nekupovat zbytečné obaly,5
preferovat veřejnou dopravu,5
jan čižinský starosta,5
tomáš jirsa senátor,5
kropáčková moderátorka pane,5
městské části praha,4
filtrů pevných částic,4
milí sousedé celé,4
naši koaliční partneři,4
zbytečné kontroly pražském,4
kontroly pražském hradě,4
obtěžují pražany turisty,4
pražany turisty policisty,4
nenávist jedné skupiny,4
jedné skupiny lidí,4
sociální věci zdravotnictví,4
používat úsporné spotřebiče,4
úsporné spotřebiče žárovky,4
spotřebiče žárovky zateplit,4
žárovky zateplit dům,4
zahradě prostor divoké,4
prostor divoké přírodě,4
divoké přírodě užitečnému,4
přírodě užitečnému hmyzu,4
užitečnému hmyzu nekupovat,4
hmyzu nekupovat zbytečné,4
zbytečné obaly měnící,4
obaly měnící odpady,4
měnící odpady třídit,4
odpady třídit odpad,4
třídit odpad kompostovat,4
důsledně preferovat veřejnou,4
pěší chůzi kupovat,4
dopravu adam scheinherr,4
čižinský starosta mč,4
starosta mč praha,4
mč praha 7,4
praha 7 7,4
srdečně vděčně jan čižinský,17
víc než panda zoo,13
lidská práva víc než,9
práva víc než panda,9
řeší naše radní kulturu,7
naše radní kulturu hana,7
radní kulturu hana třeštíková,7
kulturu hana třeštíková rádi,7
hana třeštíková rádi bychom,7
třeštíková rádi bychom pomohli,7
rádi bychom pomohli propagací,7
sbírky abychom neomezili slova,7
abychom neomezili slova praze,7
neomezili slova praze pracujeme,7
slova praze pracujeme hýbeme,7
bychom pomohli propagací finanční,6
pomohli propagací finanční sbírky,6
propagací finanční sbírky abychom,6
finanční sbírky abychom neomezili,6
praze pracujeme hýbeme nyní,6
pracujeme hýbeme nyní právě,6
hýbeme nyní právě například,6
nyní právě například výstavištěm,6
právě například výstavištěm doplatilo,6
například výstavištěm doplatilo také,6
výstavištěm doplatilo také velký,6
doplatilo také velký požár,6
nemůžeme udělat chybu budeme,6
udělat chybu budeme životnímu,5
chybu budeme životnímu prostředí,5
budeme životnímu prostředí chovat,5
zadržovat používat dešťovou vodu,5
renata kropáčková moderátorka pane,5
zbytečné kontroly pražském hradě,4
obtěžují pražany turisty policisty,4
nenávist jedné skupiny lidí,4
používat úsporné spotřebiče žárovky,4
úsporné spotřebiče žárovky zateplit,4
spotřebiče žárovky zateplit dům,4
zahradě prostor divoké přírodě,4
prostor divoké přírodě užitečnému,4
divoké přírodě užitečnému hmyzu,4
přírodě užitečnému hmyzu nekupovat,4
užitečnému hmyzu nekupovat zbytečné,4
hmyzu nekupovat zbytečné obaly,4
nekupovat zbytečné obaly měnící,4
zbytečné obaly měnící odpady,4
obaly měnící odpady třídit,4
měnící odpady třídit odpad,4
odpady třídit odpad kompostovat,4
důsledně preferovat veřejnou dopravu,4
jan čižinský starosta mč,4
čižinský starosta mč praha,4
starosta mč praha 7,4
mč praha 7 7,4
životnímu prostředí chovat ohleduplněji,3
starosta prahy 7 jan,3
prahy 7 jan čižinský,3
milí sousedé celé země,3
pražská radní sociální věci,3
radní sociální věci zdravotnictví,3
právě mluví václavském náměstí,3
mluví václavském náměstí škrtech,3
václavském náměstí škrtech vlády,3
náměstí škrtech vlády sociální,3
andreje babiše hnutí ano,3
žárovky zateplit dům nepřetápět,3
zateplit dům nepřetápět přehnaně,3
dům nepřetápět přehnaně neklimatizovat,3
používat dešťovou vodu poskytnout,3
dešťovou vodu poskytnout zahradě,3
vodu poskytnout zahradě prostor,3
poskytnout zahradě prostor divoké,3
třídit odpad kompostovat důsledně,3
odpad kompostovat důsledně preferovat,3
kompostovat důsledně preferovat veřejnou,3
preferovat veřejnou dopravu vlaky,3
veřejnou dopravu vlaky tramvaje,3
dopravu vlaky tramvaje jde,3
vlaky tramvaje jde kolo,3
lidská práva víc než panda,9
práva víc než panda zoo,9
řeší naše radní kulturu hana,7
naše radní kulturu hana třeštíková,7
radní kulturu hana třeštíková rádi,7
kulturu hana třeštíková rádi bychom,7
hana třeštíková rádi bychom pomohli,7
třeštíková rádi bychom pomohli propagací,7
sbírky abychom neomezili slova praze,7
abychom neomezili slova praze pracujeme,7
neomezili slova praze pracujeme hýbeme,7
rádi bychom pomohli propagací finanční,6
bychom pomohli propagací finanční sbírky,6
pomohli propagací finanční sbírky abychom,6
propagací finanční sbírky abychom neomezili,6
finanční sbírky abychom neomezili slova,6
slova praze pracujeme hýbeme nyní,6
praze pracujeme hýbeme nyní právě,6
pracujeme hýbeme nyní právě například,6
hýbeme nyní právě například výstavištěm,6
nyní právě například výstavištěm doplatilo,6
právě například výstavištěm doplatilo také,6
například výstavištěm doplatilo také velký,6
výstavištěm doplatilo také velký požár,6
udělat chybu budeme životnímu prostředí,5
chybu budeme životnímu prostředí chovat,5
nemůžeme udělat chybu budeme životnímu,4
používat úsporné spotřebiče žárovky zateplit,4
úsporné spotřebiče žárovky zateplit dům,4
zahradě prostor divoké přírodě užitečnému,4
prostor divoké přírodě užitečnému hmyzu,4
divoké přírodě užitečnému hmyzu nekupovat,4
přírodě užitečnému hmyzu nekupovat zbytečné,4
užitečnému hmyzu nekupovat zbytečné obaly,4
hmyzu nekupovat zbytečné obaly měnící,4
nekupovat zbytečné obaly měnící odpady,4
zbytečné obaly měnící odpady třídit,4
obaly měnící odpady třídit odpad,4
měnící odpady třídit odpad kompostovat,4
jan čižinský starosta mč praha,4
čižinský starosta mč praha 7,4
starosta mč praha 7 7,4
budeme životnímu prostředí chovat ohleduplněji,3
starosta prahy 7 jan čižinský,3
pražská radní sociální věci zdravotnictví,3
právě mluví václavském náměstí škrtech,3
mluví václavském náměstí škrtech vlády,3
václavském náměstí škrtech vlády sociální,3
spotřebiče žárovky zateplit dům nepřetápět,3
žárovky zateplit dům nepřetápět přehnaně,3
zateplit dům nepřetápět přehnaně neklimatizovat,3
zadržovat používat dešťovou vodu poskytnout,3
používat dešťovou vodu poskytnout zahradě,3
dešťovou vodu poskytnout zahradě prostor,3
vodu poskytnout zahradě prostor divoké,3
poskytnout zahradě prostor divoké přírodě,3
odpady třídit odpad kompostovat důsledně,3
třídit odpad kompostovat důsledně preferovat,3
odpad kompostovat důsledně preferovat veřejnou,3
kompostovat důsledně preferovat veřejnou dopravu,3
důsledně preferovat veřejnou dopravu vlaky,3
preferovat veřejnou dopravu vlaky tramvaje,3
veřejnou dopravu vlaky tramvaje jde,3
dopravu vlaky tramvaje jde kolo,3
vlaky tramvaje jde kolo pěší,3
tramvaje jde kolo pěší chůzi,3
jde kolo pěší chůzi kupovat,3
kolo pěší chůzi kupovat potraviny,3
pěší chůzi kupovat potraviny pocházejí,3
chůzi kupovat potraviny pocházejí šetrného,3
kupovat potraviny pocházejí šetrného zemědělství,3
potraviny pocházejí šetrného zemědělství sdílet,3
pocházejí šetrného zemědělství sdílet půjčovat,3
šetrného zemědělství sdílet půjčovat nutné,3
zemědělství sdílet půjčovat nutné koupit,3
udělat chybu budeme chovat ohleduplněji,3
nainstalovat solární panel ohřev vody,3
solární panel ohřev vody či,3
panel ohřev vody či fotovoltaickou,3
ohřev vody či fotovoltaickou elektrárnu,3
