n-gram,frekvence
eu,148
dnes,114
evropské,69
proti,69
mě,69
jeho,64
ano,55
než,54
jejich,53
vy,53
let,52
třeba,50
ods,49
čr,46
ep,45
pan,45
další,44
pak,42
tady,42
také,38
mezi,38
teď,38
tedy,37
naší,36
právě,36
první,34
komise,33
opravdu,33
čssd,33
více,33
české,32
podle,32
máte,32
ovšem,31
evropská,31
evropských,30
včera,29
unie,29
takže,29
strany,29
zde,29
budu,28
musí,28
naše,28
již,28
chce,27
můžete,27
dobře,26
volby,26
ta,26
jinak,26
pane,26
nové,26
své,26
roku,25
vůbec,24
poslední,24
jestli,24
nikoliv,23
strana,23
mu,23
ať,23
jeden,22
celé,22
evropy,22
zatím,21
volební,21
lety,21
rozhovor,21
voliči,21
3,21
hlasování,21
jde,21
babiš,21
ní,21
rozdíl,20
dělat,20
bych,20
frakce,20
dost,20
evropské komise,16
evropského parlamentu,11
evropské unie,11
volíte čssd,10
top 09,10
dotaz volíte,9
evropská unie,9
evropské politice,8
minulý týden,8
velký rozhovor,7
eu čínou,7
pane kolego,7
ostrej riff,7
dobrá zpráva,7
volebních lídrů,7
dnes večer,7
von der,7
der leyen,7
20 let,7
mezinárodní obchod,6
15 let,6
boris johnson,6
nacionalistou čínským,6
čínským agentem,6
agentem nikoli,6
nikoli nicméně,6
nicméně pouze,6
pouze agentem,6
agentem čr,6
čr vztahům,6
vztahům eu,6
věnuji budu,6
budu věnovat,6
věnovat praktickém,6
praktickém pragmatickém,6
pragmatickém základě,6
dvě cesty,6
cesty číny,6
jestli chcete,6
chcete pocvičit,6
100 lety,6
pan babiš,6
100 let,6
evropských konzervativců,5
amp spol,5
ods občanská,5
občanská demokratická,5
demokratická strana,5
čínou věnuji,5
číny neplatila,5
neplatila čínská,5
čínská strana,5
mezi eu,5
volného obchodu,5
vyšel mnou,5
mnou velký,5
podle mě,5
máte mysli,5
přijetí eura,5
evropských volebních,5
lepší než,5
právě teď,5
vícerychlostní eu,5
více než,5
andrej babiš,5
dnes mluvil,5
členských zemí,5
česká média,4
zemí eu,4
můžete sledovat,4
dnešní rozhovor,4
labour party,4
vypuštění článku,4
zajímá mě,4
10 lety,4
evropské komisi,4
konzervativní strany,4
volební lídr,4
eu kdyby,4
chodí divadla,4
dotaz volíte čssd,9
von der leyen,7
nacionalistou čínským agentem,6
čínským agentem nikoli,6
agentem nikoli nicméně,6
nikoli nicméně pouze,6
nicméně pouze agentem,6
pouze agentem čr,6
agentem čr vztahům,6
čr vztahům eu,6
vztahům eu čínou,6
věnuji budu věnovat,6
budu věnovat praktickém,6
věnovat praktickém pragmatickém,6
praktickém pragmatickém základě,6
jestli chcete pocvičit,6
ods občanská demokratická,5
občanská demokratická strana,5
eu čínou věnuji,5
čínou věnuji budu,5
dvě cesty číny,5
cesty číny neplatila,5
číny neplatila čínská,5
neplatila čínská strana,5
vyšel mnou velký,5
mnou velký rozhovor,5
evropských volebních lídrů,5
chodí divadla operu,4
divadla operu celý,4
operu celý svůj,4
celý svůj dospělý,4
svůj dospělý život,4
dospělý život poslouchám,4
život poslouchám rockovou,4
poslouchám rockovou hudbu,4
rockovou hudbu budu,4
hudbu budu vyprávět,4
budu vyprávět začalo,4
vyprávět začalo pokračuje,4
začalo pokračuje podělím,4
pokračuje podělím svůj,4
podělím svůj hudební,4
svůj hudební vkus,4
hudební vkus pravidelném,4
vkus pravidelném pořadu,4
pravidelném pořadu ostrej,4
pořadu ostrej riff,4
ostrej riff jana,4
riff jana zahradila,4
evropy chceme slyšet,4
ochraně autorských práv,4
autorských práv digitálním,4
usnesení zhmp roku,4
zhmp roku 2017,4
pragmatickém základě mpř,4
základě mpř výboru,4
výboru mezinárodní obchod,3
evropských politických stran,3
právě 50 lety,3
přenos můžete sledovat,3
obchodní dohoda mezi,3
ideově správně vybavený,3
správně vybavený eurosoudruh,3
velký rozhovor předním,3
jana zahradila dneska,3
můžete sledovat live,3
rozumu mezi dvěma,3
mezi dvěma extrémy,3
srdcem evropy chceme,3
vypuštění článku 13,3
top 09 stan,3
zajímavé nacionalistou čínským,3
mpř výboru inta,3
výboru inta jinak,3
inta jinak dvě,3
jinak dvě cesty,3
čínská strana acre,3
strana acre ep,3
evropská lidová strana,3
eu vůči číně,3
nacionalistou čínským agentem nikoli,6
čínským agentem nikoli nicméně,6
agentem nikoli nicméně pouze,6
nikoli nicméně pouze agentem,6
nicméně pouze agentem čr,6
pouze agentem čr vztahům,6
agentem čr vztahům eu,6
čr vztahům eu čínou,6
věnuji budu věnovat praktickém,6
budu věnovat praktickém pragmatickém,6
věnovat praktickém pragmatickém základě,6
ods občanská demokratická strana,5
vztahům eu čínou věnuji,5
eu čínou věnuji budu,5
čínou věnuji budu věnovat,5
dvě cesty číny neplatila,5
cesty číny neplatila čínská,5
číny neplatila čínská strana,5
vyšel mnou velký rozhovor,5
chodí divadla operu celý,4
divadla operu celý svůj,4
operu celý svůj dospělý,4
celý svůj dospělý život,4
svůj dospělý život poslouchám,4
dospělý život poslouchám rockovou,4
život poslouchám rockovou hudbu,4
poslouchám rockovou hudbu budu,4
rockovou hudbu budu vyprávět,4
hudbu budu vyprávět začalo,4
budu vyprávět začalo pokračuje,4
vyprávět začalo pokračuje podělím,4
začalo pokračuje podělím svůj,4
pokračuje podělím svůj hudební,4
podělím svůj hudební vkus,4
svůj hudební vkus pravidelném,4
hudební vkus pravidelném pořadu,4
vkus pravidelném pořadu ostrej,4
pravidelném pořadu ostrej riff,4
pořadu ostrej riff jana,4
ostrej riff jana zahradila,4
ochraně autorských práv digitálním,4
usnesení zhmp roku 2017,4
praktickém pragmatickém základě mpř,4
pragmatickém základě mpř výboru,4
ideově správně vybavený eurosoudruh,3
mnou velký rozhovor předním,3
riff jana zahradila dneska,3
rozumu mezi dvěma extrémy,3
srdcem evropy chceme slyšet,3
zajímavé nacionalistou čínským agentem,3
základě mpř výboru inta,3
mpř výboru inta jinak,3
výboru inta jinak dvě,3
inta jinak dvě cesty,3
jinak dvě cesty číny,3
neplatila čínská strana acre,3
čínská strana acre ep,3
pan vilimsky celé vycucal,3
praktickém pragmatickém základě jde,2
pragmatickém základě jde dvě,2
základě jde dvě cesty,2
jde dvě cesty číny,2
neplatila čínská strana první,2
obchodní dohoda mezi eu,2
dohoda mezi eu japonskem,2
největší zónu volného obchodu,2
zónu volného obchodu světě,2
legraci kdyby seděl ideově,2
kdyby seděl ideově správně,2
seděl ideově správně vybavený,2
správně vybavený eurosoudruh economia,2
vybavený eurosoudruh economia měla,2
eurosoudruh economia měla headlines,2
ministrem obrany gavinem williamsonem,2
britští poslanci týden rozhodnou,2
poslanci týden rozhodnou kamenem,2
týden rozhodnou kamenem úrazu,2
rozhodnou kamenem úrazu nejasná,2
kamenem úrazu nejasná podoba,2
úrazu nejasná podoba budoucího,2
nacionalistou čínským agentem nikoli nicméně,6
čínským agentem nikoli nicméně pouze,6
agentem nikoli nicméně pouze agentem,6
nikoli nicméně pouze agentem čr,6
nicméně pouze agentem čr vztahům,6
pouze agentem čr vztahům eu,6
agentem čr vztahům eu čínou,6
věnuji budu věnovat praktickém pragmatickém,6
budu věnovat praktickém pragmatickém základě,6
čr vztahům eu čínou věnuji,5
vztahům eu čínou věnuji budu,5
eu čínou věnuji budu věnovat,5
čínou věnuji budu věnovat praktickém,5
dvě cesty číny neplatila čínská,5
cesty číny neplatila čínská strana,5
chodí divadla operu celý svůj,4
divadla operu celý svůj dospělý,4
operu celý svůj dospělý život,4
celý svůj dospělý život poslouchám,4
svůj dospělý život poslouchám rockovou,4
dospělý život poslouchám rockovou hudbu,4
život poslouchám rockovou hudbu budu,4
poslouchám rockovou hudbu budu vyprávět,4
rockovou hudbu budu vyprávět začalo,4
hudbu budu vyprávět začalo pokračuje,4
budu vyprávět začalo pokračuje podělím,4
vyprávět začalo pokračuje podělím svůj,4
začalo pokračuje podělím svůj hudební,4
pokračuje podělím svůj hudební vkus,4
podělím svůj hudební vkus pravidelném,4
svůj hudební vkus pravidelném pořadu,4
hudební vkus pravidelném pořadu ostrej,4
vkus pravidelném pořadu ostrej riff,4
pravidelném pořadu ostrej riff jana,4
pořadu ostrej riff jana zahradila,4
věnovat praktickém pragmatickém základě mpř,4
praktickém pragmatickém základě mpř výboru,4
vyšel mnou velký rozhovor předním,3
ostrej riff jana zahradila dneska,3
zajímavé nacionalistou čínským agentem nikoli,3
pragmatickém základě mpř výboru inta,3
základě mpř výboru inta jinak,3
mpř výboru inta jinak dvě,3
výboru inta jinak dvě cesty,3
inta jinak dvě cesty číny,3
jinak dvě cesty číny neplatila,3
číny neplatila čínská strana acre,3
neplatila čínská strana acre ep,3
věnovat praktickém pragmatickém základě jde,2
praktickém pragmatickém základě jde dvě,2
pragmatickém základě jde dvě cesty,2
základě jde dvě cesty číny,2
jde dvě cesty číny neplatila,2
číny neplatila čínská strana první,2
obchodní dohoda mezi eu japonskem,2
největší zónu volného obchodu světě,2
legraci kdyby seděl ideově správně,2
kdyby seděl ideově správně vybavený,2
seděl ideově správně vybavený eurosoudruh,2
ideově správně vybavený eurosoudruh economia,2
správně vybavený eurosoudruh economia měla,2
vybavený eurosoudruh economia měla headlines,2
britští poslanci týden rozhodnou kamenem,2
poslanci týden rozhodnou kamenem úrazu,2
týden rozhodnou kamenem úrazu nejasná,2
rozhodnou kamenem úrazu nejasná podoba,2
kamenem úrazu nejasná podoba budoucího,2
úrazu nejasná podoba budoucího hraničního,2
nejasná podoba budoucího hraničního režimu,2
podoba budoucího hraničního režimu mezi,2
budoucího hraničního režimu mezi irskou,2
hraničního režimu mezi irskou republikou,2
režimu mezi irskou republikou severním,2
mezi irskou republikou severním irskem,2
irskou republikou severním irskem tedy,2
republikou severním irskem tedy mezi,2
spojeným královstvím víkendu jel podívat,2
ods celá naše politická aliance,2
celá naše politická aliance acre,2
naše politická aliance acre ano,2
