n-gram,frekvence
třeba,318
či,301
jeho,272
než,264
země,241
naší,219
naše,206
mne,199
lidí,192
více,186
dnes,186
unie,180
pan,179
tedy,179
pana,176
neb,166
nejen,166
pár,158
premiér,152
díky,151
premiéra,146
zda,145
jejich,145
velmi,139
eu,139
fakt,133
firmy,124
komise,121
uk,118
problém,116
zemi,116
dle,115
stát,113
jde,112
své,112
naši,111
docela,111
již,110
zemí,110
myslím,109
takže,108
další,107
proti,103
pak,100
peníze,99
zřejmě,98
hlavně,98
často,98
zde,98
možná,97
této,96
hodně,94
navíc,94
řešení,94
věci,93
dost,93
let,92
trochu,92
stojí,91
zdá,91
státu,90
část,89
dnešní,89
unii,87
evropské,86
parlamentu,86
mají,85
snad,85
stejně,85
firem,84
kterou,84
musí,83
politiky,82
velké,82
víc,82
podle,81
bohužel,80
někdy,80
přes,80
ano,79
pana premiéra,77
pan premiér,63
naše země,60
podle mne,52
naší zemi,48
více než,48
andrej babiš,47
naší země,45
naši zemi,32
top 09,31
evropském parlamentu,30
víc než,30
životního prostředí,27
dle mého,27
evropské komise,25
pana babiše,23
mého soudu,21
hnutí ano,20
pár desítek,19
díky všem,18
mimo jiné,17
životní prostředí,17
našeho státu,17
evropského parlamentu,16
společná evropa,16
dnešního světa,16
obnovitelných zdrojů,15
společné evropy,14
pan babiš,14
velký dík,14
či dokonce,13
bych rád,13
praní špinavých,13
špinavých peněz,13
pár let,13
paní ministryně,12
této oblasti,12
dnešním světě,12
méně než,12
společné evropě,12
ku prospěchu,12
poslední době,12
pár měsíců,12
evropská komise,12
naši budoucnost,11
malé střední,11
touto cestou,11
tvrdý brexit,11
mnohem víc,11
docela dost,11
konflikt zájmu,11
aspoň trochu,11
první pohled,11
pana tykače,10
konfliktu zájmu,10
část lidí,10
evropský parlament,10
velká část,10
evropská unie,10
minulý týden,10
čapí hnízdo,10
30 let,10
právního státu,10
lidská práva,10
bychom měli,10
bateriová auta,9
malých středních,9
otázka zda,9
stovky miliard,9
evropské unie,9
dnešní době,9
spoustu lidí,9
panu premiérovi,9
uk eu,9
velké firmy,9
právní stát,9
stovky milionů,9
evropské unii,9
tisíc lidí,9
pan johnson,9
dle mého soudu,20
praní špinavých peněz,13
premiér andrej babiš,8
dle mého názoru,7
malých středních firem,6
pan andrej babiš,6
pět minut luďkem,6
ods občanská demokratická,6
občanská demokratická strana,6
klimatu životního prostředí,5
pan premiér andrej,5
odchodu uk eu,5
patří velký dík,5
mnohem víc než,5
malé střední podniky,5
top 09 starostové,5
09 starostové nezávislí,5
zájmu pana premiéra,5
holdingu pana tykače,4
věcí našeho státu,4
naší části světa,4
top 09 středočeský,4
09 středočeský kraj,4
naší zahraniční politiky,4
otázky václava moravce,4
dříve či později,4
coderdojo česká republika,4
čím dál víc,4
desítky tisíc lidí,4
premiéra andrej babiš,4
život naší zemi,4
firmám pana premiéra,4
posledních pár let,4
více či méně,3
již delší dobu,3
dominancí některých technologií,3
některých technologií firem,3
technologií firem citlivých,3
firem citlivých oblastech,3
zase někdy příště,3
pár desítek hodin,3
podle mne velmi,3
naší společné evropy,3
svobodné demokratické společnosti,3
zdá více než,3
naše země úplně,3
svého nejlepšího nápadu,3
planetu naše děti,3
euro přijmeme zbohatneme,3
debatu můžete podívat,3
můžete podívat zde,3
silná konstruktivní většina,3
ksčm komunistická strana,3
komunistická strana čech,3
strana čech moravy,3
zdraví životním prostředí,3
pana premiéra jeho,3
stovky miliard korun,3
vysokému podílu chyb,3
nikdo jiný než,3
velký dík práci,3
dík práci kterou,3
jeden svět školách,3
let sametové revoluce,3
evropské centrální banky,3
skoro vše spojeno,3
vše spojeno skoro,3
spojeno skoro vším,3
myšlenka webu vznikla,3
webu vznikla chvíli,3
dál víc objevovaly,3
víc objevovaly otázky,3
objevovaly otázky jestli,3
otázky jestli mimo,3
lidí ukazuje evropa,3
ukazuje evropa dává,3
pomoci udělat svět,3
časových pásem evropě,3
svůj pohled svět,3
podvodům praní špinavých,3
ods občanská demokratická strana,6
pan premiér andrej babiš,5
top 09 starostové nezávislí,5
top 09 středočeský kraj,4
dominancí některých technologií firem,3
některých technologií firem citlivých,3
technologií firem citlivých oblastech,3
debatu můžete podívat zde,3
ksčm komunistická strana čech,3
komunistická strana čech moravy,3
velký dík práci kterou,3
skoro vše spojeno skoro,3
vše spojeno skoro vším,3
myšlenka webu vznikla chvíli,3
čím dál víc objevovaly,3
dál víc objevovaly otázky,3
víc objevovaly otázky jestli,3
objevovaly otázky jestli mimo,3
lidí ukazuje evropa dává,3
podvodům praní špinavých peněz,3
pana premiéra andrej babiš,3
konfliktu zájmu pana premiéra,3
díky fakt překvapený hodně,2
rizika spojená dominancí některých,2
spojená dominancí některých technologií,2
neříká mají osoby konfliktu,2
mají osoby konfliktu zájmu,2
osoby konfliktu zájmu zbavit,2
konfliktu zájmu zbavit méně,2
zájmu zbavit méně schvaluje,2
zbavit méně schvaluje udělaly,2
vyřeší svůj problém dotace,2
konflikt zájmů pana premiéra,2
09 středočeský kraj pozvání,2
budu těšit zase někdy,2
těšit zase někdy příště,2
druhého roku druhé stovky,2
roku druhé stovky bychom,2
druhé stovky bychom mohli,2
stovky bychom mohli vstoupit,2
bychom mohli vstoupit třeba,2
mohli vstoupit třeba hrdostí,2
vstoupit třeba hrdostí naší,2
třeba hrdostí naší zemi,2
hrdostí naší zemi minulosti,2
naší zemi minulosti povedlo,2
stavu ekonomiky velký lov,2
ekonomiky velký lov voličské,2
velký lov voličské přizně,2
lov voličské přizně rozpočet,2
voličské přizně rozpočet unese,2
zdá kroky některých představitelů,2
kroky některých představitelů našeho,2
některých představitelů našeho státu,2
představitelů našeho státu peking,2
našeho státu peking vykládá,2
státu peking vykládá naše,2
peking vykládá naše země,2
vykládá naše země zájmy,2
naše země zájmy jejich,2
země zájmy jejich země,2
zájmy jejich země tamní,2
jejich země tamní vládnoucí,2
země tamní vládnoucí strany,2
tamní vládnoucí strany firem,2
vládnoucí strany firem či,2
strany firem či čínských,2
firem či čínských či,2
či čínských či jiných,2
čínských či jiných oligarchů,2
či jiných oligarchů důsledně,2
jiných oligarchů důsledně váhání,2
oligarchů důsledně váhání hájila,2
důsledně váhání hájila paní,2
váhání hájila paní lomové,2
hájila paní lomové jasné,2
paní lomové jasné formulace,2
podle mne velmi dobrou,2
eu neproplatí logika měla,2
neproplatí logika měla následující,2
dominancí některých technologií firem citlivých,3
některých technologií firem citlivých oblastech,3
ksčm komunistická strana čech moravy,3
skoro vše spojeno skoro vším,3
čím dál víc objevovaly otázky,3
dál víc objevovaly otázky jestli,3
víc objevovaly otázky jestli mimo,3
rizika spojená dominancí některých technologií,2
spojená dominancí některých technologií firem,2
neříká mají osoby konfliktu zájmu,2
mají osoby konfliktu zájmu zbavit,2
osoby konfliktu zájmu zbavit méně,2
konfliktu zájmu zbavit méně schvaluje,2
zájmu zbavit méně schvaluje udělaly,2
top 09 středočeský kraj pozvání,2
budu těšit zase někdy příště,2
druhého roku druhé stovky bychom,2
roku druhé stovky bychom mohli,2
druhé stovky bychom mohli vstoupit,2
stovky bychom mohli vstoupit třeba,2
bychom mohli vstoupit třeba hrdostí,2
mohli vstoupit třeba hrdostí naší,2
vstoupit třeba hrdostí naší zemi,2
třeba hrdostí naší zemi minulosti,2
hrdostí naší zemi minulosti povedlo,2
stavu ekonomiky velký lov voličské,2
ekonomiky velký lov voličské přizně,2
velký lov voličské přizně rozpočet,2
lov voličské přizně rozpočet unese,2
zdá kroky některých představitelů našeho,2
kroky některých představitelů našeho státu,2
některých představitelů našeho státu peking,2
představitelů našeho státu peking vykládá,2
našeho státu peking vykládá naše,2
státu peking vykládá naše země,2
peking vykládá naše země zájmy,2
vykládá naše země zájmy jejich,2
naše země zájmy jejich země,2
země zájmy jejich země tamní,2
zájmy jejich země tamní vládnoucí,2
jejich země tamní vládnoucí strany,2
země tamní vládnoucí strany firem,2
tamní vládnoucí strany firem či,2
vládnoucí strany firem či čínských,2
strany firem či čínských či,2
firem či čínských či jiných,2
či čínských či jiných oligarchů,2
čínských či jiných oligarchů důsledně,2
či jiných oligarchů důsledně váhání,2
jiných oligarchů důsledně váhání hájila,2
oligarchů důsledně váhání hájila paní,2
důsledně váhání hájila paní lomové,2
váhání hájila paní lomové jasné,2
hájila paní lomové jasné formulace,2
eu neproplatí logika měla následující,2
neproplatí logika měla následující nese,2
logika měla následující nese odpovědnost,2
podařilo úřady přelstít peníze musí,2
úřady přelstít peníze musí bezesporu,2
přelstít peníze musí bezesporu vrátit,2
občas zdá některé věci staly,2
zdá některé věci staly dávné,2
některé věci staly dávné minulosti,2
věci staly dávné minulosti oběť,2
staly dávné minulosti oběť jana,2
dávné minulosti oběť jana palacha,2
minulosti oběť jana palacha protest,2
oběť jana palacha protest proti,2
jana palacha protest proti okupaci,2
palacha protest proti okupaci čssr,2
padesát let jeho oběti naše,2
let jeho oběti naše země,2
jeho oběti naše země úplně,2
oběti naše země úplně jinde,2
nestačilo premiér země snad americe,2
premiér země snad americe spojována,2
země snad americe spojována václavem,2
snad americe spojována václavem havlem,2
americe spojována václavem havlem spolupracovník,2
spojována václavem havlem spolupracovník stb,2
