n-gram,frekvence
eu,151
čr,91
podle,75
pak,73
než,71
dnes,66
ano,65
bych,58
jeho,56
let,53
teď,52
babiš,49
proti,47
vláda,46
kvůli,46
třeba,45
mají,44
země,44
premiér,41
přesně,40
víc,39
těch,39
vlády,39
dobře,38
prezident,38
musí,38
stále,38
ta,38
zeman,37
volby,37
stejně,36
myslím,36
mu,35
také,33
mne,33
strany,33
či,33
opravdu,33
jejich,33
jeden,32
mezi,32
měl,32
nikdy,31
nato,31
jinak,31
stát,30
chce,29
kdyby,29
řekl,29
babiše,29
nemá,28
úplně,28
ti,28
dost,28
jestli,27
díky,27
totiž,27
rusko,27
prezidenta,27
rád,27
jim,27
více,26
zemí,26
další,26
lidí,26
právě,26
tady,26
mě,26
všem,26
takže,26
volbách,26
pan,26
problém,25
roce,25
té,25
dva,25
jednou,25
vy,25
my,25
no,24
hnutí ano,13
top 09,13
víc než,12
držím palce,12
podle mne,11
andreje babiše,10
andrej babiš,8
chtěl bych,8
prezidenta zemana,6
vše nejlepší,6
09 stan,6
15 let,6
brexit dohody,6
miloš zeman,6
tato vláda,6
20 let,6
prezident zeman,5
lidská práva,5
česká republika,5
evropského parlamentu,5
novou dohodu,5
evropské lidové,5
mnohem víc,5
evropské komise,5
dva roky,5
dobrá zpráva,5
úplně jedno,5
více než,5
30 let,5
pan ministr,5
měli bychom,4
ta zlá,4
politické strany,4
lidové strany,4
nový rok,4
bojovat proti,4
státního zástupce,4
členských států,4
václav klaus,4
zemí eu,4
horší než,4
volby ep,4
pořád stejní,4
zájmy čr,4
paní ministryně,4
této vlády,4
svoji práci,4
2 hdp,4
hdp obranu,4
mil rusů,4
necelé tři,3
zejména pak,3
eu řekl,3
zlá eu,3
než ta,3
hlava státu,3
vší úctě,3
přesně takhle,3
25 let,3
kdyby nebylo,3
než teď,3
tradiční rodinu,3
čapí hnízdo,3
premiér andrej,3
předsedou vlády,3
trestně stíhaný,3
předseda vlády,3
té vládě,3
čínský velvyslanec,3
vládní koalice,3
boris johnson,3
jedno jestli,3
sněm listopadu,3
máte pravdu,3
václav havel,3
pražském hradě,3
bych chtěl,3
dobře dopadlo,3
naší země,3
členství eu,3
top 09 stan,6
