n-gram,frekvence
eu,176
evropské,148
parlamentu,121
proti,117
der,93
komise,92
mě,82
než,74
die,68
evropská,68
rád,63
třeba,63
von,63
české,61
jejich,60
unie,58
evropském,58
bohužel,58
bych,57
strany,56
evropských,55
své,54
piráti,52
babiš,51
teď,51
evropě,51
evropského,51
musí,51
další,50
internetu,50
takže,50
směrnice,48
také,48
mezi,47
především,46
evropa,46
vlády,46
prostě,46
například,45
státy,45
státu,44
und,44
zájmů,44
pirátů,44
velmi,44
jeho,44
frakce,43
díky,42
budeme,41
právě,41
podle,41
zemí,40
dnes,40
měl,40
kterou,39
peníze,39
tedy,39
česku,39
mají,39
ní,39
zároveň,39
den,39
pak,39
více,38
problém,38
evropský,38
let,38
kvůli,37
hodně,37
leyen,37
piráty,37
parlament,37
měli,36
často,36
řešení,36
stát,35
státní,35
in,34
lidé,34
jde,34
evropském parlamentu,56
von der,43
evropského parlamentu,42
evropské komise,38
der leyen,37
členské státy,24
andrej babiš,23
evropská komise,22
evropský parlament,21
evropská unie,20
ursula von,20
evropa potřebuje,19
střetu zájmů,17
česká republika,15
české republiky,15
střet zájmů,14
boje proti,14
lidských práv,14
daňovým únikům,13
evropské unie,13
rozpočtovou kontrolu,13
daňových poplatníků,12
bychom měli,12
svobodná aliance,12
české republice,12
výboru rozpočtovou,12
právního státu,12
mém blogu,12
českou republiku,11
proti daňovým,11
chtěl bych,11
evropské rady,11
minimální mzdu,11
víc než,10
andreje babiše,10
českém parlamentu,9
boj proti,9
členských států,9
členských zemí,9
evropské peníze,8
copyrightové směrnice,8
autorském právu,8
boji proti,8
roce 2015,8
minimální mzdy,8
pirátské strany,8
globální oteplování,8
nadnárodní korporace,8
cenzorní směrnici,7
budu rád,7
svobody internetu,7
bojovat proti,7
směrnice copyrightu,7
pana premiéra,7
digitální daně,7
životního prostředí,7
klimatická krize,7
evropské dotace,7
umělé inteligence,7
evropská rada,7
oxidu uhličitého,7
placení daní,7
mikuláš peksa,6
ursuly von,6
proti cenzorní,6
frakce svobodná,6
skleníkových plynů,6
evropské radě,6
bych chtěl,6
evropské armády,6
marek hilšer,6
ochranu klimatu,6
poslanecké sněmovně,6
evropská politika,6
předsedkyni evropské,6
evropských voleb,6
soudní dvůr,6
evropské záležitosti,6
ivan bartos,6
celé evropě,6
von der leyen,37
ursula von der,20
výboru rozpočtovou kontrolu,12
proti daňovým únikům,11
ursuly von der,6
frakce svobodná aliance,6
předsedkyni evropské komise,6
víceletý finanční rámec,6
emise skleníkových plynů,5
markéta gregorová brusel,5
zájmů andreje babiše,5
hlasování kvalifikovanou většinou,5
směrnici autorském právu,5
najdete mém blogu,5
základních lidských práv,5
čeští daňoví poplatníci,4
malé střední podniky,4
proti cenzorní směrnici,4
autorském právu jednotném,4
právu jednotném digitálním,4
jednotném digitálním trhu,4
rámci boje proti,4
společné zahraniční bezpečnostní,4
zahraniční bezpečnostní politiky,4
evropa potřebuje piráty,4
evropská politika zahraniční,4
politika zahraniční politika,4
rozpočtovou kontrolu cont,4
peněz evropských daňových,4
evropských daňových poplatníků,4
střet zájmů andreje,4
praní špinavých peněz,4
výboru evropské záležitosti,4
chtěl bych poděkovat,4
eu členské státy,4
eu mimo ní,4
porušování základních lidských,4
ps chcete zahrát,3
chcete zahrát peksaso,3
zahrát peksaso pojmenovali,3
peksaso pojmenovali kolegové,3
pojmenovali kolegové dost,3
kolegové dost hravou,3
dost hravou formou,3
