n-gram,frekvence
dnes,69
eu,53
čr,44
prezident,34
senátu,33
země,30
prezidenta,30
bezpečnost,30
naší,28
republiky,26
de,24
bezpečnostní,22
občanů,22
také,20
jeho,20
české,20
naše,19
díky,19
vláda,19
jednání,19
číny,19
musí,18
nato,17
vlády,17
bezpečnosti,17
zemi,17
další,17
jejich,17
státu,17
právě,16
parlamentu,16
ministra,16
ústavní,16
stát,16
obranu,15
naši,15
předseda,14
výboru,14
výbor,14
svobodu,14
zahraničí,13
budeme,13
senát,13
proti,13
zahraniční,13
mají,13
la,13
kultury,12
slova,12
zeman,12
potřebuje,12
více,11
měli,11
ruské,11
spolupráci,11
měl,11
zpráva,11
evropy,11
služby,11
demokracie,10
včera,10
ohrožení,10
miloš,10
řešení,10
úkol,10
ministr,10
třeba,10
dnešní,10
svobody,10
podle,10
rusko,10
ruska,10
mezi,10
instituce,10
rozhodnutí,10
našich,9
spolupráce,9
nejen,9
kterou,9
nemá,9
naší země,10
miloš zeman,10
právní stát,8
prezidenta republiky,7
prezident republiky,7
české republiky,7
bezpečnostní výbor,6
mezinárodní investiční,6
ruské federace,6
naší zemi,6
česká republika,5
deseti milionů,5
milionů občanů,5
obranu bezpečnost,5
zahraniční věci,5
výbor senátu,4
národní bezpečnost,4
bezpečnost deseti,4
prozatímního prezidenta,4
občanů čr,4
pavel fischer,4
ministr kultury,4
všech občanů,3
vláda čr,3
ústavní povinnost,3
senát právě,3
ministra kultury,3
milou zprávu,3
zprávu podporu,3
podporu pf,3
ústavní žalobu,3
žalobu prezidenta,3
společnosti home,3
home credit,3
slyšení národní,3
bezpečnost obchod,3
obchod čínou,3
senátu budeme,3
budeme věnovat,3
naši zemi,3
dobrá zpráva,3
de la,3
juana guaidó,3
prezidenta venezuely,3
václav havel,3
eu parlamentu,3
včera jednal,3
právního státu,3
lidská práva,3
boji svobodu,3
předseda vlády,3
území ukrajiny,3
veřejnoprávních médií,3
věci obranu,3
rady evropy,3
dnes senátu,3
zahraničního výboru,3
mém webu,3
pane senátore,3
zcela místě,3
myslím oběti,3
generálního tajemníka,3
čapí hnízdo,3
lidských práv,3
pan ministr,3
de tocqueville,3
víc než,3
mezinárodního práva,3
čínské lidové,3
lidové republiky,3
naše země,2
pekingem moskvou,2
eu musí,2
předseda senátu,2
miloše zemana,2
skupinou ppf,2
parlamentní demokracie,2
jan munk,2
pražské židovské,2
židovské obce,2
deseti milionů občanů,5
bezpečnost deseti milionů,4
bezpečnostní výbor senátu,3
milou zprávu podporu,3
zprávu podporu pf,3
ústavní žalobu prezidenta,3
společnosti home credit,3
národní bezpečnost obchod,3
bezpečnost obchod čínou,3
prozatímního prezidenta venezuely,3
zahraniční věci obranu,3
věci obranu bezpečnost,3
milionů občanů čr,3
čínské lidové republiky,3
pražské židovské obce,2
mezinárodní investiční banky,2
vyzývám prezidenta republiky,2
mezinárodní investiční bance,2
žalobu prezidenta republiky,2
právní stát musí,2
veřejného slyšení národní,2
slyšení národní bezpečnost,2
senátu budeme věnovat,2
volbami eu parlamentu,2
senátní bezpečnostní výbor,2
výboru obranu bezpečnost,2
ústavní žaloby prezidenta,2
vláda opírá hlasy,2
opírá hlasy komunistů,2
