n-gram,frekvence
andrej babiš,388
česká republika,258
andreje babiše,238
české republiky,215
hnutí ano,179
českou republiku,167
více než,123
koalice spolu,123
nouzového stavu,119
naše země,111
naši zemi,109
české republice,106
nouzový stav,104
děkuji všem,98
naší země,95
poslanecké sněmovně,93
předseda vlády,87
superhrubé mzdy,86
zrušení superhrubé,85
naší zemi,83
poslanecké sněmovny,81
předsedy vlády,81
vládní koalice,80
právě teď,70
ano čssd,66
top 09,65
nabytí nemovitosti,64
příští rok,59
snížení daní,59
miliard korun,58
miloš vystrčil,56
prodloužení nouzového,55
státního rozpočtu,54
těchto dnech,54
střetu zájmů,54
30 let,53
pátek sobotu,52
více peněz,52
prezident zeman,52
svobodu demokracii,51
česko dohromady,50
minulý týden,49
pan premiér,48
normálnímu životu,48
tato vláda,48
česko nohy,48
premiér babiš,48
vláda měla,47
naše vláda,47
superhrubou mzdu,46
teď jde,46
politické strany,45
zrušení daně,45
vláda musí,44
daně nabytí,44
abychom mohli,43
jižní moravě,43
miloš zeman,43
milí přátelé,42
senátních voleb,41
současná vláda,41
příští týden,40
přeji mu,40
můžete spolehnout,40
evropské unie,39
čtyři roky,39
senátních volbách,39
2 hdp,39
evropské komise,38
krajských voleb,38
konkrétní plán,38
střet zájmů,37
podívejte prosím,37
čssd ksčm,37
koalici spolu,37
vláda nemá,37
bohuslav sobotka,37
andreji babišovi,36
první linii,36
evropského parlamentu,36
přijďte prosím,36
miloše zemana,36
budu rád,36
nižší daně,35
petr fiala,35
čssd ano,35
volbám volte,35
evropská unie,35
posledních letech,34
mimo jiné,34
komunálních volbách,34
konkrétní návrhy,34
stát musí,34
pane premiére,34
naše návrhy,34
babišova vláda,34
jan hamáček,33
měl možnost,33
premiéra babiše,32
dáme česko,32
zrušení superhrubé mzdy,85
prodloužení nouzového stavu,55
zrušení daně nabytí,43
daně nabytí nemovitosti,43
dáme česko dohromady,31
markéta pekarová adamová,28
ano čssd ksčm,27
podívejte prosím krátké,25
česká republika potřebuje,23
prosím krátké shrnutí,23
vyslovení nedůvěry vládě,21
nominaci předsedu ods,21
spolu dáme česko,21
postavit česko nohy,21
mezi nejlepší země,20
zájmy české republiky,20
ods top 09,19
občanská demokratická strana,19
vláda andreje babiše,18
daň nabytí nemovitosti,18
čest jeho památce,17
ano spd ksčm,17
kole senátních voleb,16
mezi nejúspěšnější země,16
přijďte volbám volte,16
prosím pátek sobotu,15
návrat dětí škol,15
nejlepší země světě,15
mezi 10 nejlepších,15
krajských senátních volbách,15
jednání evropské rady,15
naše země potřebuje,14
velký právní úklid,14
2 hdp obranu,14
zrušit superhrubou mzdu,13
komunálních senátních volbách,13
obranu 2 hdp,13
pekarová adamová marian,13
adamová marian jurečka,13
změna můžete věřit,13
funkci předsedy vlády,12
nejvyšších ústavních činitelů,12
koalice ano čssd,12
přijďte prosím pátek,12
malým středním podnikatelům,12
dát česko dohromady,12
napříč politickým spektrem,12
premiér bohuslav sobotka,12
pište prosím přímo,12
děkuji všem přišli,12
mém novém videu,12
vracet normálnímu životu,12
volbám volte ods,12
komunální senátní volby,11
10 nejlepších zemí,11
postavíme česko nohy,11
otázky václava moravce,11
vlády andreje babiše,11
svolali mimořádnou schůzi,11
dostatek ochranných pomůcek,11
vysokých cen energií,11
30 let svobody,11
česká republika musí,11
patřit mezi nejlepší,11
pátek sobotu volbám,11
peníze zůstaly lidem,11
přijďte prosím volbám,11
druhém kole senátních,10
evropského politického společenství,10
naše koalice spolu,10
nejúspěšnější země světa,10
době ekonomického růstu,10
proti ruské agresi,10
mimořádnou schůzi sněmovny,10
prosím přímo komentářů,10
díl otázek odpovědí,10
spolu teď jde,10
ruská agrese ukrajině,10
gratuluji znovuzvolení předsedou,9
superhrubé mzdy díky,9
pohybu mezi okresy,9
30 000 korun,9
15 000 korun,9
vrátit normálnímu životu,9
nejlepších zemí světě,9
lídrem kandidátky ods,9
jím vedená kandidátka,9
předložíme konkrétní návrhy,9
lidem více peněz,9
držím mu palce,9
konce volebního období,9
přeji mu hodně,9
nejvyšší kontrolní úřad,9
hlasování nedůvěře vládě,9
zájmy naší země,9
zrušíme superhrubou mzdu,9
ano ksčm spd,9
ruské agresi ukrajině,9
přeji hodně sil,9
návratu normálnímu životu,9
zrušení daně nabytí nemovitosti,42
podívejte prosím krátké shrnutí,23
spolu dáme česko dohromady,21
mezi nejlepší země světě,15
markéta pekarová adamová marian,13
pekarová adamová marian jurečka,13
přijďte prosím pátek sobotu,12
mezi 10 nejlepších zemí,11
druhém kole senátních voleb,10
mezi nejúspěšnější země světa,10
pište prosím přímo komentářů,10
zrušení superhrubé mzdy díky,9
patřit mezi nejlepší země,9
více mém novém videu,9
10 nejlepších zemí světě,8
spolu změna můžete věřit,8
výdaje obranu 2 hdp,8
volbám volte koalici spolu,8
koalice ano čssd ksčm,7
návrh zrušení superhrubé mzdy,7
jiří nantl kandidát hejtmana,7
nantl kandidát hejtmana jihomoravského,7
kandidát hejtmana jihomoravského kraje,7
nominaci předsedu ods gratuluji,7
nový díl otázek odpovědí,7
jakub unucka občan politik,7
unucka občan politik lídr,7
občan politik lídr ods,7
zákaz pohybu mezi okresy,6
andrej babiš jan hamáček,6
více než 30 let,6
nechat lidem více peněz,6
marian jurečka markéta pekarová,6
jurečka markéta pekarová adamová,6
řešení vysokých cen energií,6
lídrem ods krajských voleb,6
volbám volte kandidáty ods,6
prodloužení nouzového stavu nepodpoříme,6
zrušit daň nabytí nemovitosti,6
díky vzrostou platy všem,6
hynek hanza primátor města,6
hanza primátor města teplice,6
primátor města teplice kandidát,6
města teplice kandidát senátu,6
teplice kandidát senátu parlamentu,6
kandidát senátu parlamentu čr,6
přijďte prosím volbám volte,6
budeme vládě eet zrušíme,6
svolali mimořádnou schůzi sněmovny,6
volte spolu teď jde,6
plán návratu normálnímu životu,6
přijďte volbám volte koalici,6
miloše zemana andreje babiše,6
spolu jedinečnou šanci změnit,6
jedinečnou šanci změnit českou,6
šanci změnit českou republiku,6
změnit českou republiku lepšímu,6
splnění určitých režimových opatření,6
podpořit navýšení rodičovského příspěvku,5
podařilo zrušit superhrubou mzdu,5
méně byrokracie více svobody,5
podzimní komunální senátní volby,5
společně dalšími opozičními stranami,5
nazývat věci pravými jmény,5
abychom postavili česko nohy,5
daně nabytí nemovitosti navrhovali,5
silný program silné česko,5
ondřej krutílek kandidát evropského,5
krutílek kandidát evropského parlamentu,5
přijďte pátek sobotu volbám,5
poctivá práce rozumná řešení,5
prosadit zrušení superhrubé mzdy,5
podporuje zrušení daně nabytí,5
prosím pátek sobotu volbám,5
přeji mu ať volbách,5
andreje babiše miloše zemana,5
registru partnerů veřejného sektoru,5
čínská diplomacie stále agresivnější,5
děkuji všem dnes přišli,5
změnit situaci této zemi,5
živě pište prosím přímo,5
frakce evropských konzervativců reformistů,5
milí přátelé nový díl,5
přátelé nový díl otázek,5
otázek odpovědí kramářovy vily,5
řešit skutečné problémy lidí,5
obsahovat přehlednou tabulku povinností,5
patřit mezi 10 nejlepších,5
další prodloužení nouzového stavu,5
4 roky 300 miliard,5
koalice ano spd ksčm,5
česká republika opět zemí,5
republika opět zemí vítězí,5
miliard korun více než,5
děkuji všechna milá setkání,5
čas dát česko dohromady,5
pojištění živnostníkům konce roku,5
přijďte volbám volte ods,5
nepodpoří žádný vládní návrh,5
žádný vládní návrh zákona,5
markéta pekarová adamová marian jurečka,13
mezi 10 nejlepších zemí světě,8
patřit mezi nejlepší země světě,8
jiří nantl kandidát hejtmana jihomoravského,7
nantl kandidát hejtmana jihomoravského kraje,7
jakub unucka občan politik lídr,7
unucka občan politik lídr ods,7
marian jurečka markéta pekarová adamová,6
hynek hanza primátor města teplice,6
hanza primátor města teplice kandidát,6
primátor města teplice kandidát senátu,6
města teplice kandidát senátu parlamentu,6
teplice kandidát senátu parlamentu čr,6
přijďte volbám volte koalici spolu,6
spolu jedinečnou šanci změnit českou,6
jedinečnou šanci změnit českou republiku,6
šanci změnit českou republiku lepšímu,6
zrušení daně nabytí nemovitosti navrhovali,5
ondřej krutílek kandidát evropského parlamentu,5
podporuje zrušení daně nabytí nemovitosti,5
přijďte prosím pátek sobotu volbám,5
milí přátelé nový díl otázek,5
přátelé nový díl otázek odpovědí,5
patřit mezi 10 nejlepších zemí,5
česká republika opět zemí vítězí,5
nepodpoří žádný vládní návrh zákona,5
vláda místo hledáni úspor zvolila,4
místo hledáni úspor zvolila cestu,4
hledáni úspor zvolila cestu navýšení,4
úspor zvolila cestu navýšení schodku,4
zvolila cestu navýšení schodku strategie,4
cestu navýšení schodku strategie potopa,4
více než 80 miliard vláda,4
všechny odmítla nemůže čekat navýšeni,4
odmítla nemůže čekat navýšeni schodku,4
nemůže čekat navýšeni schodku podpoříme,4
polokomunistická vláda ano čssd ksčm,4
andrej babiš začne řešit své,4
babiš začne řešit své osobní,4
začne řešit své osobní problémy,4
řešit své osobní problémy nevznikaly,4
své osobní problémy nevznikaly žádné,4
osobní problémy nevznikaly žádné pochybnosti,4
problémy nevznikaly žádné pochybnosti znamená,4
nevznikaly žádné pochybnosti znamená vyřešení,4
žádné pochybnosti znamená vyřešení svých,4
pochybnosti znamená vyřešení svých osobních,4
znamená vyřešení svých osobních problémů,4
audit výdajů státu plán snížení,4
výdajů státu plán snížení byrokracie,4
podařilo prosadit zrušení superhrubé mzdy,4
společně markéta pekarová adamová marian,4
zařadit projednání první bod úterní,4
projednání první bod úterní jednání,4
první bod úterní jednání sněmovny,4
ano čssd ksčm nevyhoví stejně,4
čssd ksčm nevyhoví stejně případě,4
ksčm nevyhoví stejně případě projednání,4
nevyhoví stejně případě projednání novičoku,4
stejně případě projednání novičoku svoláme,4
případě projednání novičoku svoláme mimořádnou,4
projednání novičoku svoláme mimořádnou schůzi,4
přeji mu ať volbách uspěje,4
ruského rosatomu tendru dostavbu dukovan,4
prohlášení slíbila nebude zvyšovat daně,4
proplácení všech dotací holding agrofert,4
členy vlády nejsou nominováni hnutím,4
vlády nejsou nominováni hnutím ano,4
konečným uživatelem výhod skupiny agrofert,4
čínská diplomacie stále agresivnější dopis,4
diplomacie stále agresivnější dopis čínského,4
stále agresivnější dopis čínského velvyslanectví,4
agresivnější dopis čínského velvyslanectví plánované,4
dopis čínského velvyslanectví plánované cestě,4
čínského velvyslanectví plánované cestě jaroslava,4
velvyslanectví plánované cestě jaroslava kubery,4
plánované cestě jaroslava kubery obsahoval,4
