n-gram,frekvence
praze,76
prahy,53
dnes,45
praha,32
města,27
právě,18
mýto,18
další,17
proti,17
díky,15
také,15
jednání,15
centru,15
nové,14
naše,14
okruh,13
aut,13
roku,13
stromů,13
děkuji,13
centrum,13
auta,12
vzduchu,12
všem,12
vysokoemisní,12
prostředí,11
centra,11
teď,11
prahu,11
mhd,11
více,11
mýta,10
rada,10
pak,10
my,10
než,10
podle,10
nebude,10
části,9
zavedení,9
tedy,9
vedení,9
hlavního,9
vláda,9
co2,9
vozidla,9
fakt,9
myslím,8
rady,8
celé,8
pražské,8
zde,8
nechceme,8
koalice,8
musí,8
jejich,8
místo,8
lidí,8
probíhá,8
práce,7
městské,7
korun,7
suchu,7
své,7
republice,7
zdraví,7
schváleno,7
nová,7
pražských,7
radě,7
budeme,7
kvůli,7
nových,7
opatření,7
novou,7
čr,7
nevím,7
provozu,7
lidé,7
mají,7
hlavního města,9
centru prahy,8
zavedení mýta,7
proti suchu,7
vysokoemisní vozidla,7
města prahy,7
vzduchu praze,6
městské části,5
životní prostředí,5
plavební komory,5
životního prostředí,4
vjet centra,4
ničit zdraví,4
jednání rady,4
smetanova nábřeží,4
právě teď,4
děkuji všem,4
jednání zastupitelstva,4
náměstek primátora,4
dnes praze,4
centrum prahy,4
emisí co2,4
nových stromů,4
ulicích prahy,3
rada schválila,3
praze druhý,3
druhý nejhorší,3
nejhorší republice,3
nezakazuje nikomu,3
nikomu vjet,3
centra města,3
kouřící auta,3
neustále ničit,3
dnes schváleno,3
praze nechceme,3
roku 2030,3
staroměstském náměstí,3
praze 9,3
zdraví pražanů,3
top 09,3
vedení města,3
mýta vysokoemisní,3
záchranná stanice,3
petr hlubuček,3
další plavební,3
roce 2050,3
mýto vysokoemisní,3
vysokoemisní vozidlo,3
dětského ostrova,3
naše vláda,3
rostlinného bioodpadu,3
rostlinný bioodpad,3
víc než,3
takhle vypadá,2
technického stavu,2
stavu vozidel,2
sebou také,2
milionů korun,2
politických stran,2
dopravní podnik,2
dopravního podniku,2
dozorčí rady,2
mýto nezakazuje,2
auta měla,2
měla neustále,2
zdraví obyvatel,2
složky izs,2
topení uhlím,2
prahy pochází,2
turistů praze,2
bezpečnost pražanů,2
střetu zájmů,2
komunální politik,2
politik radní,2
david smoljak,2
celou dobu,2
schváleno radě,2
klimatický závazek,2
snížíme emise,2
emise co2,2
hlavního města prahy,6
vzduchu praze druhý,3
praze druhý nejhorší,3
druhý nejhorší republice,3
nezakazuje nikomu vjet,3
nikomu vjet centra,3
neustále ničit zdraví,3
ničit zdraví pražanů,3
zavedení mýta vysokoemisní,3
mýta vysokoemisní vozidla,3
technického stavu vozidel,2
mýto nezakazuje nikomu,2
kouřící auta měla,2
auta měla neustále,2
měla neustále ničit,2
komunální politik radní,2
snížíme emise co2,2
plán udržitelné mobility,2
dny otevřených dveří,2
otevřených dveří útulku,2
výstavbu nového pavilonu,2
nového pavilonu goril,2
okruh sebe nejsou,2
vjet centra vysokoemisní,2
vysokoemisní vozidla zaplatí,2
novou expozici psounů,2
upřímnou soustrast všem,2
soustrast všem pozůstalým,2
starostové proti suchu,2
náměstek primátora petr,2
primátora petr hlubuček,2
další plavební komory,2
obvinit radu hlavního,2
radu hlavního města,2
rekonstrukci libeňského mostu,2
bych neřekl zdroj,2
mýto vysokoemisní vozidla,2
vysokoemisní vozidlo počítá,2
