n-gram,frekvence
dnes,71
péče,47
domácí,46
sociálních,40
rodiče,37
péči,32
zdravotní,30
děti,27
senátu,27
chceme,26
služeb,25
jejich,25
také,24
rodiny,24
mě,24
ministryně,23
vláda,23
let,22
sociální,21
více,20
mají,20
právě,20
peníze,19
děkuji,18
naše,18
ráda,18
musíme,18
služby,18
práce,17
podle,17
korun,17
dětí,17
podpora,17
než,17
návrh,16
další,16
doma,16
den,16
jeho,16
dítě,15
života,15
totiž,15
naši,15
česká,14
30,14
jim,13
české,13
poslanci,13
ženy,13
situace,13
rodinou,13
rodičů,13
žen,13
tisíc,13
můžete,12
první,12
konference,12
pak,12
či,12
jednání,12
parlamentu,12
společně,12
čr,12
zdravotnictví,12
budeme,12
opravdu,12
příspěvek,12
strany,12
kraje,11
chce,11
dětmi,11
víc,11
musí,11
zítra,11
systém,11
třeba,11
doporučuji,11
především,11
teď,11
všem,11
sociálních služeb,23
domácí zdravotní,23
zdravotní péče,20
domácí péče,15
sociální služby,11
česká republika,10
sociálních službách,10
zdravotní péči,8
domácí péči,8
zlínského kraje,7
práce sociálních,7
sociálních věcí,7
vychované dítě,7
marek výborný,7
poslanecké sněmovny,7
4 let,7
kolegové poslanci,7
každé vychované,6
charita česká,6
evropského parlamentu,6
podle mě,6
senátorského klubu,6
ministryně práce,5
více dětmi,5
střední třída,5
daňové bonusy,5
nižší důchody,5
500 korun,5
záchranu domácí,5
tomáš baťa,5
baťa pohledem,5
pohledem studentů,5
bystřice hostýnem,5
milé pozornosti,5
rodičovský příspěvek,5
paní ministryně,5
30 lety,5
30 let,5
financování sociálních,5
rodičovského příspěvku,5
kdu čsl,5
senátorské kanceláři,4
kanceláři kroměříži,4
mateřské rodičovské,4
návrh líbí,4
starší nemocní,4
strávit těžké,4
těžké chvíle,4
rodinou plentou,4
plentou nemocnici,4
petici záchranu,4
doporučuji vaší,4
poskytla svoji,4
svoji záštitu,4
svatém hostýně,4
obchodní bystřice,4
vaší milé,4
parlamentu čr,4
ministr zdravotnictví,4
svou rodinou,4
systém péče,4
jednání poslanecké,4
české republiky,4
klubu nezávislí,4
poskytovatelé sociálních,4
dětí 4,4
minulý týden,4
senátorský klub,4
sdružení žen,4
dobrá zpráva,4
své senátorské,3
kroměříži těším,3
útok rodiny,3
vydělané peníze,3
poslanecké sněmovně,3
varšavské smlouvy,3
dva tisíce,3
péče nachází,3
pokraji krachu,3
tempus fugit,3
domácí zdravotní péče,16
práce sociálních věcí,7
domácí zdravotní péči,7
každé vychované dítě,6
charita česká republika,6
ministryně práce sociálních,5
tomáš baťa pohledem,5
baťa pohledem studentů,5
financování sociálních služeb,5
senátorské kanceláři kroměříži,4
strávit těžké chvíle,4
rodinou plentou nemocnici,4
petici záchranu domácí,4
poskytla svoji záštitu,4
obchodní bystřice hostýnem,4
vaší milé pozornosti,4
jednání poslanecké sněmovny,4
senátorského klubu nezávislí,4
poskytovatelé sociálních služeb,4
dětí 4 let,4
zdravotní péče nachází,3
souboru barokních kostelů,3
doporučuji vaší milé,3
mohli starší nemocní,3
starší nemocní strávit,3
nemocní strávit těžké,3
těžké chvíle svou,3
chvíle svou rodinou,3
svou rodinou plentou,3
celý systém péče,3
podepsala petici záchranu,3
záchranu domácí zdravotní,3
předseda marek výborný,3
navýšení rodičovského příspěvku,3
vážení spoluobčané první,2
spoluobčané první čtvrtek,2
první čtvrtek měsíci,2
své senátorské kanceláři,2
kanceláři kroměříži těším,2
kroměříži těším případné,2
těším případné setkání,2
případné setkání také,2
setkání také čtvrtek,2
rodinám sebrat jejich,2
sebrat jejich vydělané,2
jejich vydělané peníze,2
dva tisíce korun,2
500 korun maminkám,2
korun maminkám důchodu,2
maminkám důchodu každé,2
důchodu každé vychované,2
delší dobu mateřské,2
dobu mateřské rodičovské,2
jedna oblast zdravotní,2
oblast zdravotní péče,2
péče nachází pokraji,2
nachází pokraji krachu,2
pokraji krachu tou,2
krachu tou oblastí,2
tou oblastí domácí,2
oblastí domácí zdravotní,2
zdravotní péče celá,2
péče celá situace,2
celá situace připadá,2
situace připadá šílená,2
připadá šílená nechci,2
šílená nechci zažít,2
nechci zažít systém,2
zažít systém skutečně,2
systém skutečně zhroutí,2
skutečně zhroutí přečtěte,2
zhroutí přečtěte komentář,2
přečtěte komentář současnému,2
komentář současnému stavu,2
konference zlínského kraje,2
chvíle svojí rodinou,2
záchranu domácí péče,2
vychované dítě dřívější,2
dítě dřívější odchod,2
dřívější odchod důchodu,2
ministryně práce sociálních věcí,5
tomáš baťa pohledem studentů,5
doporučuji vaší milé pozornosti,3
mohli starší nemocní strávit,3
starší nemocní strávit těžké,3
nemocní strávit těžké chvíle,3
strávit těžké chvíle svou,3
těžké chvíle svou rodinou,3
chvíle svou rodinou plentou,3
svou rodinou plentou nemocnici,3
podepsala petici záchranu domácí,3
petici záchranu domácí zdravotní,3
záchranu domácí zdravotní péče,3
vážení spoluobčané první čtvrtek,2
spoluobčané první čtvrtek měsíci,2
své senátorské kanceláři kroměříži,2
senátorské kanceláři kroměříži těším,2
kanceláři kroměříži těším případné,2
kroměříži těším případné setkání,2
těším případné setkání také,2
případné setkání také čtvrtek,2
rodinám sebrat jejich vydělané,2
sebrat jejich vydělané peníze,2
500 korun maminkám důchodu,2
korun maminkám důchodu každé,2
maminkám důchodu každé vychované,2
důchodu každé vychované dítě,2
delší dobu mateřské rodičovské,2
jedna oblast zdravotní péče,2
oblast zdravotní péče nachází,2
zdravotní péče nachází pokraji,2
péče nachází pokraji krachu,2
nachází pokraji krachu tou,2
pokraji krachu tou oblastí,2
krachu tou oblastí domácí,2
tou oblastí domácí zdravotní,2
oblastí domácí zdravotní péče,2
domácí zdravotní péče celá,2
zdravotní péče celá situace,2
péče celá situace připadá,2
celá situace připadá šílená,2
situace připadá šílená nechci,2
připadá šílená nechci zažít,2
šílená nechci zažít systém,2
nechci zažít systém skutečně,2
zažít systém skutečně zhroutí,2
systém skutečně zhroutí přečtěte,2
skutečně zhroutí přečtěte komentář,2
zhroutí přečtěte komentář současnému,2
přečtěte komentář současnému stavu,2
vychované dítě dřívější odchod,2
dítě dřívější odchod důchodu,2
unikátního souboru barokních kostelů,2
13 hodin jurkovičově sále,2
jurkovičově sále svatém hostýně,2
střední školou nábytkářskou obchodní,2
školou nábytkářskou obchodní bystřice,2
nábytkářskou obchodní bystřice hostýnem,2
ministr zdravotnictví měl zasáhnout,2
zdravotnictví měl zasáhnout úhradové,2
měl zasáhnout úhradové vyhlášky,2
zasáhnout úhradové vyhlášky zajistit,2
úhradové vyhlášky zajistit dostatek,2
vyhlášky zajistit dostatek financí,2
zajistit dostatek financí domácí,2
dostatek financí domácí zdravotní,2
financí domácí zdravotní péči,2
prioritou chceme mohli starší,2
chceme mohli starší nemocní,2
národní třída místo začala,2
třída místo začala změna,2
místo začala změna místo,2
začala změna místo díky,2
změna místo díky kterému,2
místo díky kterému dnes,2
díky kterému dnes svobodu,2
přírodě dáme také vrátí,2
ústavní ochrana vody ochrana,2
ochrana vody ochrana půdy,2
vody ochrana půdy řešení,2
mohli starší nemocní strávit těžké,3
starší nemocní strávit těžké chvíle,3
nemocní strávit těžké chvíle svou,3
strávit těžké chvíle svou rodinou,3
těžké chvíle svou rodinou plentou,3
chvíle svou rodinou plentou nemocnici,3
podepsala petici záchranu domácí zdravotní,3
petici záchranu domácí zdravotní péče,3
vážení spoluobčané první čtvrtek měsíci,2
své senátorské kanceláři kroměříži těším,2
senátorské kanceláři kroměříži těším případné,2
kanceláři kroměříži těším případné setkání,2
kroměříži těším případné setkání také,2
těším případné setkání také čtvrtek,2
rodinám sebrat jejich vydělané peníze,2
500 korun maminkám důchodu každé,2
korun maminkám důchodu každé vychované,2
maminkám důchodu každé vychované dítě,2
jedna oblast zdravotní péče nachází,2
oblast zdravotní péče nachází pokraji,2
zdravotní péče nachází pokraji krachu,2
péče nachází pokraji krachu tou,2
nachází pokraji krachu tou oblastí,2
pokraji krachu tou oblastí domácí,2
krachu tou oblastí domácí zdravotní,2
tou oblastí domácí zdravotní péče,2
oblastí domácí zdravotní péče celá,2
domácí zdravotní péče celá situace,2
zdravotní péče celá situace připadá,2
péče celá situace připadá šílená,2
celá situace připadá šílená nechci,2
situace připadá šílená nechci zažít,2
připadá šílená nechci zažít systém,2
šílená nechci zažít systém skutečně,2
nechci zažít systém skutečně zhroutí,2
zažít systém skutečně zhroutí přečtěte,2
systém skutečně zhroutí přečtěte komentář,2
skutečně zhroutí přečtěte komentář současnému,2
zhroutí přečtěte komentář současnému stavu,2
vychované dítě dřívější odchod důchodu,2
střední školou nábytkářskou obchodní bystřice,2
školou nábytkářskou obchodní bystřice hostýnem,2
ministr zdravotnictví měl zasáhnout úhradové,2
zdravotnictví měl zasáhnout úhradové vyhlášky,2
měl zasáhnout úhradové vyhlášky zajistit,2
zasáhnout úhradové vyhlášky zajistit dostatek,2
úhradové vyhlášky zajistit dostatek financí,2
vyhlášky zajistit dostatek financí domácí,2
zajistit dostatek financí domácí zdravotní,2
dostatek financí domácí zdravotní péči,2
prioritou chceme mohli starší nemocní,2
chceme mohli starší nemocní strávit,2
národní třída místo začala změna,2
třída místo začala změna místo,2
místo začala změna místo díky,2
začala změna místo díky kterému,2
změna místo díky kterému dnes,2
místo díky kterému dnes svobodu,2
ústavní ochrana vody ochrana půdy,2
ochrana vody ochrana půdy řešení,2
vody ochrana půdy řešení odpadů,2
ochrana půdy řešení odpadů příprava,2
půdy řešení odpadů příprava měst,2
řešení odpadů příprava měst změnu,2
odpadů příprava měst změnu klimatu,2
příprava měst změnu klimatu snížení,2
měst změnu klimatu snížení emisí,2
změnu klimatu snížení emisí podpora,2
klimatu snížení emisí podpora krajinných,2
snížení emisí podpora krajinných prvků,2
emisí podpora krajinných prvků podpora,2
podpora krajinných prvků podpora obnovitelných,2
krajinných prvků podpora obnovitelných zdrojů,2
ministryní gender děti sociální věci,2
gender děti sociální věci ghany,2
dnešní tiskové konference senátorského klubu,2
poskytovatelé sociálních služeb nemohou klidně,2
sociálních služeb nemohou klidně spát,2
služeb nemohou klidně spát dlouho,2
nemohou klidně spát dlouho volá,2
