n-gram,frekvence
hradiště,76
dnes,64
let,51
třeba,50
tady,49
mě,48
hradišti,45
jeho,44
další,39
než,36
více,35
díky,34
teď,31
pořád,30
naše,30
bych,30
ano,29
jejich,28
vláda,27
eet,27
všechny,27
zase,26
lidi,25
lidí,24
radost,23
opravdu,23
dopravy,23
města,23
své,22
stejně,22
měli,22
ods,22
dneska,21
včera,21
d1,20
víc,20
ať,20
týden,20
rok,20
první,20
jestli,19
místo,19
sněmovně,19
den,19
podle,19
jim,19
lidé,18
vlády,18
doufám,18
rád,18
pár,18
nikdy,18
takto,18
poslední,17
dobře,17
všem,17
letos,17
mu,17
prostě,17
dlouho,17
hlavně,16
děti,16
roku,16
město,16
roky,16
2,16
můžete,15
právě,15
jednou,15
žije,15
mají,15
hned,15
jeden,15
něj,14
mezi,14
slovácko,14
skoro,14
ps,14
náměstí,14
chce,14
hradiště žije,11
držte palce,10
uherské hradiště,10
30 let,9
více než,7
let revoluci,7
slavnosti vína,7
víc než,5
novoroční předsevzetí,5
dobré zprávy,5
více videu,5
bych přál,5
vládní koalice,5
pane ministře,5
zase jednou,5
andrej babiš,5
jinými slovy,5
jedno malé,5
pár let,5
celý svět,4
palce ať,4
000 kč,4
musím říct,4
10 let,4
poslední době,4
slováckého divadla,4
zlínského kraje,4
přitom stačilo,4
lidé měli,4
našem regionu,4
letní filmová,4
filmová škola,4
škola uherské,4
nového roku,4
uherského hradiště,4
3 roky,4
výběr mýta,4
1x tady,4
ministr dopravy,4
5 měsíců,4
čím dál,4
podle mě,4
paměť národa,3
ať vydrží,3
svůj byznys,3
celá země,3
dálniční známku,3
ode dneška,3
minulý týden,3
kole vinohrady,3
dnes slaví,3
pravou nohou,3
měli připomínat,3
25 let,3
říkám pořád,3
domácí pálení,3
přesně důvod,3
jít nahoru,3
mld kč,3
hradiště hraje,3
státního rozpočtu,3
dan ťok,3
doby znal,3
znal naše,3
naše výrobky,3
výrobky celý,3
svět naši,3
naši lidé,3
měli úctu,3
úctu doma,3
doma zahraničí,3
zahraničí věřím,3
věřím zpět,3
babišem čele,3
čele státu,3
nepřekrucuje fakta,3
fakta sprostě,3
sprostě neuráží,3
neuráží své,3
své oponenty,3
30 let revoluci,7
držte palce ať,4
letní filmová škola,4
filmová škola uherské,4
škola uherské hradiště,4
doby znal naše,3
znal naše výrobky,3
naše výrobky celý,3
výrobky celý svět,3
celý svět naši,3
svět naši lidé,3
naši lidé měli,3
lidé měli úctu,3
měli úctu doma,3
úctu doma zahraničí,3
doma zahraničí věřím,3
zahraničí věřím zpět,3
babišem čele státu,3
nepřekrucuje fakta sprostě,3
fakta sprostě neuráží,3
sprostě neuráží své,3
neuráží své oponenty,3
své oponenty hlavně,3
oponenty hlavně potenciál,3
hlavně potenciál inspirovat,3
potenciál inspirovat spojovat,3
inspirovat spojovat společnost,3
kvalitní politici nerostou,3
politici nerostou billboardech,3
čím dál víc,3
logistiky krizového řízení,3
posledních pár let,3
chov velbloudů pěstování,3
velbloudů pěstování rýže,3
víc pohybu největší,2
pohybu největší novoroční,2
největší novoroční předsevzetí,2
palce ať vydrží,2
ať vydrží dostanu,2
vydrží dostanu dvoumístných,2
dostanu dvoumístných čísel,2
zjistila nemá peníze,2
trhá rekordy stažení,2
lidé ví jeho,2
ví jeho párky,2
jeho párky nejhoršího,2
párky nejhoršího masa,2
nejhoršího masa špekáčky,2
masa špekáčky plné,2
špekáčky plné vody,2
té samé věci,2
hradiště žije díky,2
žije díky žijí,2
díky žijí naše,2
žijí naše zvyky,2
naše zvyky dnešní,2
zvyky dnešní vynášení,2
dnešní vynášení moreny,2
vynášení moreny předávání,2
moreny předávání létečka,2
předávání létečka radnici,2
létečka radnici děkuji,2
radnici děkuji návštěvu,2
děkuji návštěvu těším,2
návštěvu těším zítřek,2
těším zítřek menším,2
zítřek menším zpožděním,2
menším zpožděním přijít,2
zpožděním přijít pravé,2
přijít pravé jarní,2
pravé jarní počasí,2
slovácké beachové léto,2
dnes prvním sněmovním,2
prvním sněmovním zasedání,2
sněmovním zasedání roce,2
zasedání roce hlavně,2
roce hlavně vykročit,2
hlavně vykročit pravou,2
vykročit pravou nohou,2
bychom měli připomínat,2
letní filmová škola uherské,4
filmová škola uherské hradiště,4
doby znal naše výrobky,3
znal naše výrobky celý,3
naše výrobky celý svět,3
výrobky celý svět naši,3
celý svět naši lidé,3
svět naši lidé měli,3
naši lidé měli úctu,3
lidé měli úctu doma,3
měli úctu doma zahraničí,3
úctu doma zahraničí věřím,3
doma zahraničí věřím zpět,3
nepřekrucuje fakta sprostě neuráží,3
fakta sprostě neuráží své,3
sprostě neuráží své oponenty,3
neuráží své oponenty hlavně,3
své oponenty hlavně potenciál,3
oponenty hlavně potenciál inspirovat,3
hlavně potenciál inspirovat spojovat,3
potenciál inspirovat spojovat společnost,3
kvalitní politici nerostou billboardech,3
chov velbloudů pěstování rýže,3
víc pohybu největší novoroční,2
pohybu největší novoroční předsevzetí,2
držte palce ať vydrží,2
palce ať vydrží dostanu,2
ať vydrží dostanu dvoumístných,2
vydrží dostanu dvoumístných čísel,2
lidé ví jeho párky,2
ví jeho párky nejhoršího,2
jeho párky nejhoršího masa,2
párky nejhoršího masa špekáčky,2
nejhoršího masa špekáčky plné,2
masa špekáčky plné vody,2
hradiště žije díky žijí,2
žije díky žijí naše,2
díky žijí naše zvyky,2
žijí naše zvyky dnešní,2
naše zvyky dnešní vynášení,2
zvyky dnešní vynášení moreny,2
dnešní vynášení moreny předávání,2
vynášení moreny předávání létečka,2
moreny předávání létečka radnici,2
předávání létečka radnici děkuji,2
létečka radnici děkuji návštěvu,2
radnici děkuji návštěvu těším,2
děkuji návštěvu těším zítřek,2
návštěvu těším zítřek menším,2
těším zítřek menším zpožděním,2
zítřek menším zpožděním přijít,2
menším zpožděním přijít pravé,2
zpožděním přijít pravé jarní,2
přijít pravé jarní počasí,2
dnes prvním sněmovním zasedání,2
prvním sněmovním zasedání roce,2
sněmovním zasedání roce hlavně,2
zasedání roce hlavně vykročit,2
roce hlavně vykročit pravou,2
hlavně vykročit pravou nohou,2
rozkopaná jezdím ní prahy,2
týden vím čem mluvím,2
jít nahoru kvalita jinak,2
jan palach 11 8,2
palach 11 8 1948,2
11 8 1948 19,2
8 1948 19 1,2
1948 19 1 nezapomeneme,2
hradiště žije hradiště hraje,2
kultovní film věry chytilové,2
film věry chytilové něm,2
věry chytilové něm rozdávaly,2
chytilové něm rozdávaly čepičky,2
něm rozdávaly čepičky nikdo,2
rozdávaly čepičky nikdo nechtěl,2
přitom stačilo zeptat bohuša,2
pane ministře chlubíte omlouváte,2
ministře chlubíte omlouváte věřím,2
chlubíte omlouváte věřím druhé,2
omlouváte věřím druhé předchůdce,2
letní filmová škola uherské hradiště,4
doby znal naše výrobky celý,3
znal naše výrobky celý svět,3
naše výrobky celý svět naši,3
výrobky celý svět naši lidé,3
celý svět naši lidé měli,3
svět naši lidé měli úctu,3
naši lidé měli úctu doma,3
lidé měli úctu doma zahraničí,3
měli úctu doma zahraničí věřím,3
úctu doma zahraničí věřím zpět,3
nepřekrucuje fakta sprostě neuráží své,3
fakta sprostě neuráží své oponenty,3
sprostě neuráží své oponenty hlavně,3
neuráží své oponenty hlavně potenciál,3
své oponenty hlavně potenciál inspirovat,3
oponenty hlavně potenciál inspirovat spojovat,3
hlavně potenciál inspirovat spojovat společnost,3
víc pohybu největší novoroční předsevzetí,2
držte palce ať vydrží dostanu,2
palce ať vydrží dostanu dvoumístných,2
ať vydrží dostanu dvoumístných čísel,2
lidé ví jeho párky nejhoršího,2
ví jeho párky nejhoršího masa,2
jeho párky nejhoršího masa špekáčky,2
párky nejhoršího masa špekáčky plné,2
nejhoršího masa špekáčky plné vody,2
hradiště žije díky žijí naše,2
žije díky žijí naše zvyky,2
díky žijí naše zvyky dnešní,2
žijí naše zvyky dnešní vynášení,2
naše zvyky dnešní vynášení moreny,2
zvyky dnešní vynášení moreny předávání,2
dnešní vynášení moreny předávání létečka,2
vynášení moreny předávání létečka radnici,2
moreny předávání létečka radnici děkuji,2
předávání létečka radnici děkuji návštěvu,2
létečka radnici děkuji návštěvu těším,2
radnici děkuji návštěvu těším zítřek,2
děkuji návštěvu těším zítřek menším,2
návštěvu těším zítřek menším zpožděním,2
těším zítřek menším zpožděním přijít,2
zítřek menším zpožděním přijít pravé,2
menším zpožděním přijít pravé jarní,2
zpožděním přijít pravé jarní počasí,2
dnes prvním sněmovním zasedání roce,2
prvním sněmovním zasedání roce hlavně,2
sněmovním zasedání roce hlavně vykročit,2
zasedání roce hlavně vykročit pravou,2
roce hlavně vykročit pravou nohou,2
jan palach 11 8 1948,2
palach 11 8 1948 19,2
11 8 1948 19 1,2
8 1948 19 1 nezapomeneme,2
kultovní film věry chytilové něm,2
film věry chytilové něm rozdávaly,2
věry chytilové něm rozdávaly čepičky,2
chytilové něm rozdávaly čepičky nikdo,2
něm rozdávaly čepičky nikdo nechtěl,2
pane ministře chlubíte omlouváte věřím,2
ministře chlubíte omlouváte věřím druhé,2
chlubíte omlouváte věřím druhé předchůdce,2
omlouváte věřím druhé předchůdce dan,2
věřím druhé předchůdce dan ťok,2
druhé předchůdce dan ťok původně,2
předchůdce dan ťok původně slíbil,2
dan ťok původně slíbil 2019,2
naše republika nedávno oslavila sté,2
republika nedávno oslavila sté výročí,2
nedávno oslavila sté výročí založení,2
oslavila sté výročí založení doby,2
sté výročí založení doby znal,2
výročí založení doby znal naše,2
založení doby znal naše výrobky,2
doma zahraničí věřím zpět babišem,2
zahraničí věřím zpět babišem čele,2
věřím zpět babišem čele státu,2
vyznamenání oslovil několik hradišťáků bych,2
oslovil několik hradišťáků bych rád,2
několik hradišťáků bych rád navrhl,2
