n-gram,frekvence
let,70
příspěvek,66
pět,64
starý,62
reagujete,59
návrh,47
ano,45
než,45
víte,45
spd,39
proti,38
více,38
piráti,36
české,36
vážně,30
pouze,28
podle,28
strany,26
kč,23
čtk,22
rady,22
babiš,21
no,21
ods,21
dnes,20
jeho,19
piráty,19
tady,19
již,18
nyní,18
tedy,18
sněmovně,17
média,17
měl,17
babiše,17
mě,17
například,16
jinak,16
rád,16
teď,16
zákona,16
eu,16
další,15
mají,15
čt,15
také,15
jeden,15
médií,15
zatím,15
či,14
jejich,14
nikdo,14
bych,14
právě,14
třeba,14
všechny,14
top09,13
vy,13
pozměňovací,13
návrhu,13
poslanci,13
poslanec,13
kdyby,13
přes,13
mezi,13
své,13
kvůli,13
opět,13
sněmovny,13
konkrétní,13
2,13
jde,12
část,12
hlasů,12
pirátů,12
díky,12
podporu,12
nemá,12
nejen,12
prosím,12
pět let,63
let starý,62
starý příspěvek,59
reagujete pět,57
víte reagujete,41
rady čtk,13
pozměňovací návrh,12
více než,10
státního rozpočtu,9
tomáš martínek,7
českého rozhlasu,7
hnutí ano,6
tajné volbě,6
české republiky,6
české lípě,5
nabytí nemovitých,5
nemovitých věcí,5
ano spd,5
poslanecká sněmovna,5
michal semín,5
so orp,5
střetu zájmů,5
volební systém,5
andreje babiše,5
tomio okamura,5
mld kč,5
radě čtk,5
přesný opak,4
mediálního prostoru,4
parlamentní listy,4
právě teď,4
jeden konkrétní,4
orp turnov,4
manželství všechny,4
prezident zeman,4
poměrného zastoupení,4
prostřednictvím uživatele,4
členů rady,4
de facto,4
proti tajné,4
české televize,4
veřejnoprávních médií,4
dole turów,4
mediální gramotnosti,4
poslanecké sněmovny,4
premiérovi babišovi,4
veřejnoprávní média,4
nevolenou stranu,4
rady českého,4
hlasů než,3
zavádějící informace,3
tv barrandov,3
premiéra babiše,3
zavádějících informací,3
delší dobu,3
tv nova,3
rozdíl mezi,3
poslanecké sněmovně,3
čt rok,3
středoškolské matematiky,3
nejvíc hlasů,3
jedná pět,3
veřejných peněz,3
mediální prostor,3
česká pirátská,3
pirátská strana,3
již nyní,3
vkládána úst,3
nominační zákon,3
piráti schválení,3
schválení zpráv,3
vládní návrh,3
konkrétní příklad,3
podle všeho,3
šedou zónu,3
rozšíření těžby,3
polském dole,3
ústavních činitelů,3
všem ostatním,3
demokratických voleb,3
pět let starý,61
let starý příspěvek,59
reagujete pět let,57
víte reagujete pět,40
nabytí nemovitých věcí,5
so orp turnov,4
proti tajné volbě,4
rady českého rozhlasu,4
jedná pět let,3
česká pirátská strana,3
piráti schválení zpráv,3
jeden konkrétní příklad,3
polském dole turów,3
daně nabytí nemovitých,3
hodnotu nemovitosti 2,3
podporu mediální gramotnosti,3
místo radě čtk,3
let starý příspevek,3
glocin teuronem přípomíná,2
teuronem přípomíná další,2
přípomíná další podezřelé,2
další podezřelé projekty,2
podezřelé projekty typu,2
projekty typu onecoin,2
typu onecoin či,2
onecoin či dascoin,2
či dascoin dejte,2
dascoin dejte pozor,2
dejte pozor často,2
pozor často ukázat,2
často ukázat reálnou,2
ukázat reálnou decentralizovanou,2
reálnou decentralizovanou kryptoměnu,2
decentralizovanou kryptoměnu nejedná,2
kryptoměnu nejedná jde,2
nejedná jde podvod,2
jde podvod důvěřivé,2
podvod důvěřivé klienty,2
znalost základoškolské matematiky,2
pár měsíců dříve,2
mezi 16 18h,2
dani nabytí nemovitých,2
nevím nechtíc právě,2
nechtíc právě barrandov,2
právě barrandov přepnul,2
barrandov přepnul zrovna,2
přepnul zrovna řeční,2
zrovna řeční aréně,2
řeční aréně mladík,2
aréně mladík ods,2
mladík ods navíc,2
ods navíc zaklínala,2
navíc zaklínala nepůjde,2
české tiskové kanceláře,2
již delší dobu,2
rozbor tohoto rozhovoru,2
spd praha pán,2
eurovolbách půjde sněmovny,2
půjde sněmovny nová,2
sněmovny nová zpráva,2
nová zpráva činnosti,2
zpráva činnosti čt,2
činnosti čt rok,2
vyzývá nevolit prezidenta,2
mediálního prostoru babišovy,2
tomio okamura šíří,2
okamura šíří dezinformace,2
šíří dezinformace nejen,2
dezinformace nejen sociálních,2
nejen sociálních sítích,2
sociálních sítích sněmovně,2
sítích sněmovně daná,2
sněmovně daná dezinformace,2
daná dezinformace vkládána,2
dezinformace vkládána úst,2
vkládána úst našim,2
úst našim spojencům,2
našim spojencům navíc,2
spojencům navíc poškodit,2
navíc poškodit pověst,2
pět let starý příspěvek,58
reagujete pět let starý,57
víte reagujete pět let,40
jedná pět let starý,3
daně nabytí nemovitých věcí,3
pět let starý příspevek,3
glocin teuronem přípomíná další,2
teuronem přípomíná další podezřelé,2
přípomíná další podezřelé projekty,2
další podezřelé projekty typu,2
podezřelé projekty typu onecoin,2
projekty typu onecoin či,2
typu onecoin či dascoin,2
onecoin či dascoin dejte,2
či dascoin dejte pozor,2
dascoin dejte pozor často,2
dejte pozor často ukázat,2
pozor často ukázat reálnou,2
často ukázat reálnou decentralizovanou,2
ukázat reálnou decentralizovanou kryptoměnu,2
reálnou decentralizovanou kryptoměnu nejedná,2
decentralizovanou kryptoměnu nejedná jde,2
kryptoměnu nejedná jde podvod,2
