n-gram,frekvence
dnes,118
trikolóra,108
teď,54
včera,48
lidí,48
hezký,45
pak,42
naše,42
mě,40
den,38
tady,37
mají,36
jinak,35
večer,35
pan,35
jejich,34
lidi,32
naší,31
pár,31
2,29
než,28
let,28
české,28
trochu,28
slova,27
všem,27
budeme,27
třeba,26
díky,25
3,25
hnutí,25
musí,25
ods,25
teda,25
děkuji,24
jeden,23
lidé,23
proti,23
jde,22
strany,22
programu,21
práce,21
více,21
sněmovně,21
tedy,21
ano,20
dost,20
hodně,20
první,20
děti,20
myslím,20
země,20
ta,20
víkend,20
trikolóry,20
bych,19
stejně,19
místní,19
zase,19
přes,19
měli,19
věci,18
daně,18
program,18
či,18
1,18
politické,18
lidem,18
fb,18
často,18
sám,18
paní,18
poslanec,17
nikdy,17
snad,17
dělat,17
hájit,17
stát,17
nemá,17
ráno,17
hezký den,17
hezký víkend,14
spousta lidí,8
hezký večer,7
zuzana majerová,7
svoboda slova,7
české republiky,6
hnutí trikolóra,6
majerová zahradníková,6
hezkou neděli,6
sociálních sítích,6
děkuji všem,5
čím dál,5
naší zemi,5
normální svět,5
beseda občany,5
včera večer,5
dnes večer,5
nové strany,5
ustavující sněm,5
komunální volby,5
místní organizace,5
dobrou noc,5
pátek večer,5
milí lidé,5
svobodu slova,5
svobody slova,5
svobodě slova,4
přišel čas,4
veřejného mínění,4
bohatství vzniká,4
vzniká práce,4
činorodé lidi,4
2 roky,4
více videu,4
sněm trikolóra,4
krátký sestřih,4
jezdíme okresem,4
opakované komunální,4
václav klaus,4
budeme hájit,4
pár slov,4
našem programu,4
vtip internetu,4
den všem,4
každé pondělí,4
dnes jezdíme,4
tady peci,4
zvyšování daní,4
politických stran,4
programu trikolóra,3
bych měl,3
dámy pánové,3
zemi zpátky,3
naše názory,3
české republice,3
svobodných lidí,3
braňme normální,3
stará fotka,3
poslankyně majerová,3
foto 2,3
peníze mají,3
mají lidé,3
včera křižovali,3
pan starosta,3
mohu mluvit,3
našim předkům,3
své názory,3
miliony korun,3
volby strakonicích,3
rubrika vtip,3
zapálit svíčku,3
5 let,3
teď mne,3
pár fotek,3
druhou stranu,3
mistr republiky,3
státního zastupitelství,3
dnes ráno,3
zvyšuje daně,3
zuzana majerová zahradníková,6
bohatství vzniká práce,4
opakované komunální volby,4
hezký den všem,4
braňme normální svět,3
peníze mají lidé,3
rubrika vtip internetu,3
dnes jezdíme okresem,3
nedostatkem bystré mysli,3
zákonu svobodě slova,2
ivana kerlesová trikolóra,2
kerlesová trikolóra jižní,2
trikolóra jižní čechy,2
nevěřím předurčení osud,2
předurčení osud ovládá,2
osud ovládá historii,2
ovládá historii vývoj,2
historii vývoj společnosti,2
vývoj společnosti věřím,2
společnosti věřím osud,2
věřím osud ovládne,2
osud ovládne nebudeme,2
ovládne nebudeme dělat,2
nebudeme dělat přišel,2
dělat přišel čas,2
přišel čas vrátit,2
lidem pracují platí,2
pracují platí daně,2
platí daně vychovávají,2
daně vychovávají děti,2
vychovávají děti přišel,2
děti přišel čas,2
přišel čas vzít,2
čas vzít naší,2
vzít naší zemi,2
naší zemi zpátky,2
říci tady stojíme,2
tady stojíme naše,2
stojíme naše názory,2
naše názory kterých,2
názory kterých vytrváme,2
kterých vytrváme svět,2
vytrváme svět stejně,2
svět stejně přidejte,2
žijeme české republice,2
české republice ano,2
republice ano díváme,2
ano díváme svět,2
díváme svět českýma,2
svět českýma očima,2
českýma očima svět,2
očima svět české,2
svět české republiky,2
české republiky nemá,2
republiky nemá smysl,2
tato země zbohatla,2
země zbohatla základě,2
zbohatla základě spontánních,2
základě spontánních aktivit,2
spontánních aktivit svobodných,2
aktivit svobodných lidí,2
svobodných lidí firem,2
lidí firem jejich,2
firem jejich práci,2
jejich práci žádná,2
práci žádná země,2
žádná země nikdy,2
země nikdy nezbohatla,2
nikdy nezbohatla aktivitách,2
nezbohatla aktivitách vlády,2
aktivitách vlády budeme,2
vlády budeme pracovité,2
budeme pracovité činorodé,2
pracovité činorodé lidi,2
činorodé lidi hájit,2
lidi hájit naprosto,2
hájit naprosto principiálně,2
naprosto principiálně normální,2
principiálně normální pracovat,2
normální pracovat čerpat,2
ivana kerlesová trikolóra jižní,2
kerlesová trikolóra jižní čechy,2
nevěřím předurčení osud ovládá,2
předurčení osud ovládá historii,2
osud ovládá historii vývoj,2
ovládá historii vývoj společnosti,2
historii vývoj společnosti věřím,2
vývoj společnosti věřím osud,2
společnosti věřím osud ovládne,2
věřím osud ovládne nebudeme,2
osud ovládne nebudeme dělat,2
ovládne nebudeme dělat přišel,2
nebudeme dělat přišel čas,2
dělat přišel čas vrátit,2
lidem pracují platí daně,2
pracují platí daně vychovávají,2
platí daně vychovávají děti,2
daně vychovávají děti přišel,2
vychovávají děti přišel čas,2
děti přišel čas vzít,2
přišel čas vzít naší,2
čas vzít naší zemi,2
vzít naší zemi zpátky,2
říci tady stojíme naše,2
tady stojíme naše názory,2
stojíme naše názory kterých,2
naše názory kterých vytrváme,2
názory kterých vytrváme svět,2
kterých vytrváme svět stejně,2
vytrváme svět stejně přidejte,2
žijeme české republice ano,2
české republice ano díváme,2
republice ano díváme svět,2
ano díváme svět českýma,2
díváme svět českýma očima,2
svět českýma očima svět,2
českýma očima svět české,2
očima svět české republiky,2
svět české republiky nemá,2
české republiky nemá smysl,2
tato země zbohatla základě,2
země zbohatla základě spontánních,2
zbohatla základě spontánních aktivit,2
základě spontánních aktivit svobodných,2
spontánních aktivit svobodných lidí,2
aktivit svobodných lidí firem,2
svobodných lidí firem jejich,2
lidí firem jejich práci,2
firem jejich práci žádná,2
jejich práci žádná země,2
práci žádná země nikdy,2
žádná země nikdy nezbohatla,2
země nikdy nezbohatla aktivitách,2
nikdy nezbohatla aktivitách vlády,2
nezbohatla aktivitách vlády budeme,2
aktivitách vlády budeme pracovité,2
vlády budeme pracovité činorodé,2
budeme pracovité činorodé lidi,2
pracovité činorodé lidi hájit,2
