Politician,Top 1,Similarity 1,Top 2,Similarity 2,Top 3,Similarity 3,Top 4,Similarity 4,Top 5,Similarity 5,Top 6,Similarity 6
adam-vojtech,alena-schillerova,0.04078,andrej-babis,0.03750,vladimir-kremlik,0.03282,petr-hladik,0.03224,martin-kolovratnik,0.03157,alena-gajduskova,0.02858
alena-gajduskova,jan-hamacek,0.07274,marek-vyborny,0.05068,katerina-valachova,0.05064,tomas-prouza,0.04043,miroslav-kalousek,0.03955,ludek-niedermayer,0.03883
alena-schillerova,andrej-babis,0.06222,jan-skopecek,0.04453,miloslava-vostra,0.04105,adam-vojtech,0.04078,petr-fiala,0.03968,marian-jurecka,0.03587
alexandra-udzenija,vojtech-munzar,0.03240,petr-fiala,0.03157,ludek-niedermayer,0.03150,jiri-pospisil,0.02354,vit-rakusan,0.02206,veronika-vrecionova,0.02116
andrej-babis,alena-schillerova,0.06222,petr-fiala,0.04689,ludek-niedermayer,0.04277,vit-rakusan,0.03805,adam-vojtech,0.03750,martin-kolovratnik,0.03541
antonin-stanek,jan-hamacek,0.01453,lubomir-zaoralek,0.01242,jiri-drahos,0.00891,jiri-pospisil,0.00656,jan-bartosek,0.00629,pavel-fischer,0.00611
barbora-koranova,martin-kupka,0.05645,lukas-wagenknecht,0.05371,ondrej-profant,0.04744,miroslav-kalousek,0.04353,petr-fiala,0.04171,vit-rakusan,0.04127
david-smoljak,pavel-fischer,0.01980,marketa-adamova,0.01731,miluse-horska,0.01501,jiri-drahos,0.01456,vit-rakusan,0.01453,petr-fiala,0.01453
dominik-feri,miroslav-kalousek,0.03642,jiri-pospisil,0.03552,mikulas-ferjencik,0.02727,marketa-adamova,0.02698,tomas-czernin,0.02530,tomas-golan,0.02515
frantisek-kopriva,michaela-sojdrova,0.02235,veronika-vrecionova,0.01767,tomio-okamura,0.01696,mikulas-peksa,0.01654,petr-fiala,0.01515,pavel-telicka,0.01482
hana-zakova,tomas-czernin,0.03749,lukas-wagenknecht,0.03497,milos-vystrcil,0.03222,herbert-pavera,0.03140,renata-chmelova,0.02765,jana-vildumetzova,0.02485
helena-langsadlova,petr-fiala,0.01931,ludek-niedermayer,0.01837,marketa-adamova,0.01654,jan-bartosek,0.01557,jiri-pospisil,0.01389,miroslav-kalousek,0.01378
herbert-pavera,lukas-wagenknecht,0.03747,milos-vystrcil,0.03153,hana-zakova,0.03140,tomas-czernin,0.03026,renata-chmelova,0.02740,tomas-golan,0.02184
ivan-bartos,lukas-wagenknecht,0.05408,mikulas-peksa,0.03297,vit-rakusan,0.03287,mikulas-ferjencik,0.03110,petr-fiala,0.02959,martin-kupka,0.02906
jakub-janda,andrej-babis,0.01538,vit-rakusan,0.01502,radek-vondracek,0.01335,pavel-telicka,0.01147,marek-zenisek,0.01120,ladislav-oklestek,0.01059
jan-bartosek,vit-rakusan,0.04520,marek-vyborny,0.04284,petr-fiala,0.04070,alena-schillerova,0.03520,jiri-drahos,0.03155,alena-gajduskova,0.03107
jan-cizinsky,petr-fiala,0.03635,ludek-niedermayer,0.03565,marketa-adamova,0.03173,vit-rakusan,0.03149,miroslav-kalousek,0.02977,andrej-babis,0.02633
jan-hamacek,alena-gajduskova,0.07274,vit-rakusan,0.04786,petr-fiala,0.04020,katerina-valachova,0.03368,mikulas-peksa,0.03282,marek-vyborny,0.03199
jan-hrncir,radim-fiala,0.11715,tomio-okamura,0.10288,veronika-vrecionova,0.04502,petr-fiala,0.04161,michaela-sojdrova,0.03395,radek-rozvoral,0.03349
jan-kobza,vit-rakusan,0.01658,radek-vondracek,0.01458,barbora-koranova,0.01264,herbert-pavera,0.01240,jan-hamacek,0.01137,milos-zeman,0.01104
jan-lipavsky,miroslav-kalousek,0.03068,marketa-adamova,0.02471,jiri-drahos,0.02433,marketa-gregorova,0.02103,petr-fiala,0.02026,vit-rakusan,0.01937
jan-skopecek,petr-fiala,0.06230,vojtech-munzar,0.04741,alena-schillerova,0.04453,miroslav-kalousek,0.04452,marketa-adamova,0.03950,marian-jurecka,0.03655
jan-zahradil,mikulas-peksa,0.02630,ludek-niedermayer,0.02568,marketa-gregorova,0.02449,michaela-sojdrova,0.02357,marek-zenisek,0.02324,tomas-prouza,0.02018
jana-cernochova,petr-fiala,0.02460,barbora-koranova,0.02394,vit-rakusan,0.02027,jiri-drahos,0.01781,andrej-babis,0.01676,jan-hamacek,0.01617
jana-vildumetzova,andrej-babis,0.03164,alena-schillerova,0.03046,ladislav-oklestek,0.02614,hana-zakova,0.02485,barbora-koranova,0.02384,alena-gajduskova,0.02343
