Source,Target,Weight
adam-vojtech,vlastimil-valek,0.8013673424720764
alena-gajduskova,alexandra-udzenija,0.9542386531829834
alena-gajduskova,jan-bartosek,0.9493019580841064
alena-gajduskova,jan-hamacek,0.9439663887023926
alena-gajduskova,vlastimil-valek,0.943156898021698
alena-schillerova,andrej-babis,0.8865299224853516
alena-schillerova,alena-gajduskova,0.8787866830825806
alena-schillerova,jan-skopecek,0.8731988668441772
alena-schillerova,karel-havlicek,0.8721941709518433
alexandra-udzenija,petr-fiala,0.9571869969367981
alexandra-udzenija,jan-bartosek,0.9559506177902222
alexandra-udzenija,alena-gajduskova,0.9542386531829834
alexandra-udzenija,marketa-adamova,0.9451562166213989
andrej-babis,martina-dlabajova,0.9263051748275757
andrej-babis,jan-hamacek,0.9222662448883057
andrej-babis,petr-hladik,0.9125384092330933
andrej-babis,jiri-vosecky,0.9114154577255249
antonin-stanek,lubomir-zaoralek,0.9287318587303162
antonin-stanek,herbert-pavera,0.8879047632217407
antonin-stanek,hana-zakova,0.8845908045768738
antonin-stanek,jiri-vosecky,0.8775460124015808
barbora-koranova,vit-rakusan,0.9664953351020813
barbora-koranova,marek-vyborny,0.9584828019142151
barbora-koranova,milos-vystrcil,0.9550153017044067
barbora-koranova,marketa-adamova,0.9545871019363403
david-smoljak,vit-rakusan,0.9645971655845642
david-smoljak,marek-hilser,0.9577876329421997
david-smoljak,barbora-koranova,0.9524943828582764
david-smoljak,tomas-golan,0.9524526596069336
dominik-feri,tomas-golan,0.9626096487045288
dominik-feri,zdenek-nytra,0.9562888741493225
dominik-feri,patrik-nacher,0.9452698230743408
dominik-feri,barbora-koranova,0.9439747333526611
frantisek-kopriva,barbora-koranova,0.951338529586792
frantisek-kopriva,marketa-adamova,0.948865532875061
frantisek-kopriva,pavel-telicka,0.9474509954452515
frantisek-kopriva,ivan-bartos,0.9454971551895142
hana-zakova,herbert-pavera,0.9473780393600464
hana-zakova,zuzana-majerova-zahradnikova,0.9242057204246521
hana-zakova,jiri-vosecky,0.9200705885887146
hana-zakova,ladislav-oklestek,0.910590410232544
helena-langsadlova,jan-lipavsky,0.9654154777526855
helena-langsadlova,pavel-fischer,0.9551588296890259
helena-langsadlova,marek-zenisek,0.9455335736274719
helena-langsadlova,miluse-horska,0.9431488513946533
herbert-pavera,stanislav-blaha,0.9506121277809143
herbert-pavera,hana-zakova,0.9473780393600464
herbert-pavera,zuzana-majerova-zahradnikova,0.9469876885414124
herbert-pavera,jakub-janda,0.9364702701568604
ivan-bartos,martin-kupka,0.9519383311271667
ivan-bartos,frantisek-kopriva,0.9454971551895142
ivan-bartos,mikulas-peksa,0.9438135027885437
ivan-bartos,marketa-adamova,0.9410753846168518
jakub-janda,jana-cernochova,0.9448422193527222
jakub-janda,zuzana-majerova-zahradnikova,0.9395664930343628
jakub-janda,stanislav-blaha,0.9383792281150818
jakub-janda,herbert-pavera,0.9364702701568604
jan-bartosek,vit-rakusan,0.9610744118690491
jan-bartosek,tomas-czernin,0.9592332243919373
jan-bartosek,marketa-adamova,0.956489622592926
jan-bartosek,alexandra-udzenija,0.9559506177902222
jan-cizinsky,zdenek-hrib,0.9649774432182312
jan-cizinsky,renata-chmelova,0.9467447996139526
jan-cizinsky,petr-hlubucek,0.9441344738006592
jan-cizinsky,marek-novak,0.9293957948684692
jan-hamacek,marek-novak,0.9448541402816772
jan-hamacek,marek-vyborny,0.9443579912185669
jan-hamacek,alena-gajduskova,0.9439663887023926
jan-hamacek,jan-bartosek,0.940701961517334
jan-hrncir,radim-fiala,0.9898144006729126
jan-hrncir,tomio-okamura,0.9776523113250732
jan-hrncir,helena-langsadlova,0.9145892858505249
jan-hrncir,mikulas-peksa,0.9104098677635193
jan-kobza,tomas-zdechovsky,0.9586330652236938
jan-kobza,pavel-belobradek,0.9524357914924622
jan-kobza,miroslav-kalousek,0.9482241868972778
jan-kobza,vit-rakusan,0.9456813931465149
jan-lipavsky,helena-langsadlova,0.9654154777526855
jan-lipavsky,pavel-fischer,0.9588886499404907
jan-lipavsky,jiri-drahos,0.9443879127502441
jan-lipavsky,frantisek-kopriva,0.9435699582099915
jan-skopecek,petr-fiala,0.9465396404266357
jan-skopecek,ludek-niedermayer,0.945978045463562
jan-skopecek,alexandra-udzenija,0.9391682147979736
jan-skopecek,mikulas-ferjencik,0.9381847381591797
jan-zahradil,marek-zenisek,0.9670338034629822
jan-zahradil,stanislav-polcak,0.9612540006637573
jan-zahradil,marketa-gregorova,0.9478417634963989
jan-zahradil,pavel-telicka,0.9467591047286987
jana-cernochova,stanislav-blaha,0.9465063810348511
