StatementId,Text
132304aa9ed3b4e1373aa7c99402b47a,"Česko se zítra vrací do čtvrtého stupně protiepidemického systému. Jak současnou situaci vidí Adam Vojtěch, který vedl ministerstvo zdravotnictví po většinu roku? Co by dnes udělal jinak? Je jisté, že letošní Vánoce budou neobvyklé. Jak se na ně chystají nemocnice a jak sociální zařízení, které mají chránit ty nejzranitelnější?    Poslechněte si více ze speciálního vysílání Den s rokem 2020 → https://rozhl.as/Densrokem2020"
191DD5F1E133989C7C117B8474775C74,"Ministr zdravotnictví Adam Vojtěch zavítal na osvětovou akci za zvýšení povědomí o nemoci ME/CFS. Více informací na webu klubu pacientů: https://t.co/ywC7nzfPYu  #MillionsMissing  @adamvojtechano"
2281fd831f07f51016f31d7ec350b0d0,"Jak vyřešit chybějící zdravotníky a léky? Co s nelegálními přesčasy v nemocnicích a s velkým množstvím malých nemocnic?  Některé věci nejdou tak rychle, jak by si představoval,  přiznává ve velkém rozhovoru pro Deník N ministr zdravotnictví Adam Vojtěch. https://t.co/KcRRvH6C8Y"
356421ad305cf29468cda881762ddb3f,"A pak že ministr zdravotnictví Roman Prymula @profesorPrymula dokáže zakázat lidem na veřejnosti zpívat.... Exministr zdravotnictví Adam Vojtěch @adamvojtechano  si za nouzového stavu zazpíval v televizi.  https://t.co/5MT8x4G68o"
3853ddf7db5f8661d1a390a35494da7c,"Proč se Česku nedaří zvládnout pandemii? A kdo za to může?      Není to otázka jednoho člověka, ministra zdravotnictví ani premiéra. Je mnohem víc důvodů, proč jsme tam, kde jsme,  říká Adam Vojtěch.    👉 Rozhovor najdete v příloze Víkend HN. V prodeji od pátku 30. 10. až do neděle! https://t.co/Dr5t1WoKso"
4e9b85d6c7569af2550a05fe9f53b8ec,"Tiskové oddělení @snemovna se pokouší novinářům nařídit, aby měli po celou dobu v tiskovém atriu roušku. Vynechalo rozhodnutí vlády z 25.5., že roušku NEMUSÍ mít zaměstnanci, kdyz zachovají distanc 2 metry. Může potvrdit třeba ministr zdravotnictví Vojtěch @adamvojtechano. https://t.co/1Z85a4FYBC"
5950e238c955ac042e0228d38766eaa8,"Zdravotní systém nebyl podle Vojtěcha na pandemii připravený https://t.co/quPIKMuQZP"
7a0ce0ac0295569f5258b783f6203dad,"Diskuse ministryně financí Aleny Schillerové, předsedkyně Národní rozpočtové rady Evy Zamrazilové a ekonomky Heleny Horské.  Bývalý ministr zdravotnictví za ANO Adam Vojtěch a lékařka Zdenka Němečková Crkvenjaš z ODS. @OtazkyVM v neděli od 12:00 na @CzechTV a @CT24zive https://t.co/AhyVrCxATC"
812DC59E30AE7C80FE0B35D910C39FE8,"Milí přatelé, již zítra začínají volby do Poslanecké sněmovny. Zvolte v nich své zástupce podle svého nejlepšího vědomí a svědomí. Osobně věřím, že do politiky opravdu mohu přinést změnu. Mám vizi o českém zdravotnictví, kterou chci naplnit. Budu moc rád, pokud mi v tom pomůžete a na kandidátní listině ANO v Jihočeském kraji zakroužkujete číslo 3 a podpoříte mě.     Děkuji, s úctou Adam Vojtěch"
8e1961a917e56a607cee3af81a2c6926,"Zdechovský: Ministr Vojtěch usvědčen z další lži. Odmítl společný nákup roušek | https://t.co/82gywRJC9H https://t.co/dTo5sBsZZv prostřednictvím @infocz_web"
915f2a5c76657a9fb038fa11a810fb6a,"Prezident republiky 🇨🇿 Miloš Zeman podle čl. 68 odst. 5 ústavního zákona č. 1/1993 Sb., Ústava České republiky, jmenoval Mgr. et Mgr. Adama Vojtěcha, MHA ministrem a pověřil jej řízením Ministerstva zdravotnictví České republiky. https://t.co/ZROgMp5SfX"
92f4ea6349e8b699c0ed63ab7bb36f8b,"Ani s bývalým ministrem, ani s poslancem. Tento rozhovor je s Adamem Vojtěchem jako člověkem. Podobné rozhovory jsou vzácné. A já si ho moc užil. Vyšel dnes s měsíčním odstupem. Berte to jako tip na páteční večer.😉"
9bc4ae38abd5cebd8c2941e36e96a8e6,"Hygienici musí podle ministra Vojtěcha kontrolovat, zda lidé po návratu z rizikových zemí přišli na test. Zamezit se tak má zavlečení nakažlivějších mutací koronaviru. Hlavní hygienička počítá s cílenou kontrolou všech, kteří nepřijdou v termínu na test &gt;&gt; https://t.co/1pd91o14ZV https://t.co/T6GPPAn1QH"
9d3f67684e1b866dbd0f1621d9ac4f96,"Před více než měsícem rezignoval Adam Vojtěch na funkci ministra zdravotnictví. Když odcházel, tleskali mu ve stoje. Co dělá nyní? Jak hodnotí zpětně své působení v čele resortu? O jeho dosavadním i budoucím působení v české politice si bude povídat s Marcelou Konrádovou z Katedry marketingové komunikace a PR, FSV, CUNI."
9d57da57f24d4b5e97f8215fa56b00eb,"Dnes od 20:15 odvysíláme speciální díl Interview ČT24. Ministr zdravotnictví Adam Vojtěch z mnoha úhlů pohledu během nouzového stavu Česka a epidemie koronaviru. Jak nahlíží na své jednání? Co se povedlo a co by udělal lépe? Nejen na to se bude ptát moderátorka Světlana Witowská. https://t.co/r47I27ICpu"
a91d3851b6bb0be87bb1a024708e804c,"🇨🇿 Ministr zdravotnictví Adam Vojtěch @adamvojtechano jednal od rána v Lucemburku se svými protějšky z ostatních zemí 🇪🇺.     Pokud Vám utekly naše dnešní tweety👀 a chcete vědět o čem, podívejte se tady 👇    https://t.co/6SaniXWSFF"
ac033ef1a6970b969b3d23c230c994d4,"Ministerstvo zdravotnictví ještě nikdy nebylo lékárníkům tak otevřené, jako je nyní. Od nástupu ministra Vojtěcha @adamvojtechano patří stabilizace lékárenského sektoru mezi priority resortu, což dokazují desítky jednání se zástupci lékárníků na půdě MZ.   https://t.co/qDhHLmHtmU"
bbd0a321e515a6c7b8610fc0fc1a0d08,"Jedním z členů nově jmenovaného představenstva společnosti Krajská zdravotní  je i exministr Adam Vojtěch. Mezi klíčové úkoly nového vedení teď podle něj patří rozpočet na příští rok a také integrace dalších nemocnic v Ústeckém kraji.  https://t.co/jDIIb8J5QC"
cafe9e16df01f7412f14b7c96e646c9f,"Rozhovor: Adam Vojtěch - Existuje recept, jak se stát ve 32 letech ministrem, aneb quo vadis, české zdravotnictví? | Právní prostor https://t.co/jcSya9JQHY prostřednictvím @pravniprostorcz"
d523e1b70acf90487c4df8b792cc1dfa,"Ministr zdravotnictví Adam Vojtěch za hnutí ANO, předseda poslanců TOP 09 Vlastimil Válek a prezident ČLK Milan Kubek.  Poslanci Jana Černochová z ODS a Robert Králíček z hnutí ANO. @OtazkyVM v neděli od 12:00 na @CzechTV a @CT24zive https://t.co/9DxDws1wIc"
f5d524836df2165d517acde146cea044,"MZČR nakupuje za miliony respirátory od IT firmy INTV spol. s r.o., která se nikdy touto problematikou nezabývala a kterou vlastní příbuzní ministra Vojtěcha. Korupce v přímém přenosu. https://t.co/Y7yw8jOxIi"
fde4fe3c4cc8295ec3309b42db2789f0,"📝 Předloha, kterou ministerstvo zdravotnictví nahrálo do legislativního systému eKLEP, kopíruje loňské paragrafy tehdejšího ministra zdravotnictví Adama Vojtěcha (ANO)    https://t.co/LmcRTamLjg"
