StatementId,Text
06dfb70ad1f25cd278f8e4c067173bc9,"Prezident M. Zeman podepsal zákon, který nastartuje systémovou elektronizaci českého zdravotnictví. Umožní bezpečné sdílení dat jak mezi poskytovateli a pacienty, tak mezi poskytovateli navzájem. A zajistí všem aktérům ve zdravotnictví snadnější a rychlejší přístup k informacím."
361c0bc9427bbeaf0ccfd4691e12d6da,"Prezident Miloš Zeman dnes podepsal zákon, který přináší nová pravidla pro úhrady zdravotnických pomůcek. Jsem moc rád, že jsme od nového roku zabránili zvýšení spoluúčasti pacientů a miliardovým dopadům do systému. https://t.co/g1wdET9yaS"
407a8dda01f7a01bc5e97b2700b095b8,"Dnes ve 14h jsem byl panem prezidentem Milošem Zemanem jmenován ministrem zdravotnictví České republiky. Jsem připraven pracovat na zlepšení českého zdravotnictví. Všem děkuji za podporu a přízeň!"
417dceba01594335a03930e7fd60feaa,"Dnes ve 14h jsem byl panem prezidentem Milošem Zemanem jmenován ministrem zdravotnictví České republiky. Jsem připraven pracovat na zlepšení českého zdravotnictví. Všem děkuji za podporu a přízeň https://t.co/xvq2UUVLkM"
77654c83077a6a93dd98a2f8549323f7,"Prezident Miloš Zeman dnes podepsal zvýšení platby za státní pojištěnce. To přinese českému zdravotnictví finanční injekci, kterou po pandemii koronaviru nutně potřebuje. Peníze navíc ze státního rozpočtu zajistí stávající dostupnost a kvalitu zdrav. péče. https://t.co/a89zySP7mp"
77DA314E4C4BFFD3DB16D97A689F854D,"Fotografie ze včerejší inaugurace prezidenta ČR Miloše Zemana."
843705cd5fc4d8f178515e20430bdee2,"Prezident Miloš Zeman dnes podepsal novelu, která do českého práva zavádí evropské protipadělkové nařízení. Jeho cílem je chránit pacienty před padělky léčivých přípravků. https://t.co/W4jCVUYrsy"
915f2a5c76657a9fb038fa11a810fb6a,"Prezident republiky 🇨🇿 Miloš Zeman podle čl. 68 odst. 5 ústavního zákona č. 1/1993 Sb., Ústava České republiky, jmenoval Mgr. et Mgr. Adama Vojtěcha, MHA ministrem a pověřil jej řízením Ministerstva zdravotnictví České republiky. https://t.co/ZROgMp5SfX"
bc07e891e3cab26fe1ab0ef0361225df,"Rád bych poděkoval panu prezidentovi Miloš Zeman - prezident České republiky za znovujmenování mé osoby do čela Ministerstvo zdravotnictví České republiky. Je mi velkou ctí být ministrem zdravotnictví pro tuto zemi!"
f4d9f64f975b76fc45c7bf288b9a77d8,"Včera jsem absolvoval setkání s panem prezidentem Milošem Zemanem. Diskutovali jsme o základních bodech ve zdravotnictví, problematice E-receptu, ale například i financování nemocničních nákupů."
