Slovo,Podobnost
zajištění,0.373267263174057
každopádně,0.30623388290405273
zamotané,0.25069522857666016
prostředků,0.23209038376808167
dívejte,0.2262263000011444
diskuze,0.22447943687438965
spousta,0.20895707607269287
zrušení,0.20874850451946259
česku,0.20621871948242188
rozdílem,0.2037746161222458
pana,0.20288598537445068
švihlíkovou,0.20198598504066467
mateřské,0.20078140497207642
hod,0.19844944775104523
pojištěnce,0.19215178489685059
maminky,0.18809735774993896
nynější,0.18620546162128448
příspěvku,0.18576829135417938
ministra,0.18465851247310638
rušení,0.18380117416381836
náběh,0.18174144625663757
prima,0.18028363585472107
stravování,0.17730988562107086
politik,0.17260192334651947
slyším,0.16952729225158691
