Slovo,Podobnost
dlouhodobou,0.36953821778297424
anglicky,0.3632516860961914
republiky,0.32223665714263916
vlády,0.3157944977283478
poslanecký,0.29703792929649353
veřejných,0.2907554507255554
městě,0.28922441601753235
hodin,0.28597554564476013
obecním,0.27841562032699585
státního,0.2774927020072937
eet,0.2726978659629822
posledních,0.27217021584510803
havlíček,0.2660926878452301
zvířata,0.2658466696739197
domova,0.2648070752620697
rozhovoru,0.2606082856655121
konference,0.25877007842063904
schůzka,0.25703391432762146
posuďte,0.2564071714878082
prodává,0.24795348942279816
gurría,0.24513332545757294
aktuálně,0.24298067390918732
krásné,0.24166162312030792
panem,0.24086672067642212
pozůstalostní,0.24075648188591003
