Slovo,Podobnost
výrobcům,0.24507755041122437
lidem,0.2249285727739334
pomoc,0.22350440919399261
partie,0.21818161010742188
hospodaří,0.21623098850250244
logickou,0.2059178203344345
mimořádnou,0.19383850693702698
premiér,0.18938301503658295
dorazí,0.1852046400308609
zásadního,0.18066655099391937
data,0.166232630610466
příjmy,0.1508132666349411
čísel,0.15048305690288544
pusťte,0.14786691963672638
konce,0.14615197479724884
naším,0.13647836446762085
prodejcům,0.13506080210208893
apel,0.13158823549747467
povinnost,0.1273963302373886
škrtů,0.12009461969137192
roce,0.11044520884752274
znamená,0.11036083102226257
ránu,0.10872427374124527
neděje,0.10861993581056595
korun,0.10815614461898804
