Slovo,Podobnost
celý,0.2387700378894806
kterými,0.22295166552066803
diskusní,0.21878984570503235
schvalování,0.2079043835401535
podpory,0.19140037894248962
období,0.18494977056980133
schodku,0.18474096059799194
prosince,0.18346568942070007
vyjednávání,0.1798650026321411
vnímám,0.17979493737220764
senátu,0.17682205140590668
úterý,0.17575141787528992
parlamentu,0.17517541348934174
umění,0.1716926246881485
předsedkyně,0.17079943418502808
dluhopisy,0.16818638145923615
ráda,0.1602364033460617
člen,0.15968386828899384
lidé,0.15513084828853607
finance,0.13860663771629333
ekonomickými,0.1372087001800537
srbska,0.12918537855148315
zapojení,0.1271112561225891
maminky,0.11956092715263367
evu,0.11749466508626938
