Slovo,Podobnost
zemědělství,0.9943960905075073
němcová,0.9940541386604309
kremlíkem,0.9932212233543396
klára,0.9931364059448242
obchodu,0.9930737018585205
průmyslu,0.9930723309516907
dopravy,0.9928460717201233
financí,0.9924976825714111
havlíček,0.992087721824646
havlíčka,0.9909884929656982
spravedlnost,0.9906643629074097
ťok,0.9903568029403687
ministryní,0.9901314973831177
stropnický,0.9900988340377808
tiskovku,0.9895514845848083
místních,0.9895222783088684
šlechtová,0.9892641305923462
programového,0.9890308380126953
zdravotnictví,0.9888536334037781
životnímu,0.9887077212333679
vnitra,0.9886795282363892
dopadů,0.9884513020515442
dělat,0.9884393215179443
spolupráci,0.9883438944816589
rozvoj,0.9882205128669739
