Slovo,Podobnost
průmyslová,0.9821643829345703
obchodu,0.9820660948753357
místopředseda,0.9734269380569458
ministr,0.9705706834793091
ministryní,0.966469943523407
dopravy,0.9621514081954956
panem,0.9606326222419739
vývoje,0.9559412598609924
výzkumu,0.95533686876297
schillerovou,0.9549650549888611
vědy,0.9538256525993347
inovace,0.953407883644104
havlíčkem,0.949962317943573
havlíček,0.9499622583389282
předsedy,0.9428125023841858
martina,0.9421069025993347
vlády,0.9408075213432312
prezidentem,0.9390465021133423
marii,0.9379208087921143
vládní,0.9364498257637024
šéf,0.9330971837043762
spravedlnost,0.9302978515625
jednání,0.9296006560325623
společně,0.9280308485031128
schůzku,0.9275625944137573
