Slovo,Podobnost
ministryní,0.9730287194252014
financí,0.9581161737442017
klárou,0.9452332854270935
videa,0.9430493116378784
ministr,0.9360359907150269
havlíček,0.9065791368484497
ministerstva,0.8945247530937195
facebook,0.893948495388031
průmyslová,0.8912471532821655
obchodu,0.8775487542152405
doprava,0.8747497200965881
zdravotnictví,0.8594175577163696
dejte,0.855815052986145
místními,0.8522542119026184
panem,0.8515417575836182
němcovou,0.8494402766227722
ťokem,0.848690927028656
rozvoje,0.8468379974365234
kompenzačnímu,0.838618814945221
spravedlnost,0.8379650115966797
martinou,0.8356425762176514
týden,0.8339816331863403
fotky,0.8320264220237732
osvč,0.831199049949646
maláčovou,0.8286536335945129
