Slovo,Podobnost
prohloubení,0.23521357774734497
rekonstrukcí,0.22132925689220428
šéfem,0.1978975534439087
stojí,0.19595162570476532
plavební,0.19349005818367004
opravených,0.19337445497512817
klenby,0.19037924706935883
přípravě,0.18746289610862732
samostatné,0.1869739294052124
cesty,0.18123866617679596
rozestavěno,0.18009980022907257
premiérem,0.16770251095294952
silnic,0.16644054651260376
vltavské,0.16475434601306915
rozpočtu,0.16110239923000336
přestavbu,0.16020084917545319
vlaky,0.15930739045143127
praharajská,0.15757441520690918
přejezdech,0.157195582985878
fanoušky,0.14825426042079926
koridorů,0.14456941187381744
uvedeme,0.13807661831378937
železnic,0.13547667860984802
zkrátka,0.1341400295495987
rok,0.1305404156446457
