Slovo,Podobnost
příkopy,0.3980697989463806
prezident,0.3877333700656891
peníze,0.36193570494651794
demokracie,0.3545295298099518
poslanci,0.3485832214355469
premiér,0.3158121407032013
hamáčkovi,0.2963515818119049
majetkem,0.29315948486328125
léková,0.2920944094657898
individuálně,0.2838422954082489
kampaň,0.28287386894226074
presstituty,0.2821870744228363
občanů,0.2806131839752197
myšenkové,0.274042546749115
dostane,0.2735925018787384
povinně,0.2682548463344574
války,0.26752710342407227
orbán,0.26596903800964355
zdání,0.26561424136161804
žádné,0.2639455199241638
krize,0.26115682721138
sféry,0.25743982195854187
stovky,0.2565772533416748
oponentů,0.25552600622177124
miliardáře,0.25437480211257935
