Slovo,Podobnost
původně,0.38989073038101196
důkazu,0.34356987476348877
babiš,0.28192031383514404
obávám,0.2635801136493683
členové,0.2579202950000763
politikovi,0.2482021450996399
jistou,0.2381136268377304
korporátní,0.23058190941810608
přímém,0.21453958749771118
ústavní,0.2143288552761078
jednoznačně,0.2059394270181656
čas,0.197479248046875
příznivci,0.19631649553775787
voličům,0.1955329328775406
kritizovat,0.19297900795936584
kamarádi,0.18923045694828033
základem,0.18874967098236084
cigány,0.1829376220703125
zemí,0.1778290867805481
počet,0.17753760516643524
stolu,0.17374445497989655
klubu,0.17313972115516663
zájmů,0.17162415385246277
právo,0.17083889245986938
soukromě,0.16094930469989777
