StatementId,Text
003367e9bff9dd8d5a4dfd5ec18ef159,"➡️ Putin chce dobýt Ukrajinu, ta jo no, dobrá.  ➡️ Proč ji podle vás 🇺🇦, chce mít radioaktivně zamořenou?"
017552a3457c0fdd62f714cb26f68edf,"➡️ Ekonomický propad zemí EU byl vždy nezastavitelný, vzhledem k jejich nesplatitelným dluhům a neustálé IT výrobě ničím nekrytých “peněz”.    ➡️Ale teďka to máme na koho svést.    ➡️Ne naše dluhy, naše neexistující peníze, náš Green deal, ale PUTIN!!!🤣😅😂😂😂🤣🤣😅🤣😅"
022b84fcae7189a5dec4b5e5fd97b3a9,"🛑 Putin:  Anglosasům nestačí “sankce”, přešli k odklonům, organizují výbuchy na mezinárodních plynovodech Nord Stream. Je zřejmé každému, kdo z toho má prospěch. Kdo z toho má prospěch, je ten kdo to udělal "
031a28b410dce039f6808c5a5680845e,"Tak vy jste nechtěli v roce 2020 naše LNG?  Tak teďka si ho prostě koupíte za ceny, které vám nadiktujeme a mlčte vy francouští Putinovi švábi🤣😅😂.    https://t.co/JsfNszllbh"
03f277c86ced8560c580cca45b438d86,"Putin NEMŮŽE za Vaše posraný životy!!! https://t.co/bPPPiwPV02"
0576cdb6a0dbf6f6d0fbd08bb1805734,"Kde se objeví multikulti, tam se lidé masově ozbrojují.  Někde legálně, jinde potají.    Od roku 2014 vzrostl počet legálních zbraní v Německu o téměř 250%!!!    Co myslíte, proč asi?    Že by Putin?    https://t.co/FNwgX0ptGF"
087d083c1dc03ce287eefd4ad92ba98d,"@JindrichMitter Ukrajina nebyla o Putinovi, ale o svržení legitimně zvoleného prezidenta a vlády, kterou jsme uznávali.  Tady dost možná děláme totéž."
0c9573e5fe0a4290148594c15bd64c6c,"A tak to má být.  Současné mezinárodní organizace ovládli globalisté a “liberální demokraté” likvidujici národní státy.  Putin je prostě borec.    https://t.co/moYZTZdZZK"
0d25df3774278b01dd1a21b6756a39e2,"➡️ 1: Sranda je, že ti ruští oligarchové z 99% Putina nenávidí 🤣😂😅😎  ➡️ 2: Když krademe my jsou to “sankce”, když Rusko znárodňuje DOBROVOLNĚ opuštěné, je to “krádež🤣😂😅😎"
0dcf4234b4813fbdf775d39f5691eee9,"“Stejní experti, kteří na přelomu února a března předvídali, že Putinův režim po zavedení ekonomických sankcí do měsíce zkrachuje, nás dnes ujišťují, že přežijeme zimu. Znervózňuje mě to jen středně.”"
119322b0f7a4228b65b61378ca76e597,"➡️ JUST IN - Izraelský premiér Bennett se nyní údajně setkává s Putinem v Kremlu po tajné cestě do Moskvy. 😂😅😂😅😂😅    ➡️ Pro místní užitečné rusofobní idioty, toto je reálná politika, politika na kterou NEJSTE PŘIPRAVENÍ, běžte plakat do svých “bezpečných koutků” 🤣😂😅."
1215ecd1fd516e178781689f01e34f23,"🤷‍♂️ Tohle neříká nic o Putinovi, ale říká vše o černochové a vědomých voličích ZLA, SPOLU."
13245dd92b0846df0931b28dfc7fd92f,"Putin: „Nemají žádné limity. Za nic se nestydí. Zabili Solejmáního, íránského generála. Solemaniho můžete soudit, jak chcete, ale tohle je úředník v jiném státě. Zabili ho na území třetí země a řekli:  Ano, zabili jsme ho. "
17d431ec1e696ee773c1e475f509a299,"Kdyby se Putin choval ke svým občanům jako Trudeau, bylo by to nalepeno na každé titulní stránce a opakováno na každém zpravodajském kanálu.     Skutečnost, že to není, nám říká vše, co potřebujeme vědět!"
193323c1a896afb79a7fba68740f0195,"Putin: Velká část ukrajinského obilí je ve skutečnosti americká poté, co Ukrajina prodala svou zemědělskou půdu americkým společnostem."
19ce6cbf24bd8be84fe6dbe9b5d7eece,"No nic, vzhledem k tomu, že veškeré americké technologie dokonale ovládají ruští hackeři, v čele s Putinem, budu se muset smířit s faktem, že moje fotky jsou uložené někde na ruský serverech😉."
1b129a1becd23fc2d48110b9de77597a,"Je Putin tím, kdo úspěšně demilitarizuje Kyjevský režim i NATO s 🇪🇺 a deekonomizuje, deindustrializuje jak celou 🇺🇦 tak celou 🇪🇺?    A nebo jsme to my, ti kteří mu tam posíláme potravu pro kanóny + materiál k demilitarizaci a sankcemi proti sobě si sami ničíme ekonomiku i průmysl? https://t.co/RfkvcUfkgD"
1c0a7b0ffe07a049c56dd084be4be898,"Děkujeme Putinovi za pašovanou ruskou ropu🌹❤️🇷🇺🪆🤝😅"
1d6bcc2fe1d23e0c355a1ac166ba1a2e,"➡️ Hitler měl Židy, komunisté “třídního nepřítele” a novodobí fašouni Putina.    ➡️ My nesmíme kritizovat, masovou imigraci, lži o C19, výrobu neexistujicích peněz, sebevraždu Green dealem, lži o Donbase, ale “liberální novofašisté” smějí mít univerzálního nepřítele Putina. https://t.co/elRIBkcF4Z"
1e9ad100db500c6dc81f2fe8536c5388,"Když Gréta neexistovala musel si ji Putin vymyslet🤷‍♂️."
1fc24c3e8f7ef997316436d7e24fdc6d,"Biden si před schůzkou s Putinem během necelých 90 sekund 3krát spletl Sýrii s Libyí https://t.co/itdQh9P0WR"
222f485ffd2ffcdc62166c24801eb7fd,"➡️ Oni nám ho ještě nevypli?  ➡️To jen zase Putin prokazuje jak pevné nervy má a jak hodně moc ho musíte nasírat, aby si Vás vůbec všiml❤️.    https://t.co/DllZP7d55j"
2930838a37d2a3548a89f5ea14af554a,"🛑Vaše “idoly” vám lhaly (a stále jako @vlvalek LŽOU), my jsme vám říkali pravdu🤷‍♂️.    ❌Co s tím uděláte PODVEDENÍ vaxeři🤷‍♂️?    ❤️ A NEŘÍKÁ vám to Putin, říká vám to @pfizer 🤷‍♂️."
2bf1e7feb801a47fd4d91d8d396107d6,"➡️ Putin nemůže za vaše POSRANÝ životy 😅🤣😂😂😂😅😎😎😎😎😎😎😎 https://t.co/8FMJJZdcG6"
2c479172218cd74273d5ae4aa80a2695,"Jak to ten Putin zase zařídil?    https://t.co/ZnFfmS78Ov"
2cfbb0aab4b89d78783a30fd5a380e4c,"🤣😅😂 To je paráda dozvědět se po 30ti letech, že kromě tepla, pohybu a ekonomické prosperity vděčíme 🇷🇺 i za intimní hygienu😂🤣😅.  My si vlastně bez Putina už ani ldrep emeřtyven 😂    Co na to EU?  Bude PŘÍKAZ Rusku DODÁVAT za námi stanovenou cenu😂🤣😅    https://t.co/ISh6c7m9OG"
2d397bd22e2417748f12d163e7f34f42," Pouze 2 lodě z 87 s obilím byly vyvezeny do afrických zemí, jak bylo původně plánováno. Zbytek byl exportován do evropských zemí. Možná by stálo za to omezit export obilí z Ukrajiny, budu to konzultovat s Erdoganem  (c) Putin"
325727ed3f41ead3f4a5f1486d814129,"Jak to ten Putin zařídil, že dobrovolně pácháme ekonomickou sebevraždu?    Normálně se ve válce najíždí na válečný průmysl, my najíždíme na “ekologickou” deindustrializaci."
32fb22d76977091c009beb583d12ec40,"“USA nemohou označit Rusko za „státního sponzora terorismu“, protože jednoduše nesplňuje příslušná kritéria, uvedla v úterý na brífinku americká velvyslankyně pro globální trestní spravedlnost Beth Van Schaackova    USA jsou taky 5. kolona sloužící zájmům V. V. Putina?”"
343a3397563fd8b41f421af9d05d4ea1,"Za použití síly proti pokojnym demonstrantům stihne Lukasenka nepochybně trest nebo minimálně osud Janukovyče. Pokud ale proti demonstrujícím zasáhnou ruské síly, budu v EP zadat razantní sankce proti Putinovu režimu."
34ffc2002b71b455a47653bf7eb868fe,"Putin potřebuje Navalného živého.  Rusofobové mrtvého."
372d82803dee7f07dece23f7bd382ab0,"“Izolované” Rusko🤷‍♂️.     Jediný kdo bude skutečně izolovaný bude “kolektivní západ”.    🇷🇺 Rusko a 🇨🇳 Čína posílí spolupráci mezi ozbrojenými silami — Putin    Vladimir Putin také pozval Si Ťin-pchinga, aby příští rok přijel do Moskvy prostřednictvím video odkazu."
3737bf0e9a0d5f744381e0d095f8abd9,"A zase ten PUTIN a RUSKO!!!  https://t.co/R1K048q29l"
3a1ea49e9a786acec9d0c329f0829119,"🚩 Další utajený Putinův válečný zločin!!!    https://t.co/EELoeYcwbq"
3b5eca48551fbcfd47c72cb5a2fda892,"✅ 📄 V Kremlu skončil ceremoniál podpisu dohod o začlenění nových území do Ruska    Lidé tam přítomní a Putin také skandují „Rusko, Rusko, Rusko“ poté, co Putin podepsal dokumenty k začlenění nových území..."
3cbd92a9c2e463320fcdf751d218adf2,"Putin je chytrý. Chvíli hrál jejich hru, až nakonec přišel do úřadu a v průběhu let jejich agendu odmítl. Je to jako 4D šachy."
3fc618e364a008c3f2293555ff0566ed,"🚩 Vyjednávání s Putinem prosinec 2022😅🤣😂🤣😅😅🤣😂. https://t.co/eyy3r05CUn"
42776c588df740caba6dbd8e146954ef,"NATO.  Připravovali jsme Ukrajinu na proxy útočnou válku proti Rusku od roku 2014.  Pak nám do toho Putin hodil vidle🤷‍♂️."
42e85566cd7d8a42512c2125248723e8,"VÍCE - Putin varuje, že jakýkoli zahraniční pokus zasahovat do ruské akce by vedl k  důsledkům, které nikdy neviděli. "
4337fe7de5befc76b3587336aca0b1df,"➡️ Předseda našeho ÚSTAVNÍHO soudu se chce JAKKOLIV zbavit Putina.  ➡️ Nechcete se někdo JAKKOLIV zbavit Rychetského? https://t.co/6XTAqF76PL"
45608b9222b41475d6873fcccbec99a4,"23.-24. října Soči : summit Rusko-Afrika  Za mír, bezpečnost a rozvoj , na který přijedou představitelé 54 afrických států, ze kterých 44 zemí budou mít nejvyšší zastoupení – buď prezident nebo premiér.  https://t.co/XcN2nVLwU1    To je síla! Nestává se Putin prezidentem planety...?"
476a886ca0b5e316a6bbbc402742807e,"➡️Ukrajinští PROVLÁDNÍ celníci jsou odporná rasistická zvířata. Mlátí černochy!    ➡️Ukrajinští PROVLÁDNÍ celníci, propouští PŘEDNOSTNĚ platící  uprchlíky  z Afriky (po tom co je zmlátí) a Asie a DESETITISÍCE ukrajinských žen a dětí nechávajají MRZNOUT!    ➡️Jak to ten Putin udělal?"
48496fab4379e54b6dcec87ff419498a,"Co s tím ten zlý Putin udělá?  Určitě se chvilinku pobaví a pak zase pomůže, no a Poláci mu za trest prodlouží sankce."
4d48b00f2a21e85a51fcbba3a768f1ef,"‼️🇺🇦🇬🇧🇪🇺🇺🇸🇷🇺 Putin: Rozšiřování NATO bylo pro nás nepřijatelné, všichni to věděli a naše zájmy zcela ignorovali.     S podporou západních kurátorů Kyjev veřejně odmítl realizaci minských dohod. ‼️"
521d01ef25ef5042f4ef19edbd7c233d,"➡️Je Vám jasné jak dopadne válka s Ruskem, že ano 😅😂🤣    Ja normálně toho Putina vidím jak se láme smíchy😅😂🤣  Tedy samozřejmě, pouze pokud tuhle excelentní PR fotku @JanLipavsky zachytí jeho tým vtipné pohotovosti🙃😅    Myslí, že každý přislušník @ArmadaCR se právě dme pýchou😂 https://t.co/CsczWozCy4"
52db0127b22489392eb4999610d460c6,"Vladimir Putin: Ukrajinci uvádějí, že je možné vrátit Krym vojenskými prostředky. Zeptal jsem se: měli bychom jít do války s NATO? Ale chci se zeptat i vás: chcete bojovat s Ruskem? Zeptejte se svých čtenářů, diváků: chcete, aby Francie bojovala s Ruskem? Ale tak to bude!"
5900787748e099e69e50ba02e39f6bb6,"Teďka už je otázka pouze to, jak bude toto použito proti Rusku a Putinovi a kdy naložíme tomu drzému Rusku další sankce."
59660aff7f9cb69dfdad2e4ea9c877d1,"➡️Do dnes už si minimálně polovina Čechoslováků alepoň jednou řekla “zlatí komunisti”.  ➡️ Do roka a do dne od Putinovy smrti bude minimálně polovina 🇺🇦 mít za sebou alespoň jedno prohlášení “ZLATÝ PUTIN”.  ➡️ Vsaďte se 🤣😂😅😎🇷🇺."
5c279c426e03f3bcd74362db80fdd540,"➡️ Překvapíme Putina a obětujeme obě křídla."
5ebdf09da38973193d45199551850e08,"➡️Dávám Putinovi přezdívku “Rakušan” a využívám práva vyzývat k jeho zavraždění.  ➡️😂 Mohl by už někdo konečně VYKRVIT toho RAKUŠANA, případně jej otrávit, upálit, zastřelit a zakopat!!!"
5f32380556c936d99c4a0e469b6ea21c,"Regionální volby v Rusku drtivě vyhrála strana Единая Россия. Vladimír Vladimírovič Putin sjednocuje svoji zemi i národ. Je to velký politik☝🏻 https://t.co/UpsrecbUlt"
5fc4d01c560113f77112a15b078f5689,"➡️ Čím ovládá Putin EU a USA?  ➡️ K jakým záznamům se dostal?    https://t.co/UoTDS7GwoI"
5ff89bc2d1af386bb3233c85378ac59a,"➡️ Putin- Sankce, které se nyní zavádějí se podobají vyhlášení války Rusku."
626c1107bda34dd863346da3803303b9,"➡️ Naprosto ji chápu. Fiala se chová logicky.  ➡️ SPOLU zjistilo, ze jejich voliči se nechali obelhat proticovidouvou rétorikou, spolkli pandemický zákon a teďka je zajímá pouze nenávist k Rusku a nevadí jim, že jejich životní úroveň poklesne, stačí jim jen předhodit Putina."
62e2145138ecdd417b23c8dc9b614020,"Vždyť Putin nic neurčuje 😅🤣😂.  Ty ASTRONOMICKÉ ceny JSTE URČILI VY🤷‍♂️!!!"
6409792a16e78f29ec5bdde1b29630b5,"Putin ÚSPĚŠNĚ demilitarizuje jednu zemi NATO za druhou a místní hloupoučtí 🇺🇦 na to ještě vybírají peníze🤷‍♂️."
