Slovo,Podobnost
kreditu,0.3873271942138672
týká,0.2986885905265808
peníze,0.2757489085197449
myslíte,0.26878029108047485
nato,0.2670130133628845
evropané,0.2410680204629898
rusko,0.23961377143859863
seniory,0.2340611070394516
spojení,0.22885283827781677
nekontroluje,0.20429237186908722
řeknete,0.20340608060359955
minimální,0.20194467902183533
důkaz,0.20099063217639923
libdem,0.1975688636302948
automaticky,0.1945434808731079
zakládání,0.1915307492017746
zbabělosti,0.19093914330005646
nemám,0.18549324572086334
účtu,0.18335095047950745
názory,0.18201525509357452
slova,0.17702561616897583
diskuzi,0.17329348623752594
uvolňováním,0.16653497517108917
spd,0.16387970745563507
oběti,0.16108928620815277
