StatementId,Text
037a2518bb4859b6183bfb36cb675f53,"@piratzbrna Proboha živého proč se bavíš takovým odpadem jako je Lubomír Volný?  A proč mě dáváš do kopie s ním?"
04ee28859ad95fc9232721ab66aac62d,"➡️ Tak on mě už FB bere jako kompletní hrozbu😂😂😅🤣    ➡️ On si takhle přijde sympatizant pro “flákanec”, hodí na FB jenom fotku a vyskočí mu tam varování o C19😅🤣😂    ➡️ To fakt nevymyslíš😅🤣😂    ➡️ Lubomír Volný,  globální antikorporátní hrozba 😎 https://t.co/oBj2nK1oM4"
058265ec3d6a6eb9f29547cc71f79cb6,"No a je to venku.  A netvrdí to Lubomír Volný.    Ti, kteří na nás uvalili nouzový stav se rozhodují na základě dojmu a přání, nikoliv na základě logiky a pravdy.    Článek vhodný zejména pro všechny kriminálními metodami vakcinační lobby vyděšené spoluobčany.    https://t.co/WjR1FdKjO6"
08047368ee87e319efeeed8f4ee0edc2,"@lubomir_volny Okamžitě z EU,jsem myslel CZEXIT,pane Volný.."
097a7199844d363155c26a83930e7312,"@lubomir_volny To se pane Volný mýlíte.   Problematiku léčiv, řeší jiné instituce.  Překvapuje mně, že zrovna Vy,se odvoláváte na povinnost. Vaší povinností je např. nosit roušky,což povýšeně ignorujete.Nebo jít lidem příkladem,taky nic.   Takže tolik za mně.  Nestěžujte nám naší práci prosím."
1980568a3c3b02e52e10a540292a069d,"@lubomir_volny Pane Volný, Čína je viníkem současné situace. Zamlčovala, umlčovala, lhala WHO. Rusko proti nám vede hybridní válku a že udělá kroky v Evropě, zatímco u nich umírají lidé, holt jiné priority. EU ani NATO nemají na toto pravomoci. Ale doufám, že státy pošlou Číně tučnou fakturu."
19b7361f1adddfbcdd78a01964b9d49f,"@22_faraon @JiriParkes obávám se toho, že nevyzve. mezi Volným a Okamurou je nějakej problém, o kterým se veřejně nemluví. nám i jim by prospělo, kdyby si sedli k jednomu stolu a zanechali hádek. co na to @tomio_cz a @lubomir_volny ? :)"
1de2210e02c67bdedd7fe6180c7db2fa,"Volný a Bojko dnes úspěšně zablokovali jednání sněmovny o ukončení pandemického stavu. Bojovníci proti COVIDu udělali vše, co bylo v jejich silách, aby pandemický stav trval dál. Svět už není, co býval…"
1dff833e12b3431c8d85dc4f1f5d0480,"@lubomir_volny Taky dnešní článek.. IVM nákup byl údajně předražený, zmíněný zase jen Babiš. Pane Volný já si marně vzpomínám jestli vy ste vůbec pro to něco udělal... 😂😂 https://t.co/GQUk9rbE3b"
1e5c58af9e750c9a0b74458c0c34f5b7,"@lubomir_volny Na někoho jste zapomněl, pane Volný..."
2570162e807ff987bd21510440c7be3a,"Facebook právě ZRUŠIL nejúspěšnější politickou stránku v historii ČR, stránku “Mgr. Lubomír Volný”, která měla bez cenzury trojnásobný dosah, než stránky Tomia Okamury a Andreje Babiše!!!    Alespoň jednoznačně víme, kdo doopravdy vadí a kdo tak má pouze vypadat!!! https://t.co/B8R1y7vwGd"
2bcf437b2b9273f5151b01daa6e7d858,"@JiriParkes @DeeKayP1 Já pořád doufám, že Volný nakonec vyzve svoje příznivce, aby to hodili SPD. Je to jediná strana pronárodně orientovaná, která má po těchto volbách šanci ovlivnit reálně politiku a ne jen sedět v opozici."
2d836173e6e93407855edc7bba8e5647,"Šťastné a veselé prožití Vánočních svátku a hodně štěstí a zdraví v Novém roce Vám ze srdce přeje Lubomír Volný a celý tým @volny_blog i @BlokVolny ❤️🌹🇨🇿. https://t.co/kOJACYOlRu"
2ed6deedea342f24dc28e9eb11e7ebbd,"@lubomir_volny V tomhle státě, s tak silnou nostalgií po komunistických časech a iracionální láskou k Rusku(které podléháte dle mého minění i vy pane Volný) by referendum dopadlo jasně proti. Češi chtějí bezpečnost, to jo, ale aby je to nic nestálo. Jsme takoví dost vychcaní."
3440649cf94061455c42efca26ee8941,"Společnost DHL chystá právní kroky kvůli dezinformacím o šíření koronaviru nad Brnem. Sdílel je server Aeronet i poslanec Lubomír Volný. O hybridních hrozbách jsme informovali zde, podle vládního dokumentu proti nim musí Česko bojovat aktivněji než dosud. https://t.co/Nz77i7QAbl"
3b0ef962a29bfdadece3c465d279d424,"Takový sympatický dárek k narozeninám 😁😁😂.  Takže, Lubomír Volný - trollové 106 - 0 ;).    https://t.co/7PkNlnO94O"
3c5d6e6334b41ada8db077cf41bc2abf,"Výzva všem LHÁŘŮM  ❗️❗️❗️❗️❗️❗️❗️❗️❗️  Předložte důkazy o tom, že Lubomír Volný zničil úmyslně cokoliv ve sněmovně, a já okamžitě skládám poslanecký mandát, stahuji svou kandidaturu a stáhnu se zcela z veřejného prostoru❗️❗️❗️"
4582e091353ad7bb05cc152fc6b7054f,"@lubomir_volny Včera, když se hlasovalo o nedůvěře vládě, školil učitel Volný eurosvazáky ve sněmovně a to tak, že určitě toho večera neměli krásné spaní: https://t.co/jiW1Dv1Dx4  Také Marian Bojko se přidal: https://t.co/B90fj5q6bI  Luboš si také dobře podal Piráty: https://t.co/zr21RfHXqQ ..."
4bae212e660ce10856aad7866c5e47f4,"Pokusili jsme se založit novou stránku Mgr. Lubomír Volný.    Facebook BLOKUJE.    Mezi tím vznikly minimálně 2 FALEŠNÉ stránky se stejným názvem a ty jsou stále v provozu.     Takto pracuje Covidová mafie a vrazi Vašich dětí. https://t.co/nphPIVGjPJ"
