StatementId,Text
01603d78b808049111e798d29f23c987,"Kanadská veřejnoprávní televize vysvětluje vystřihnuti Trumpa ze Sám doma 2 “ editorskou úpravou filmu pro televizní použití”. Nepřipomíná vám to “ editorské vystřižení Zdeňka Bakaly” z projevu Zemana v naší veřejnoprávní @CzechTV ?  #jsemverejnopravni https://t.co/mIFk2suL9r"
039A9FF8647C8462BBDE72223027161C,"Zeman opět odmítl jmenovat generálem ředitele Bezpečnostní informační služby Michala Koudelku. Návrh vlády Andreje Babiše prezident odmítl už počtvrté. Zeman o řediteli BIS v minulosti prohlásil, že není člověkem na svém místě. Simvás, který z těch dvou je čučkař Koudelka? https://t.co/uxQye5XUjL"
0e3a74d44ae1a318495702e168cf876e,"Proč dodnes neodmítal @Vit_Rakusan výhružky jeho politickým oponentům a nevypracoval právní návrhy na ochranu důstojnosti vládních politiků v době kdy byl v opozici?  Proč svým chováním naopak podněcoval nenávist k Zemanovi, Babišovi, Okamurovi i ke mně 🤣?    Tuhle dobu “miluji”;)"
198ca00725faa6d4032dc679b6761d30,"Jak ponížit veřejnoprávní instituci a její novináře. „Gen. ředitel Českého rozhlasu René Zavoral mi teď navrhl další mediální výstupy s Lubošem Xaverem Veselým, kterého mám rád a těším se na to,“ řekl Frekvenci 1 M. Zeman. Takže rozhovory nepovedou novináři, ale Zemanův fanda."
1e8c96ff8d8c556f08c2c4e0c9d410ce,"@Qope87 Nepotřebuji důkaz, když nebudete lhát a normálně se přiznáte ;).    Vy Zemana primitivně nenávidíte a víme to tady všichni."
33475c79998c8b349d09db64d5696586,"Kdy byl pan prezident Zeman otráven mRNA GT?  Jak se poté vyvíjel jeho zdravotní stav?  Jedno je jisté, na C19 oficiálně NESMÍ zemřít!  Přeji Vám pane prezidente jen to nejlepší, uzdravení těla, lze-li to, i duše, i spravedlivý súd❤️🌹🙏.  Děkuji za vše dobré, to ostatní není má věc. https://t.co/e2D3kPwTDv"
3703a73f24fdf80f5b6536ee85cbda1d,"@VodickaJaroslav Předpoklad bez důkazu je konspirační teorie?  Tak to laskavě přestaňte kritizovat.  Mohl byste mi prosím Vás předložit DŮKAZ o tom, že prezident Miloš Zeman pracuje pro Rusko?  Děkuji.  Já si Vás asi pohlídám a tento Tweet Vám párkrát pošlu zpátky ;)."
381680bbadca7c55a28303ce2cd5a332,"@Qope87 Můžete, je to veřejná informace.  Volil jsem Miloše Zemana."
54284d2c05c863322ad438ef33b5490c,"@m1c4a1 A kdo Vám přidělí  dobrou reputaci ? Babiš i Zeman mají dobrou reputaci u milionů voličů.  Jak to poznáte, když pravdu odmítáte jako nástroj manipulace?  Spolehnete se na nějaké oficiální ministerstvo pravdy?  Vy věříte ministerstvu pod dlouhodobou kontrolou ČSSD a ODS?"
56491fab1e77d4a36602554ac11858dc,"Už je mi jasné proč to je takový řezník na ty, co jen něco hospodsky blbého plknou na soc. sítích proti muchametánům  - Nejvyšší státní zástupce Pavel Zeman chce být soudcem Evropského soudu pro lidská práva. Korýtka se mu zachtělo… pokud ho vyberou – ten se nezakecá."
594f0d844f44f6bbfeeddef2c27c32c8,"Pokud by Václav Havel absolvoval prezidentské volby stejně jako pánové Klaus a Zeman, byl by zvolen?"
70e2e891ee7397804173e525a5deca88,"Totalita nemusí být jenom komunistická, totalita je obecnější pojem. A totalita vždy zahrnuje cenzuru.    prezident republiky 🇨🇿 Miloš Zeman"
