Slovo,Podobnost
premiéra,0.9899042844772339
lánech,0.9802926778793335
vlády,0.9628744125366211
příležitosti,0.958465039730072
předsedu,0.9573153853416443
přátelsky,0.9523372650146484
zámku,0.9352453947067261
hradě,0.9338717460632324
vážený,0.9331399202346802
pravidelně,0.9089477062225342
panem,0.9050614237785339
jednání,0.9025049805641174
ministr,0.9016186594963074
setkání,0.9010404944419861
pražském,0.8913050889968872
místopředsedou,0.8694824576377869
financí,0.8672234416007996
členy,0.8657585382461548
sněmovny,0.8588446974754333
poslanecké,0.8510618209838867
prezidenta,0.8453115224838257
oběd,0.8424995541572571
jmenování,0.8373526334762573
masarykově,0.8352704048156738
schůzce,0.8324533104896545
