Slovo,Podobnost
lidí,0.9934669137001038
života,0.9933448433876038
rok,0.9932484030723572
jiných,0.9931707382202148
prezidentem,0.9931647777557373
druhých,0.9930752515792847
epidemie,0.9929339289665222
doba,0.9929206967353821
poslední,0.9928893446922302
české,0.9928792119026184
říci,0.9928617477416992
očkování,0.9926596283912659
žádná,0.992654025554657
znamená,0.9926376938819885
rád,0.9926190972328186
názor,0.9925979375839233
vakcín,0.9924739003181458
naprosto,0.9923720955848694
vlády,0.9923324584960938
stranou,0.9923319220542908
volebního,0.9923121929168701
myslím,0.9922698140144348
dlouho,0.9921413660049438
svojí,0.992139995098114
pan,0.9920662045478821
