Slovo,Podobnost
let,0.9894909262657166
prezidenty,0.9888702034950256
memoriam,0.9885193109512329
českého,0.9881962537765503
politikovi,0.9881932735443115
zemi,0.9880553483963013
světa,0.9879910945892334
říci,0.9878880381584167
někdy,0.987321138381958
rád,0.9861411452293396
republiky,0.9852258563041687
druhé,0.9849240183830261
ekonomické,0.9839680194854736
knihy,0.9838706254959106
životě,0.9838353395462036
lidé,0.9829518795013428
jiným,0.9827254414558411
straně,0.9827228784561157
národního,0.9826703667640686
žádnou,0.9826532006263733
pane,0.9821941256523132
profesoru,0.9819635152816772
některých,0.981660783290863
války,0.9816198945045471
třídy,0.9807153344154358
