Slovo,Podobnost
lživě,0.3234434127807617
demokracie,0.28710469603538513
foldyna,0.28419947624206543
volbách,0.28015372157096863
občanská,0.27177929878234863
členky,0.27079257369041443
bobošíková,0.24265770614147186
friedmana,0.24146926403045654
zlo,0.24048571288585663
republiky,0.23030495643615723
zajímavé,0.22553183138370514
husák,0.22301344573497772
vandasem,0.22151745855808258
přihlášku,0.2209603190422058
nato,0.22025275230407715
zpochybňovat,0.2177291214466095
kauzám,0.21410569548606873
změnu,0.21335344016551971
sněmovny,0.21067939698696136
stínový,0.20971077680587769
snižovat,0.20886287093162537
joch,0.2059442102909088
možné,0.20440685749053955
kandidovat,0.19859521090984344
hradu,0.1974772810935974
