Slovo,Podobnost
přebírá,0.37310513854026794
státního,0.3696956932544708
finanční,0.35431569814682007
správy,0.3542144000530243
sněmovny,0.3458814024925232
plnou,0.34209808707237244
výdaje,0.33838173747062683
realizován,0.3375909924507141
závislost,0.3267478346824646
důsledně,0.3245880901813507
zrušení,0.3058488965034485
celému,0.30229681730270386
dnů,0.2968824803829193
havlíčka,0.2825797498226166
vláda,0.28213635087013245
veřejných,0.2804805636405945
roky,0.28017574548721313
rostou,0.27865269780158997
ministryni,0.2766793370246887
pokyn,0.270723819732666
lež,0.27045828104019165
předsedové,0.26876088976860046
úředníci,0.266034871339798
paní,0.26551535725593567
pozměňovací,0.2626834511756897
