Slovo,Podobnost
dlouholetý,0.40456053614616394
úspěchů,0.31878820061683655
chvílí,0.3067871034145355
kdyby,0.30575141310691833
let,0.29731935262680054
český,0.2948402762413025
důsledně,0.2930181324481964
klaus,0.28469932079315186
sil,0.2768491506576538
lidských,0.27476274967193604
partnerem,0.2709418833255768
honzu,0.26826122403144836
úvahu,0.2622806429862976
nikoho,0.2553155720233917
politické,0.23792801797389984
školy,0.23015202581882477
knížete,0.229366272687912
nelze,0.22809872031211853
generaci,0.22738608717918396
čínou,0.2268962562084198
babiše,0.2258973866701126
společnost,0.2223024070262909
atmosférou,0.22198446094989777
vlastenec,0.22182802855968475
evropě,0.22092442214488983
