Slovo,Podobnost
vládě,0.8109323382377625
stran,0.7808100581169128
premiéra,0.7761563658714294
sněmovní,0.7316457033157349
republice,0.7167879939079285
pana,0.7045342922210693
volby,0.691543698310852
žádný,0.6848583817481995
lidé,0.6737598776817322
roce,0.6644213795661926
rád,0.6605874300003052
nikdy,0.6394885778427124
trestného,0.6377745866775513
všechny,0.6324522495269775
podpory,0.6236042380332947
českou,0.6232746839523315
fakta,0.6192982196807861
země,0.5984504222869873
politiky,0.5845590233802795
ministr,0.5648292303085327
jednání,0.5642156600952148
taková,0.5618388056755066
zákonů,0.5611592531204224
komunisté,0.5504071116447449
jiný,0.5496941804885864
