Slovo,Podobnost
svojí,0.30827078223228455
nynějších,0.28880926966667175
taberyho,0.2819937467575073
sobotu,0.24548408389091492
koalici,0.23075106739997864
zdechovský,0.22723501920700073
kandidátů,0.20126435160636902
říká,0.19543063640594482
normální,0.1786140352487564
demokratických,0.17846578359603882
pětistovku,0.1782209575176239
píše,0.17383721470832825
kraje,0.16383478045463562
favoritem,0.15395213663578033
vrcholné,0.15122346580028534
chalupu,0.14510424435138702
předvolebním,0.13713043928146362
prostřednictvím,0.13218842446804047
myšlenku,0.1318955272436142
práci,0.12781882286071777
roce,0.12376141548156738
některá,0.11440539360046387
mnozí,0.11235730350017548
zákoutí,0.11086186021566391
čunek,0.1071162149310112
