Slovo,Podobnost
antibabiš,0.22137586772441864
celkový,0.2141287475824356
měsíců,0.20627450942993164
basebalovými,0.2031397670507431
období,0.20189383625984192
pravdou,0.19979393482208252
důsledku,0.19927465915679932
statečně,0.1967962384223938
řízení,0.19392552971839905
olaf,0.19215905666351318
čtěte,0.18562962114810944
popřípadě,0.1835988312959671
skutečnosti,0.1809646189212799
podezření,0.17983973026275635
anglicky,0.17831027507781982
skříňku,0.17326755821704865
občanům,0.1722683161497116
spolupráce,0.16987186670303345
stažen,0.1690041720867157
stíhaný,0.1688447743654251
horší,0.1681411862373352
variant,0.16158825159072876
ochromena,0.16051141917705536
reputaci,0.16037416458129883
předsedové,0.16011454164981842
