Slovo,Podobnost
prezidenta,0.9396777749061584
premiér,0.9279937148094177
pan,0.9259711503982544
vláda,0.9179721474647522
sobotka,0.9147429466247559
předsedy,0.9136679768562317
ministr,0.8954474925994873
funkci,0.8941593170166016
důvěru,0.8863744735717773
financí,0.8840266466140747
komunisté,0.8829914927482605
podporu,0.8812326192855835
problémy,0.8783073425292969
jiného,0.8774770498275757
střetu,0.8767258524894714
kdyby,0.8725369572639465
demisi,0.8725350499153137
odpovědnost,0.8689687252044678
jednobarevnou,0.8675089478492737
moci,0.8674277663230896
jasný,0.8659772872924805
současné,0.8634821772575378
takového,0.8632779717445374
hnutí,0.8615009188652039
politická,0.8612974882125854
