Slovo,Podobnost
zájmy,0.3781208097934723
úplně,0.36692407727241516
sociálních,0.3180723786354065
babišovi,0.3100588023662567
zemi,0.2988050878047943
zkreslená,0.2948598265647888
pravidlo,0.27540647983551025
podstatné,0.26895996928215027
současné,0.26235532760620117
kroky,0.24752536416053772
architektury,0.24568571150302887
všechna,0.24521967768669128
odpovědně,0.24214139580726624
věci,0.23566846549510956
dobře,0.2337150126695633
schopnosti,0.23363518714904785
šéf,0.2255410999059677
senátu,0.2196338027715683
strategie,0.2171696275472641
lídr,0.21644379198551178
světě,0.20258000493049622
zjednodušení,0.20153126120567322
kterých,0.20106476545333862
úpadek,0.20022539794445038
druhou,0.200126051902771
