Slovo,Podobnost
jednání,0.41518354415893555
chytrá,0.3934493362903595
nakažených,0.3931170701980591
druhou,0.38980433344841003
plán,0.3875906765460968
konečně,0.36727073788642883
prostředků,0.36192992329597473
funkci,0.3541998565196991
stávají,0.3507881760597229
karanténa,0.34074458479881287
odborně,0.3396492600440979
místo,0.32589733600616455
zemích,0.3246162533760071
ministra,0.31973522901535034
vlády,0.3114958703517914
pandemii,0.29969289898872375
babiš,0.28796955943107605
výmluvy,0.2825317978858948
roušek,0.2816416025161743
slib,0.28042593598365784
zřejmě,0.27876561880111694
učitele,0.2759621739387512
změnu,0.2737901210784912
dělat,0.2731345295906067
živnostníky,0.2698240578174591
