Slovo,Podobnost
roky,0.9983330368995667
komunisty,0.9982701539993286
země,0.9982412457466125
politickou,0.9982009530067444
vlády,0.9982007145881653
nikdo,0.9981996417045593
prezidentem,0.9981614351272583
ústavním,0.998110830783844
ministr,0.9980891346931458
předsedovi,0.9980517625808716
premiéra,0.9980403184890747
volby,0.9980242252349854
celé,0.998007595539093
politiků,0.9980011582374573
občanům,0.9979524612426758
voleb,0.9979327321052551
panem,0.9978944659233093
místo,0.9978755712509155
lidé,0.9978728294372559
státu,0.9978688359260559
žádným,0.9978435635566711
zájmu,0.9978264570236206
let,0.9978238940238953
důvěru,0.9977757334709167
současná,0.9977719783782959
