Slovo,Podobnost
premiére,0.6415268182754517
sluníčkářkou,0.6271851658821106
globalistku,0.6177833080291748
papouškuje,0.6156297326087952
vlastizrádné,0.6137768030166626
transakce,0.6110543012619019
post,0.6101004481315613
marketingová,0.6089645028114319
bělobrádkovy,0.608951210975647
nominaci,0.6072229146957397
braňte,0.6046707034111023
kontrastu,0.6046304702758789
chlubí,0.6044338345527649
sestavování,0.6039971113204956
poklonkuje,0.6000921130180359
kývou,0.5996007919311523
dotazem,0.599573016166687
vetovat,0.5993108749389648
tah,0.5984917879104614
vlády,0.5975226163864136
vzpomeňte,0.5964416861534119
důvěře,0.5963354110717773
sobotkovy,0.5959751009941101
působení,0.5954067707061768
viditelném,0.5925503969192505
