Slovo,Podobnost
vládě,0.7897686958312988
neschopnosti,0.7580035924911499
nese,0.7532118558883667
nespokojenost,0.7440329194068909
neumí,0.7387568950653076
zaprodaná,0.7337759137153625
ocitají,0.7333585023880005
nekompetentnosti,0.7309868335723877
pozitivního,0.7300214767456055
padá,0.7291030287742615
peněženkám,0.728624165058136
plně,0.7283074855804443
předvádí,0.7267993688583374
chlubí,0.7266282439231873
nečinností,0.7266091108322144
selhání,0.7263497710227966
vládnutí,0.7247199416160583
diletantským,0.7219482660293579
nekoná,0.7215416431427002
užitečná,0.7214200496673584
idioty,0.7191855907440186
opakovat,0.718115508556366
ztrácí,0.7176677584648132
schopna,0.7164620757102966
zodpovědnost,0.7155568599700928
