Slovo,Podobnost
spadá,0.9082107543945312
vnitra,0.8965969085693359
petříčka,0.8694519400596619
šmarda,0.8623390197753906
petříček,0.8614861965179443
gesci,0.8602005839347839
předseda,0.859580934047699
vicepremiér,0.8570933938026428
dovolím,0.8539988398551941
kydají,0.8533477783203125
přímém,0.851570725440979
příkladu,0.8508867621421814
dotazem,0.8499838709831238
interpelaci,0.8497322797775269
blatný,0.8485767245292664
přenosu,0.8484189510345459
lahví,0.8481194376945496
vypisuje,0.8474740982055664
líhně,0.8455649614334106
prohlášení,0.8454983830451965
čt24,0.8451603651046753
obhájce,0.8443356156349182
ministr,0.8422314524650574
krmí,0.841528594493866
ministři,0.8412269949913025
