Slovo,Podobnost
schwarzenberg,0.9223555326461792
stanjura,0.9148010611534119
nečasem,0.9096918702125549
zbyněk,0.9001570343971252
pekarovou,0.8959822654724121
peněženkách,0.8956599235534668
šojdrová,0.8939752578735352
šéf,0.8924199938774109
farský,0.8918159604072571
gazdík,0.8903582096099854
zvažuje,0.8832696676254272
kamarády,0.8831182718276978
pražského,0.8823825716972351
benešík,0.8817009925842285
záměry,0.8799930214881897
předák,0.8780645728111267
kardinála,0.872140109539032
expředsedou,0.8707665205001831
lídé,0.8688995242118835
sprostou,0.8680055737495422
zbývá,0.867804229259491
pirátůstan,0.864876925945282
lidovců,0.8646834492683411
válek,0.86429762840271
nynější,0.8629454970359802
