Slovo,Podobnost
angely,0.91814786195755
kancléřka,0.9099985361099243
cdu,0.8851739168167114
mutti,0.86820387840271
macron,0.8598064184188843
poválečný,0.8598048090934753
odsun,0.8578565120697021
arogantní,0.8501554727554321
výroky,0.8493626713752747
typu,0.8487027287483215
němcům,0.8451765179634094
morálně,0.8352558612823486
kráčí,0.8345082998275757
spolupracovnice,0.8322257995605469
návštěvu,0.8144053220748901
sluníčkářské,0.8127134442329407
katastrofě,0.809263288974762
juncker,0.8074087500572205
nese,0.8042226433753967
hodnocení,0.7993500232696533
spol,0.7986032366752625
dejte,0.7980669140815735
šílenci,0.7945911288261414
proimigrační,0.7937784194946289
podobným,0.7899277210235596
