Slovo,Podobnost
souhlasím,0.8768059015274048
hrad,0.8514515161514282
prostřednictvím,0.8470793962478638
trumpovi,0.841141939163208
schůzku,0.8254923820495605
žaloby,0.8133505582809448
prezidenta,0.8114974498748779
okamurovci,0.8103181719779968
zemanovci,0.8083630204200745
klaus,0.8043926954269409
setkání,0.8043557405471802
znovuzvolení,0.8040010929107666
donaldu,0.8035784363746643
čestných,0.8012978434562683
zlosera,0.7973141670227051
zvolený,0.7935830354690552
zdravici,0.7918375134468079
září,0.7890133261680603
srbsko,0.7886437177658081
návštěvy,0.7876864671707153
vyjádření,0.7847665548324585
tv,0.7846298813819885
potencionalnim,0.784601628780365
předsedy,0.7844644784927368
správnost,0.7816414833068848
