Politician,Top 10 Unique N-grams
adam-vojtech,tomto směru (9); velice děkuji (9); spotřebních daní (9); urgentní péče (9); pracovní skupinu (9); celou řadu (9); kvalitu péče (9); paliativní péči (9); nesmírně vážím (9); vůbec poprvé (9); dostupnosti zdravotní péče (9); naše zdravotnictví (8); den otevřených dveří (8); zdravotní péče (72); 350 miliard korun (7); veřejném zdravotním pojištění (7); run for help (7); centra duševního zdraví (7); léků vzácná onemocnění (7); pomocí dotačních programů (6); dotačních programů podporujeme (6); world health organization (6); health organization who (6); systému zdravotní péče (6); miliard korun navíc (6); vlády duševní zdraví (6); world health organization who (6); reforma primární péče (5); posílení role praktických (5); role praktických lékařů (5)
alena-gajduskova,zálohované výživné (9); nové nemocnice (9); lidé zdravotním (9); jan hamáček (9); zvýšení rodičovského (9); lidé zdravotním postižením (9); mužů žen (8); navýšení rodičovského (8); klimatickou změnu (8); zrušení karenční (8); karenční doby (8); rodin dětmi (8); 4 let (8); dostupné bydlení (8); všechny děti (8); prostřednictvím uživatele (8); malými dětmi (8); hodně zdraví (8); hodně štěstí (8); dvojí kvalitě (8); zaměstnávání lidí (8); zrušení karenční doby (8); žen mužů (7); očima saši (7); saši mitrofanova (7); sociální demokraty (7); osob zdravotním (7); poslaneckého klubu (7); méně než (7); očima saši mitrofanova (7)
alena-schillerova,rozpočtu rok 2020 (9); 1 mld kč (9); státního rozpočtu rok (8); 1 500 kč (8); dph vodné stočné (8); elektronické evidence tržeb (7); 40 mld kč (7); zákona místních poplatcích (7); boji proti daňovým (7); zákona evidenci tržeb (7); mld kč navíc (7); 45 tisíc korun (7); finanční správa čr (7); hospicu dejte šanci (7); den otevřených dveří (7); hotelů restaurací čr (6); státního rozpočtu příští (6); návykových látkách hazardu (6); podporu vědy výzkumu (6); online finančního úřadu (6); mld kč ročně (6); zvýšení spotřebních daní (6); rodičovský příspěvek 80 (6); 20 mld kč (6); lepší výběr daní (6); zamezení dvojího zdanění (6); let jej lednu (6); jej lednu aktivně (6); lednu aktivně pobírat (6); rozpočet rok 2020 (6)
alexandra-udzenija,26 let (9); dvojka srdcem (9); časopis reflex (9); daňové prázdniny (8); důchodového systému (8); malý levný (8); komentáři časopis (8); víc peněz (8); celý život (7); nadační fond (7); mezi top (7); nulové zdanění (7); bohosluzba ucteni (7); ucteni pamatky (7); pamatky narodnich (7); narodnich hrdinu (7); ruskem velvyslanectvi (7); pirati sli (7); sli pietni (7); pietni akt (7); akt takoveho (7); takoveho historickeho (7); historickeho vyznamu (7); klacky nohy (7); praze 2 (7); státní výpalné (7); bohosluzba ucteni pamatky (7); ucteni pamatky narodnich (7); pamatky narodnich hrdinu (7); pirati sli pietni (7)
andrej-babis,summit přátel koheze (9); strakovka právě teď (9); teď krásný den (9); ministrem průmyslu obchodu (9); ministrem životního prostředí (9); ursulou von der (9); právě teď krásný den (9); teď krásný den všem (9); právě teď krásný den všem (9); hrad právě teď (8); právě teď předsedou (8); 10 milionů stromů (8); teď krásný večer (8); víc než roce (8); průmyslu obchodu karlem (8); obchodu karlem havlíčkem (8); výsledky jednání vlády (8); úřad vlády právě (8); vlády právě teď (8); kyjev právě teď (8); ministr dopravy vladimír (8); dopravy vladimír kremlík (8); právě teď krásný večer (8); teď krásný večer všem (8); ministrem průmyslu obchodu karlem (8); průmyslu obchodu karlem havlíčkem (8); úřad vlády právě teď (8); ministr dopravy vladimír kremlík (8); právě teď krásný večer všem (8); ministrem průmyslu obchodu karlem havlíčkem (8)
barbora-koranova,pane předsedo (9); veřejnou správu (9); zemí území (9); třetích zemí území (9); zemí území čr (9); třetích zemí území čr (9); návrhu zákona (8); bych dnes (8); zákona právu občana digitální služby (8); zákon právu (7); místní rozvoj (7); manželství všechny (7); hezký večer (7); poslanecký klub (7); práce čr (7); správu regionální (7); regionální rozvoj (7); chtěla bych dnes (7); veřejnou správu regionální (7); správu regionální rozvoj (7); cizinců třetích zemí území (7); veřejnou správu regionální rozvoj (7); cizinců třetích zemí území čr (7); pěkný den (6); měst obcí (6); stavebního práva (6); stavebního zákona (6); mnoho úspěchů (6); musím říct (6); role státu (6)
dominik-feri,týrání zvířat (8); ústavně právním (5); soudech soudcích (4); právním výboru (4); pozměňovací návrhy (4); ústavně právním výboru (4); dominik feri (3); blbě vidím (3); právní výbor (3); proti množírnám (3); sněmovního systému (3); zákona soudech (3); reprodukce časopisu (3); tři roky (3); jeho poradce (3); zákona soudech soudcích (3); čssd spd (2); celou republiku (2); čestný předseda (2); března 1939 (2); již dnes (2); dva tři (2); ano berkovec (2); klubu ano (2); vánoční trhy (2); proti novele (2); národním divadle (2); slev jízdném (2); svým závazkům (2); odvody dohod (2)
helena-langsadlova,měli bychom (7); vyšetřovací komise (6); autoritářských režimů (5); elektrárny počerady (5); velkou ctí (5); uznání kosova (5); neseme odpovědnost (4); odpovědnost budoucím (4); budoucím generacím (4); vlivu autoritářských (4); šíření dezinformací (4); ctí mohla (4); zahraniční politiku (4); dalších letech (4); sněmovně dnes (4); hybridní hrozby (4); neseme odpovědnost budoucím (4); odpovědnost budoucím generacím (4); vlivu autoritářských režimů (4); velkou ctí mohla (4); neseme odpovědnost budoucím generacím (4); podporují šíření (3); klimatická změna (3); změna realitou (3); země eu (3); eu musí (3); paní ministryni (3); dnes sněmovně (3); počerady paní (3); ps nato (3)
ivan-bartos,státní správa (7); digitální službu (7); zájmů premiéra (6); výjimek registru (5); digitalizace státu (5); výjimek registru smluv (5); zrušení výjimek (4); smluv čez (4); státem ovládané (4); vyslovení nedůvěry (4); děkujeme všem (4); dostala područí (4); dětských exekucí (4); schválení zákona (4); webu můžete (4); založit firmu (4); vlajkový zákon (4); zákon digitalizace (4); jeden den (4); registru smluv čez (4); vlajkový zákon digitalizace (4); výjimek registru smluv čez (4); druhým čtením (3); komunikaci úřady (3); veřejnou správu (3); čez další (3); další státem (3); ovládané firmy (3); budeme držet (3); držet kurz (3)
jan-bartosek,jejich práci (9); dostupného bydlení (7); kdu čsl (7); celém světě (6); světový den (6); dnešní den (6); financování sociálních (6); dnešní době (6); současné době (5); jan bartošek (5); bezpečnostní riziko (5); svůj názor (5); naše vláda (5); velké díky (5); jihočeském kraji (5); mezinárodní den (5); dostupné bydlení (5); alkoholu vodáků (5); děkuji pozvání (4); jihočeského kraje (4); dlouhodobé financování (4); miliónů kč (4); navýšení rámci (4); rámci přesunu (4); 77 lety (4); vlastní život (4); přeji ať (4); myslet budoucnost (4); jejich práce (4); nikdo neví (4)
jan-cizinsky,prahy sobě (9); hana třeštíková (9); udělat chybu (9); velké díky (9); občanská společnost (9); práva víc (9); prahy 1 (9); lidská práva víc (9); práva víc než (9); lidská práva víc než (9); práva víc než panda (9); lidská práva víc než panda (9); práva víc než panda zoo (9); radní kulturu (8); chybu budeme (8); památníku ticha (8); ticha bubnech (8); čtyři roky (8); milena johnová (8); hezký den (8); renata kropáčková (8); kropáčková moderátorka (8); naše radní kulturu (8); udělat chybu budeme (8); renata kropáčková moderátorka (8); sbírali podpisy (7); řeší naše (7); kulturu hana (7); třeštíková rádi (7); rádi bychom (7)
jan-hamacek,skvělá práce (9); ministra vnitra (8); policejním prezidentem (8); minimální mzdu (8); rodiny dětmi (7); české pošty (7); nelegální migraci (7); minimální mzda (7); světové války (7); férovou evropu (6); severní makedonie (6); tomáš petříček (6); soustrast blízkým (6); zákona služebním (6); služebním poměru (6); příslušníků bezpečnostních (6); nejbezpečnějších zemí (6); maláčová čssd (6); dokud budu (6); dvojí kvalita (6); svou práci (6); rád podařilo (6); minimální mzdy (6); policie čr (6); nového ministra (6); radek hlaváček (6); pravou míru (6); zákona služebním poměru (6); příslušníků bezpečnostních sborů (6); jana maláčová čssd (6)
jan-hrncir,naši vlast (9); podpořte prosím (9); května volbách (9); evropskou unii (9); vládli lidé (9); lidé juncker (9); macron či (9); referendem eu imigraci (9); května volbách evropského (9); nechcete vládli lidé (9); vládli lidé juncker (9); dalšími vlasteneckými stranami (9); evropského parlamentu referendem (9); května hnutí spd volbách (9); května volbách evropského parlamentu (9); nechcete vládli lidé juncker (9); společně dalšími vlasteneckými stranami (9); italský ministr vnitra matteo (9); května hnutí spd volbách evropského (9); italský ministr vnitra matteo salvini (9); unie imigraci volby (8); imigraci volby referendem (8); volby referendem eu (8); eu imigraci česká (8); imigraci česká republika (8); evropského parlamentu hnutí (8); parlamentu hnutí spd (8); hnutí spd jasně (8); nechcete vládli merkelová (8); hnutí spd prosazuje (8)
jan-kobza,parlamentní listy (9); babiš okrádá (8); okrádá vaše (8); vaše děti (8); babiš okrádá vaše (8); okrádá vaše děti (8); babiš okrádá vaše děti (8); děti babiš (7); čau lidi (7); vaše děti babiš (7); děti babiš okrádá (7); okrádá vaše děti babiš (7); vaše děti babiš okrádá (7); děti babiš okrádá vaše (7); babiš okrádá vaše děti babiš (7); okrádá vaše děti babiš okrádá (7); vaše děti babiš okrádá vaše (7); děti babiš okrádá vaše děti (7); panem předsedou (6); pana předsedy (6); istanbulské úmluvy (5); ministra havlíčka (5); proti přepisování (4); paní monika (4); panu předsedovi (4); pana předsedu (4); než smažou (4); dnešní vystoupení (4); turecké agresi (4); pronásledování křesťanů (4)
jan-lipavsky,prahy 6 (6); bojovníků svobodu (4); praze 6 (4); magnitského zákon (3); výbor obranu (3); zahraničních investic (3); zahraničního výboru (3); zahraniční politice (3); jednací řád (3); ruské propagandy (3); tajných služeb (3); prahy dnes (3); tajné služby (3); měl čest (3); maršála koněva (3); bychom neměli (3); václava havla (3); pěti lety (3); zuzana čaputová (3); naší historie (3); lehkou váhu (3); smutné výročí (2); nebuďme lhostejní (2); zeman číně (2); země oficiální (2); rady čtk (2); otevřený dopis (2); jde reakci (2); další osud (2); roce 2014 (2)
jan-skopecek,návrh rozpočtu (9); 40 mld kč (9); volbách ep (8); stále více (8); událostech komentářích (8); daňový balíček (8); centralizaci unifikaci (8); zrušení superhrubé (8); superhrubé mzdy (8); daňové břemeno (8); unifikaci eu (8); zrušení superhrubé mzdy (8); budu hostem pořadu (8); vysoké daně (7); listopadu 1989 (7); vyšší daně (7); ekonomický růst (7); dálniční známky (7); kč více (7); pořadu události (7); regulace lidských (7); lidských vztahů (7); mld kč více (7); pořadu události komentáře (7); regulace lidských vztahů (7); vláda měla (6); středočeské ods (6); české ekonomiky (6); poslanecký den (6); financí schillerovou (6)
jan-zahradil,dotaz volíte (9); dotaz volíte čssd (9); evropské politice (8); velký rozhovor (7); eu čínou (7); pane kolego (7); ostrej riff (7); volebních lídrů (7); der leyen (7); mezinárodní obchod (6); boris johnson (6); nacionalistou čínským (6); čínským agentem (6); agentem nikoli (6); nikoli nicméně (6); nicméně pouze (6); pouze agentem (6); agentem čr (6); čr vztahům (6); vztahům eu (6); věnuji budu (6); budu věnovat (6); věnovat praktickém (6); praktickém pragmatickém (6); pragmatickém základě (6); dvě cesty (6); cesty číny (6); jestli chcete (6); chcete pocvičit (6); 100 lety (6)
jana-cernochova,olova střelivu (9); výdajů obranu (8); střelivu rybářském (8); in memoriam (8); výboru obranu (8); olova střelivu rybářském (8); obranu výši (7); výši 2 (7); mč praha (7); nadační fond (7); poslaneckého klubu (7); rybářském olůvku (7); výdajů obranu výši (7); výši 2 hdp (7); mč praha 2 (7); obranu výši 2 (6); střelivu rybářském olůvku (6); výdajů obranu výši 2 (6); obranu výši 2 hdp (6); olova střelivu rybářském olůvku (6); výdajů obranu výši 2 hdp (6); karlově náměstí (5); uzákonění výdajů (5); ministr obrany (5); zákazu olova (5); čest jejich (5); jejich památce (5); štábní praporčík (5); praporčík in (5); můžete zhlédnout (5)
jiri-dolejs,obchod strachem (7); konec světa (7); vědecký důkaz (6); konci světa (6); rozdil mezi (6); okupace 68 (5); vedecky dukaz (5); koncem světa (5); 30 letech (4); got ta (4); názor důkaz (4); socialni spravedlnosti (4); extinction rebellion (4); nemá smysl (4); konci sveta (4); de iure (4); klimatické náboženství (4); rok 1989 (4); 10 lety (4); tady jde (4); role roa (3); nemá cenu (3); koněvovy sochy (3); důkaz apokalypsy (3); menší zlo (3); máte pocit (3); 4 roky (3); obou stranach (3); no jo (3); nota bene (3)
jiri-drahos,hlavy státu (9); pevně věřím (8); našeho vzdělávání (7); miloši zemanovi (7); 70 lety (7); komunistický režim (6); čest jeho (6); jeho památce (6); zuzana čaputová (6); práci senátu (6); považuji velmi (6); václavském náměstí (6); dobře fungující (6); ústavnímu soudu (6); oblasti vzdělávání (6); praze 4 (5); někteří politici (5); kybernetickou bezpečnost (5); celou řadu (5); tajné služby (5); nesmíme nikdy (5); nikdy zapomenout (5); zcela nepřijatelné (5); první republiky (5); stále více (5); nesmíme nikdy zapomenout (5); celá řada (4); rád můžeme (4); velmi důležité (4); velká gratulace (4)
jiri-pospisil,stíhaného premiéra (8); nejvyššího státního (8); trestně stíhaného (7); trestně stíhaného premiéra (7); pavla zemana (6); premiér měl (6); svobodu demokracii (5); pavel zeman (5); komise odpověď (5); odpověď 6 (5); 6 týdnů (5); svoboda demokracie (5); zákona státním (5); státním zastupitelství (5); komise odpověď 6 (5); odpověď 6 týdnů (5); zákona státním zastupitelství (5); komise odpověď 6 týdnů (5); kancléř mynář (4); nezávislost justice (4); zvýšení daně (4); daně nemovitosti (4); marie benešové (4); kauze čapí (4); české vlády (4); český prezident (4); ničím jiným (4); jiným než (4); právním státě (4); zájmy čr (4)
karel-havlicek,energetický mix (9); předmět technika (9); technika zš (9); mediální tlak (9); národní rozvojový (9); rozvojový fond (9); rodinných firem (9); českých firem (9); velmi mýlíte (9); rozšíření jádra (9); živnostenský balíček (8); duální vzdělávání (8); zákon elektronických (8); komunikacích příprava (8); příprava aukce (8); aukce mediální (8); trvalá komunikace (8); umělá inteligence (8); jednom místě (8); nových technologií (8); mld ročně (8); útlum uhlí (8); zákon elektronických komunikacích (8); komunikacích příprava aukce (8); příprava aukce mediální (8); aukce mediální tlak (8); národní rozvojový fond (8); komunikacích příprava aukce mediální (8); příprava aukce mediální tlak (8); komunikacích příprava aukce mediální tlak (8)
katerina-valachova,podle mého (9); novely občanského (9); rozpočtu rok (9); dluhovému otroctví (9); rodiny dětmi (9); financování regionálního (9); regionálního školství (9); platy učitelů (9); novely občanského zákoníku (9); financování regionálního školství (9); tří let (8); konec konců (8); návrh rozpočtu (8); mladí lidé (8); druhou šanci (8); dluhů dlužnímu (8); prvního dne (8); prohlášení vlády (8); dnes odpoledne (8); ministr plaga (8); této věci (8); dluhové pasti (8); plat učitele (8); učitelek učitelů (8); dluhů dlužnímu otroctví (8); další krok (7); zvaných dětských (7); velmi rychle (7); půdě poslanecké (7); splácení dluhů (7)
lubomir-volny,liberální demokrat (9); své děti (9); mne osobně (9); zcela určitě (8); milionu chvilek (8); chvilek nenávisti (8); eu roce (8); milion chvilek (8); bombových útoků (8); děkujeme podporu (8); již dnes (8); liberálně demokratický (7); přímém přenosu (7); muslimští teroristé (7); podporu nebojte (7); nebojte retweetovat (7); dnes již (7); své rodiny (7); pan ryšavý (7); příjemný den (7); eu roce 2019 (7); děkujeme podporu nebojte (7); podporu nebojte retweetovat (7); přeji příjemný den (7); děkujeme podporu nebojte retweetovat (7); pr tým (6); liberálně demokratické (6); liberální demokracie (6); jednoho dne (6); vy opravdu (6)
ludek-niedermayer,bateriová auta (9); malých středních (9); otázka zda (9); stovky miliard (9); dnešní době (9); spoustu lidí (9); panu premiérovi (9); uk eu (9); velké firmy (9); stovky milionů (9); pan johnson (9); dle mého názoru (7); malých středních firem (6); pan andrej babiš (6); pět minut luďkem (6); klimatu životního prostředí (5); pan premiér andrej (5); odchodu uk eu (5); patří velký dík (5); mnohem víc než (5); malé střední podniky (5); top 09 starostové (5); 09 starostové nezávislí (5); zájmu pana premiéra (5); pan premiér andrej babiš (5); top 09 starostové nezávislí (5); holdingu pana tykače (4); věcí našeho státu (4); naší části světa (4); top 09 středočeský (4)
lukas-wagenknecht,veřejnoprávních médií (9); zákona střetu (9); svěřenských fondů (9); zákona střetu zájmů (9); pana premiéra babiše (9); nezávislost veřejnoprávních (8); zájmů pana (8); mého názoru (8); podle zákona (8); kauze čapí (7); čerpání dotací (7); pana šarocha (7); evropské radě (7); podle mého (7); agent stb (7); veřejných zakázek (7); rop sz (7); auditní zprávy (7); monitorovací systém (7); nezávislost veřejnoprávních médií (7); podle mého názoru (7); premiéra jeho (6); rozpočtu eu (6); senátor 21 (6); hrubé porušení (6); porušení ústavy (6); prokázaný dotační (6); panem premiérem (6); auditních zpráv (6); evropského práva (6)
marek-vyborny,insolvenčního zákona (9); gymnázium pardubice (9); vychované dítě (9); ochranu vody půdy (9); již zítra (8); heřmanově městci (8); pardubice mozartova (8); let věku (8); 500 korun (8); každé vychované (8); marek výborný (8); gymnázium pardubice mozartova (8); 4 let věku (8); každé vychované dítě (8); musí platit (7); volebního zákona (7); roman línek (7); přeji krásný (7); lepší evropu (7); marian jurečka (7); zdanění náhrad (7); náhrad církvím (7); zvýšení rodičovského (7); okresní konferenci (7); mladí lidovci (7); ústavní ochranu vody půdy (7); dvě miliardy (6); mnohem více (6); šárka jelínková (6); jednání sněmovny (6)
marek-zenisek,prezidenta zemana (6); vše nejlepší (6); 09 stan (6); brexit dohody (6); top 09 stan (6); novou dohodu (5); evropské lidové (5); dva roky (5); úplně jedno (5); měli bychom (4); ta zlá (4); politické strany (4); lidové strany (4); nový rok (4); bojovat proti (4); členských států (4); horší než (4); volby ep (4); pořád stejní (4); zájmy čr (4); této vlády (4); svoji práci (4); 2 hdp (4); hdp obranu (4); mil rusů (4); evropské lidové strany (4); 2 hdp obranu (4); necelé tři (3); zejména pak (3); eu řekl (3)
