StatementId,Text
076d350b08273e67b3a9e5beee2cf9d6,"21. 4. Sněmovna poprvé ve své historii odsouhlasila vznik vyšetřovací komise k živému spisu, kde zároveň probíhá vyšetřování orgány činnými v trestním řízení! Lidový soud nadlidí zasedá. Gazdík, Pekarová Adamová, Blaha, Jurečka."
079f65e656b10504e3f8b0ca1d13b739,"Důvěra lidí ve vládu Petra Fialy (ODS) klesá, proto se vládní poslanci KDU-ČSL a TOP09, místo práce pro občany, uchýlili ke špinavým útokům a lžím vůči opoziční SPD. Podívejte se, co jsem jim na to řekl:   Vážené dámy a pánové, jak jsem čekal, tak vláda je zcela zoufalá a už se tady strhl kýbl splašků na mé jméno, protože vy nemáte jiné téma než Okamura nebo Babiš. Protože sami pro občany neodvádíte žádnou práci a občané začínají být zoufalí z toho zdražování, které vy prostě absolutně neřešíte. A já myslím, že to jenom dokazuje, kdo tohleto vidí, že vy nemáte žádné řešení pro občany. Ale teď to vezmu konkrétně, protože nejprve tady vystupoval představitel KDU-ČSL Marek Výborný. Takže bych tady rád řekl, na jaké akce jaké organizace jezdí zástupci KDU-ČSL, TOP 09 a také sociálních demokratů. A právě před chviličkou tady vystupoval poslanec TOP 09. Takže abychom si řekli, já to shrnu už do jednoho, tu reakci, na jaké akce jaké organizace jezdí zástupci, poslanci TOP 09, například poslanec TOP 09 Daniel Korte. Nebo poslanci KDU-ČSL. Jezdíte na akce Sudetoněmeckého landsmanšaftu, který je organizací, kterou založili nacisté, fašisté a němečtí šovinisté. Sjezdu se zúčastnili nejen politici KDU-ČSL, ale také exministryně ČSSD Michaela Marksová-Tominová a poslanec TOP 09 Daniel Korte.  Předseda ODS Petr Fiala zase spolupracoval s předákem Sudetoněmeckého landsmanšaftu Berndem Posseltem. Exministr kultury Daniel Herman (KDU-ČSL) hovořil o sudeťácích jako o  milých krajanech . Pro hnutí SPD je naprosto nepřijatelné, aby oficiální představitelé naší země jezdili na sraz této organizace. A řeknu vám proč.  Součástí takzvaných  milých krajů , pane poslanče - Jak se jmenoval ten pan poslanec, prosím vás, který mluvil přede mnou? (Otázka na předsedající. Místopředsedkyně Kovářová: Michal Kučera.) Kučera, jo, protože já neznám jeho jméno. Protože já se stávám často terčem okopávání kotníků od lidí, které vůbec neznám a nezná je ani většina veřejnosti, tak se omlouvám, že jsem se zase musel zeptat, kdo se to zase do mě obouvá. Já jsem na to zvyklý.  Takže pan Kučera z TOP 09, předpokládám, protože já ho vůbec neznám, toho pána, ale je z TOP 09, je z TOP 09, takže součástí tak zvaných milých krajanů, pane Kučero z TOP 09 a pane Výborný z lidovců , prostřednictvím paní předsedkyně, je i organizace Vitikobund. Je personálně jasně propojena se Sudetoněmecký landsmanšaftem. Cituji ze zprávy českého Ministerstva vnitra z roku 2004, abychom věděli, s kým se potkávají poslanci TOP 09 a KDU-ČSL. Jestli je podle mého názoru někdo kolaborant, a jestli je podle mého názoru někdo vlastizrádce, tak jste to vy! A já cituji ze zprávy českého Ministerstva vnitra z roku 2004. Ministerstva vnitra českého.  Pozornost si rovněž zaslouží organizace sudetoněmeckých nacistů Vitikobund, který v prostředí landsmanšaftu šíří protičeské názory. V prostředí landsmanšaftu šíří protičeské názory.  Tam se vám líbí, co? Na sjezdech landsmanšaftu.  Programem organizace je - cituji stále zprávu Ministerstva vnitra - programem organizace je odčinění údajných válečných zločinů spáchaných spojenci na německém národě a dále odstranění lží o německých zločinech včetně tak zvané holocaustové kultury, jakožto projevu neněmeckého myšlení.  Konec citátu ze zprávy Ministerstva vnitra České republiky z roku 2004.  V roce 1949 byl vyhlášen jeden ze základních a dodnes platných dokumentů Sudetoněmeckého landsmanšaftu, tak zvaná Eichstättská adventní deklarace, kde se mimo jiné objevují tyto požadavky. Cituji: Naším nezadatelným požadavkem je návrat vlasti v jazykových hranicích z roku 1937. Jde o nastolení udržitelného poměru mezi Německem a jeho západoslovanskými sousedy. Předpokladem pro to by také byla připravenost Čechů a Poláků vrátit vyhnaným Němcům jejich vlast. Všechny tyto úkoly mohou být řešeny pouze v rámci federalistického uspořádání Evropy.  A o to vy usilujete. Ostatně přeměnu Evropy na federální uspořádání šel přece studovat do USA poslanec vládní koalice Jan Farský za hnutí STAN. A věděl o tom i premiér Petr Fiala a věděl o tom i Vít Rakušan, předseda STANu. Takže to všechno zapadá. Zapadá to všechno jedno do druhého.  A tihle poslanci, kteří jsou za lidovce a TOP 09, se účastní těchto sjezdů. To znamená, jestli někdo podle mého názoru jedná tak, že to vypadá jako kolaborant nebo vlastizrádce, tak jsou to právě tito zástupci KDU-ČSL a TOP 09. Zcela prokazatelně. Ale pojďme dál.  Kdo všechno podepsal tu tak zvanou Eichstättskou adventní deklaraci, která je jedním ze základních dokumentů Sudetoněmeckého landsmanšaftu, jejíž součástí je i organizace Vitikobund. Tuto deklaraci podepsali - a znovu zdůrazňuji, na tyto akce Sudetoněmeckého landsmanšaftu jezdí pravidelně politici KDU-ČSL a TOP 09 - z toho je opravdu na zvracení, když to teď budu číst! Je to úplně na zvracení, kam vy jezdíte! Podepsali to: Becher, někdejší příznivec Kameradschaftsbundu, člen NSDAP. Podepsal to Walter Brand, člen henleinovského hnutí. Podepsal to Brehm, SS-Sturmbannführer, nositel zlatého stranického odznaku NSDAP. Podepsal to Hergl, SS-Hauptsturmführer, funkcionář NSDAP. Podepsal to Hönig, člen NSDAP, nacistický novinář.  Tam je vám dobře, co? Na téhle akci! V životě bych tam nešel! V životě bych tam nešel.  Götz, bývalý spolupracovník nacistické tajné služby, člen NSDAP. Lemberg, nacista, v roce 1938 člen Sudetoněmeckého Freikorpsu. Turnwald, člen NSDAS. Franzel, za okupace policejní důstojník jednotky podílející se na popravách českých vlastenců v Kobylisích! To je šílený, kam vy jezdíte! Mně je z toho úplně zle i u toho mikrofonu. Já nesnáším fašisty, musím říct na rovinu, a nesnáším nacisty. Ti tady opravdu vraždili naše vlastence a mě by nikdy nenapadlo, že tady budu ve Sněmovně s někým, kdo tam jezdí! Na sjezdy této organizace!  A dále tam podepsal Zawadil, vysoký funkcionář NSDAP a spolupracovník nacistické tajné služby. Schreiber, bývalý nacista, Preissler, bývalý nacista, Jaksch, to byl sociální demokrat. Reitzner, sociální demokrat, Sladek, duchovní. A tak dále, a tak dále.  Celostátně se Sudetoněmecký landsmanšaft ustavil 25. ledna 1950 na setkání v Detmoldu, kde bylo přijato druhé základní prohlášení Sudetoněmeckého landsmanšaftu, které opět požadovalo právní nárok na vlast a znovuzískání vlasti. Neboli je to zpochybnění poválečného uspořádání Československa. Mezi sedmnácti signatáři se to bývalými funkcionáři NSDAT opět jenom hemžilo: Lodgman, Tins, Staffen, Wollner, Leibl, Schmidt, Schneider, Benatzky, Diewock a další  Já myslím, že podle hnutí SPD by oficiální představitel našeho státu na taková setkání  milých krajanů , jak vy tomu říkáte u lidovců, s nacistickou minulostí prostě jezdit neměli. Upřímně, neměl by na ně jezdit nikdo.  Takže já si myslím a opravdu navrhuji, abychom se vrátili k té věcné debatě ohledně nouzového stavu. (Smích z lavic napravo.) Protože - ano, ale s tím nouzovým stavem souvisí i to, že vy neřešíte problematicku českých občanů a podobně. Vy se to snažíte oddělit, ale to je to.   A já vám můžu říct jednu věc, že jestli budete tady lhát o SPD a napadat znovu SPD, však víte, co vám teď řeknu z minulého volebního období. A myslím, že ta debata potom začala být víc věcná. Já vám to tady budu číst pokaždé celé tři a půl roku. Budu vám to tady číst stokrát, ať to miliony českých občanů slyší, na jaké schůzky a kdo jsou vaši kamarádi - kamarádi TOP 09 a KDU-ČSL. Proč a kam jezdíte. Mně je z toho úplně na zvracení, z tohohle, když tady vidím ten seznam, kam vy jezdíte a s kým se kamarádíte! Je to odporné.  Ale teď už také celkem je příznačné, že když jsem byl ještě ve vedení Sněmovny, jako že tady nebudu komentovat ty nesmysly, co tady říkal pan Kučera, protože předtím, než jsem byl místopředsedou Sněmovny, tak jsem jezdil lepším soukromým autem, než jsem měl jako místopředseda Sněmovny, takže vůbec nevím, o čem to tady plácá. Nějaký blázen, takže vůbec nechápu, o čem mluví. A měl jsem i řidiče mimochodem, neplaceného ovšem z vedení Poslanecké sněmovny, protože jsem logicky nebyl ve vedení Poslanecké sněmovny. Takže vůbec nechápu, o čem to tady mluví. To je blázen nějaký, to je lhář. Tady lže pořád dokola ten člověk. To je úplně neuvěřitelné. Nevím, co mluví tady o kanceláři. Když na to přijde, tak moje kancelář, kterou mám teď, tak má mnohem lepší výhled a je na lepším místě než kancelář, kterou jsem měl ve vedení Sněmovny. Vůbec nechápu, o čem to mluví, co to tady říká, jaká je to debata na úrovni! To je úplně neuvěřitelné. To je prostě blázen nějaký ten člověk. Já to nechápu vůbec. Prostě koalice lže pořád dokola, do svých lží se zamotává už, pořád dokola.  Takže já jsem jenom chtěl říct, že jestli budete pokračovat samozřejmě v těchto pořád lžích na SPD, protože nic jiného nemáte, a tady už se pousměji, protože vám to stejně nepomůže ani v preferencích, ani v ničem jiném, a nám to neuškodí, ty vaše lži, protože náš volič už ty vaše lži zná a tu vaši historii a vidí to na svých peněženkách hlavně, co způsobuje nečinnost vaší vlády. A budou to ještě vidět na svých peněženkách, protože vy nejste schopni zlepšit životy českých občanů v České republice. To už říkám teď, že ne, protože já vás znám. Stejně jako vy jste říkali, že znáte mě, jako že mě vůbec neznáte. Já jsem s vámi na pivu nikde nebyl, tak ale já tady znám vás velmi dobře z vaší vládní činnosti. To si myslím, že je prokazatelné, a vidí to všichni. Takže já vám to tady budu opakovat pořád dokola, TOP 09 a KDU-ČSL. V pořádku. Dnes tenhle můj projev uvidí určitě přes sto tisíc lidí a ostatně na mých sociálních sítích samozřejmě si to zopáknou. Když to tady budeme opakovat tři a půl roku, uvidí to miliony, miliony lidí a budou to vidět. V pořádku. Tak jestli se chcete takhle tady bavit, lhát... Já říkám fakta, vy říkáte lži. To jsou fakta. Všichni ví, a já tady vyzvu i případné diváky, zadejte si jména třeba Herman nebo Bělobrádek, teď neoslovuji, a Sudetoněmecký landsmanšaft do Googlu. Vyjedou vám tam fotky. Není potřeba se tady dohadovat o tom, jestli Okamura si vymýšlí, nebo ne. Je to tak, je to prostě tak a nebraňte se tomu. I to, co jsem vám tady četl, tak je pravdivá historie organizace, se kterou se kamarádí poslanci TOP 09 a KDU-ČSL. A jestli máte chuť, já vám to tady budu číst. Dneska máme času dost tedy evidentně, když soudím z vašich reakcí, protože já jsem měl projev na téma nouzového stavu. Projevy pana Jurečky a pana Rakušana to spadlo do osobních útoků, ještě vymyšlených, takže vy jste ukázali, že je tady evidentně času dost. Já myslím, že času je málo, protože občané jsou zoufalí, je potřeba pomáhat občanům, tak já to tady budu číst pořád dokola celých tři a půl roku.  Takže je to jenom vaše volba, jestli si to tady budeme číst pořád dokola, nebo se začneme - ano, politický boj na politická témata je v pořádku, tvrdý politický boj, ale ne takovýto podpásový boj, kde tady lžete a děláte z SPD něčí pátou kolonu. A nemáte pro to žádný důkaz. A přitom jestli je tady někdo pátou kolonou, a já vás tak nenazývám ani, nechám to už vyhodnotit, já na tu vaši úroveň nepůjdu prostě, abych vám říkal pátá kolona, proč? Já jsem to tady přečetl a každý si udělá obrázek sám. A můžeme si to číst dokola. Takže já znova navrhuji myslím poměrně vstřícně, pojďme ukončit tuhle debatu v té osobní rovině, řekli jsme si každý svoje, vy jste tady osočili nás, já jsem uvedl fakta v reakci na to, proto jsem to tady raději četl a citoval všechno, a pojďme se vrátit k tomu nouzovému stavu. Já to navrhuji. Pojďme se vrátit k nouzovému stavu a už jsem vám to říkal minule. Byl bych rád, aby v téhle Sněmovně, protože občané fakt nemají čas, všechno se kvůli nečinnosti vaší vlády, což je také pravda, můžete na mě stokrát útočit, tak vyvraťte, že to tak není a co připravujete za návrhy. Tak pojďme se tady tvrdě politicky bavit, pojďme tady tvrdě politicky oponovat, ale mohli bychom nechat už těchto vymyšlených invektiv, ne? Děkuji."
0925175941e1e46ac0c940917f3f2321,"Musel jsem ve Sněmovně zareagovat na zoufalé výpady předsedy KDU-ČSL Jurečky a předsedy ČSSD Hamáčka vůči SPD. Obě tyto strany nemají pořádný program pro lidi, takže mají preference pod 5%, a tak jen kolem sebe plivou a kopou.... Podívejte se:  Tak já bych zareagoval na ty nesmysly. Pan předseda KDU-ČSL Jurečka si asi seděl na uších, protože jako první o referendu, a slyšeli to myslím i diváci, mluvil pan předseda Hamáček nikoliv já. Já jsem reagoval na jeho zmínku o referendu. Takže předseda KDU-ČSL si prostě sedí a uších nebo lže. Jedno nebo druhé. Takže by bylo dobré, kdybyste se vyjadřoval přesně anebo nechodil na mikrofon za každou cenu, když vůbec nevíte.  Druhou věcí je, ptal jste se mě, abych uvedl zemi, která by mohla být pro ČR příkladem. Tak vždyť jsem mluvil o Švýcarsku. Jenže to je problém, že jste neposlouchal a šel jste mě tady osočit, aniž jste poslouchal, o čem jsme mluvili. Vždyť jsem mluvil o Švýcarsku, že mám dát příklad země, ke které bychom mohli směřovat.  Další věc je pan ministr Hamáček, předseda ČSSD. Smíchal jablka s hruškama. Já jsem nemluvil ani o lithiu ani o zlatu, já jsem mluvil v souvislosti se Švýcarskem o modelu demokracie. To nemá nic společného přece s lithiem nebo se zlatem. Já jsem mluvil o modelu demokracie. Tak nevím, jestli jsme se taky neslyšeli.  A jako poslední pan ministr Hamáček se tady navážel, to jsem tedy už vůbec nerozuměl, navážel se tady do SPD. No tak já bych spíš jako chtěl poznamenat: Prosím vás, kdy že bude propuštěn váš ministr ČSSD a bývalý hejtman David Rath z toho vězení? Za tu korupci. Já už jsem to trošku zapomněl, jestli byste mi nemohl připomenout, kdy toho vašeho vrcholného představitele ČSSD propustí z vězení.  Dále jestli mi můžete upřesnit, protože v kauze ROP Severozápad, to jsou ty obrovské dotace v Ústeckém a Karlovarském kraji, tak jsem teď asi před dvěma měsíci četl, že politikům ČSSD hrozí až šestnáct let vězení za korupci. Rozkrádali jste tam stamiliony na dotacích. Takže můžete mi jenom upřesnit, jestli je to pořád těch šestnáct let, jestli hrozí politikům ČSSD nebo už je to méně? Jako jo a teď začal ten soud s těmi vašimi politiky, prý tam rozkrádali. A mám tady dokonce celý fascikl korupčních kauz ČSSD, všech, kteří museli odstoupit nebo jsou zavření. No, mám na tu faktickou poznámku už jenom tři sekundy, tak to teď nebudu číst, ale přečtu rád."
09a1e940803caf68f6e10c718adb5333,"Důvěra ve Fialovu vládu nadále padá na dno. Aktuálně vládě důvěřuje již pouze 25% našich občanů, což je nejhorší výsledek v historii. Drtivá většina téměř 75% lidí vládě nevěří. Vyplývá to z nejnovějšího průzkumu Centra pro výzkum veřejného mínění Akademie věd (CVVM). Fialova vládní pětikoalice by podle mého názoru měla okamžitě podat demisi a přestat škodit lidem a měli by být předčasné volby, aby občané rozdali nové politické karty. Než nás premiér Fiala, paní Pekarová Adamová a pánové Rakušan, Bartoš a Jurečka stáhnout úplně na dno. To už může být pozdě. Vlastizrádná a kolaborační vláda ale odmítá demokracii a drží u koryt za každou cenu jako klíšťata."
0c348f77192cc3c94c0804acd7ce00dd,"Marian Jurečka čeká na Ministerstvu práce a sociálních věcí spoustu výzev.   Protože jsem Mariana v kampani SPOLU poznal jako pracovitého politika se silným sociálním cítěním, věřím, že v této roli obstojí."
0c68f7413bc16c4c2ea794247f6ee1be,"Dnešní aktuality 25.4.2022: 70 procent obyvatel má za to, že příchod uprchlíků z Ukrajiny povede k oslabení sociálních jistot českých občanů. Jejich obavy sdílíme. Válka na Ukrajině trvá již dva měsíce a vláda Petra Fialy (ODS) doposud přijala více než 340 tisíc uprchlíků, přičemž vládní politici prosazují neomezené přijímání a předpokládají, že zde Ukrajinci zůstanou natvrvalo i po skončení konfliktu. Ministr práce a sociálních věcí Marian Jurečka (KDU-ČSL) minulý týden uvedl, že je Ukrajincům připraveno k výplatě celkem 317 894 dávek v nouzi (každá za 5000,- Kč). Zároveň představitelé vládní koalice uvedli, že pracovat začalo pouhých 24 tisíc Ukrajinců. To je velmi málo. Náklady na ubytování, zdravotní péči a na jejich začlenění Ukrajinců do škol jsou vládou v tento moment odhadovány na 54 miliard korun. Agentura STEM minulý týden uvedla, že „70 procent obyvatel má za to, že příchod uprchlic a uprchlíků povede k oslabení sociálních jistot českých občanů . Jejich obavy sdílíme a opakovaně na to vládu upozorňujeme. Premiér Fialy ale dělá, že neslyší. Hnutí SPD je přesvědčeno, že vláda musí pomáhat našim občanům a jestli to neumí, měla by vláda podat demisi. Podpora uprchlíků z Ukrajiny by měla být podle názoru SPD přiměřená, pouze na nezbytně nutnou dobu a uprchlíci by se měli vrátit zpět, jakmile to situace umožní, a pracovat na obnově jejich země. Významná část uprchlíků pochází z oblastí, kde neprobíhají boje. Občané České republiky nenesou odpovědnost za ekonomický rozvrat a korupcí prolezlou situaci na Ukrajině, ke kterému došlo již před válkou. Postup Fialovy vlády v této věci pokládáme za nepřiměřený a nesouhlasíme s ním. Vláda Petra Fialy má plnou odpovědnost za veškeré problémy našich občanů způsobené tímto přístupem vlády.  Odmítáme, aby čeští občané dle návrhu EU financovali ze svých daní obnovu Ukrajiny, kterou řídí a rozkrádají oligarchové. Evropská komise se chystá založit fond solidarity, za kterého hodlá financovat poválečnou obnovu Ukrajiny. Členským státům podle agentury Bloomberg už dala najevo, že většinu dlouhodobých nákladů ponesou členské státy EU. Evropská komise nyní pracuje na mechanismu, který by měl pokrývat dlouhodobé potřeby Ukrajiny. Instrument by se prý údajně měl podobat fondu na podporu ekonomiky zasažené pandemií, na kterou si evropská sedmadvacítka celkem půjčila stovky miliard eur u komerčních bank, čímž dále zadlužila členské státy včetně České republiky. Tento nový „Ukrajinský fond  by měl sloužit k financování investic a reforem schválených vládou v Kyjevě. Bude to zřejmě i jednou z priorit pro české předsednictví EU v druhé polovině letošního roku. Dosavadní reformy však nevedly k rozvoji Ukrajiny a zlepšení situace jejích obyvatel, ale prospěly oligarchům, zahraničním koncernům a všeobecné korupci. Hnutí SPD tyto návrhy a úvahy ze strany Evropské komise jednoznačně odmítá. Již s předválečnou Ukrajinou byla spojena chronická všudypřítomná korupce a velmi slabá úroveň právního státu, který by rozkrádání mohl zabránit. Nevidíme tedy žádný důvod, proč by si EU měla vzít další úvěry a financovat miliardy eur do obnovy země, kterou řídí a rozkrádají oligarchové. Potřebujeme investovat především v naší republice a na poválečné obnově Ukrajiny by se měla podílet v první řadě Ruská federace. To je názor SPD.  Vláda Petra Fialy postupuje diletantsky a zdražování neřeší. Současná vláda Petra Fialy (ODS) stále neřeší drakonicky vysoké ceny potravin, plynu a elektřiny a dalších životně důležitých zboží a služeb. Premiér Fiala minulý týden dokonce prohlásil, že „zastropování cen je nesmysl  a že jeho vláda napumpovala za prvních 100 dnů vládnutí k pomoci občanům 74 miliard korun. Jedná se o demagogii, protože šlo především o mandatorní, tedy ze zákona povinné výdaje, které neřeší tíživou situaci našich občanů. Uvedená výše výdajů je totiž daná legislativou, protože se jedná o výdaje spojené se slevou na poplatníka (schválené minulou Sněmovnou) a zákonné valorizace důchodů včetně té plánované červnové, právě kvůli rekordní inflaci, kterou nechala Fialova vláda vyšroubovat na třetí nejvyšší v rámci EU (12,7%). Zvýšené výdaje všech obyvatel za uvedenou dobu 100 dnů vládnutí současné vlády byly zejména za předražené energie, pohonné hmoty, potraviny a hypotéky. Hlavní odpovědnost padá na vládu Petra Fialy (ODS), která postupuje diletantským způsobem a inflaci a zdražování neřeší. Předražené energie, jež roztáčí spirálu inflace, řeší ve většině států Evropy snížením daní či zastropováním ceny, což vláda Petra Fialy (ODS) odmítá, aniž nabízí jiné řešení. Premiér Fiala se zřejmě naivně domnívá, že se problém vyřeší sám a všechno nakonec zaplatí naši slušní a pracující občané. To hnutí SPD odmítá.  Generální tajemník OSN se má sejít s prezidentem Putinem. Hnutí SPD podporuje veškerá jednání na nejvyšších úrovních, která najdou cestu k mírovému řešení mezi Ruskou federací a Ukrajinou. Zítra v úterý 26. dubna je plánovaná návštěva generálního tajemníka OSN Antónia Guterrese v Moskvě, kde se má setkat s prezidentem Ruské federace Vladimirem Putinem. Tématem rozhovorů mají být zejména podmínky ukončení krvavého konfliktu na Ukrajině. Hnutí SPD podporuje veškerá jednání na nejvyšších úrovních, která najdou cestu k mírovému řešení mezi Ruskou federací a Ukrajinou.  Gratulujeme Marine Le Pen ke skvělému výkonu - oproti předešlým prezidentským volbám získala o čtvrtinu více hlasů. V neděli skončilo ve Francii druhé kolo prezidentských voleb, ve kterých voliči rozhodli o tom, kdo bude prezidentem Francie na příští pětileté období. Hnutí SPD gratuluje kandidátce Marine Le Pen, která v nerovném klání, kdy proti ní stála většina médií, korporací a mainstreamu, získala celkově 42 % hlasů, což je přibližně o 3 miliony hlasů více než před pěti lety. Prezidentem se tak stal Emmanuel Macron, který dostal o 2 miliony hlasů méně než v minulých prezidentských volbách. Macron je zastáncem politiky EU včetně migrace, Zeleného údělu (green deal) a dalších pro Evropu zhoubných programů globalizace. Marine Le Pen patří mezi nejvýznamnější politiky světa. Razantně a stále úspěšněji prosazuje náš společný ideál - Evropu založenou na spolupracujících svobodných suverénních národních státech, které žijí v souladu s tradicemi a národními hodnotami. Hnutí SPD je společně s Národním sdružením Marine Le Pen a dalšími devíti stranami a jejich 65 europoslanci sdruženo ve společné vlastenecké a euroskeptické frakci Evropského parlamentu s názvem Identita a demokracie (ID)."
0d4f6db781dcf020ffb84b316311bd8c,"V Českých Budějovicích je živo! Probíhá tu tradiční Země živitelka 2021, kam jsme se spolu s Marian Jurečka a Markéta Pekarová Adamová přišli podívat. Děkujeme za setkání s Vámi! A věříme, že se s Vámi všemi potkáme za 41 dní u voleb.  #Spolu #ZmenaKtereMuzeteVerit"
0e40d8ce846a0633b5118651d2b6fc9d,"Dnešní aktuality 9.7.2022 - 1) Vláda Petra Fialy plánuje zvyšovat daně pracujícím lidem. Dnes to řekl ministr práce a sociálních věcí Marian Jurečka (KDU-ČSL). Přitom Fialova pětikoalice slibovala před volbami opak. Sliby chyby👎 Hnutí SPD nesouhlasí se zvyšováním daní českým občanům a českým firmám. Zároveň navrhujeme konkrétní řešení nedostatku peněz ve státním rozpočtu. SPD již před několika měsíci podalo zákon na zdanění nezdaněných dividend vyváděných nadnárodními korporacemi z ČR, což by přineslo do státního rozpočtu až 75 miliard korun ročně. Podali jsme také návrh na snížení odvodů do EU o 30 miliard korun. A tyto peníze navrhujeme dát na pomoc lidem se zdražováním energií, potravin a bydlení. Naše návrhy nám ale Fialova vládní pětikoalice zamítla. Vláda Petra Fialy nehájí zájmy českých občanů, ale zájmy Bruselu a cizích nadnárodních korporací.   Vláda Petra Fialy (ODS) chce dávat z našich peněz miliardy na obnovu Ukrajiny, místo aby pomohla našim občanům se zdražováním. To není česká, ale “ukrajinská” vláda. Premiér Fiala tento týden řekl: “Prioritou číslo jedna se pro nás stala podpora Ukrajiny, její poválečná obnova. Musíme vytrvat v dodávkách zbraní a peněz na běžný provoz. Přiznejme si, že podstatná část obnovy Ukrajiny bude ležet na bedrech evropských států i Evropské unie jako takové. To je přirozené. Musíme ukázat leadership.” Podle ukrajinského premiéra Denyse Šmyhala bude na rekonstrukci jeho země potřeba okolo 750 miliard dolarů, tedy v přepočtu 17,8 bilionu korun.   Proč má Fialova vláda jako hlavní prioritu cizí zemi a nikoli svoji vlastní? Česká republika a problémy našich občanů nejsou pro Fialovu vládu na prvním místě👎 Podle názoru SPD by mělo být pro vládu hlavní prioritou vyřešení drahých energií, potravin a bydlení v ČR, což trápí všechny naše občany.   2) Včera jsme ve Sněmovně před závěrečným hlasováním zablokovali návrh vlády Petra Fialy (ODS), která chce letos vzít 14 miliard korun zdravotním pojišťovnám a zhoršit tak dostupnost zdravotní péče pro naše občany. S tím SPD zásadně nesouhlasí. Hlasování o vládním zákonu se z důvodu našeho zablokování přesouvá na příští středu. Poslanci SPD se již několik měsíců snaží tomuto vládnímu zákonu zabránit, přestože je nás pouze 20 poslanců z celkových 200. Hnutí SPD zásadně nesouhlasí se zhoršováním dostupnosti zdravotní péče pro naše občany a nechceme ani zhoršování pracovních podmínek zdravotníků. Fialova vládní koalice ODS, STAN, KDU-ČSL, TOP09 a Pirátů škodí našim občanům. Na prvním místě má Fialova vláda pomoc Ukrajincům a na potřeby našich občanů vláda zvysoka kašle👎🏻 Pro SPD jsou Česká republika a naši občané na 1.místě!   3) Na povrch vyplouvají další a další zjištění v kauze organizovaného zločinu, korupce a mafie ve vládním hnutí STAN Víta Rakušana. Dnes bylo zveřejněno, že se policie v této souvislosti zabývá dalším z trestných činů. Jedná se o nedovolené nakládání s návykovými látkami, jelikož aktéři této kauzy na jejich sexuálních a drogových večírcích užívali kokain a kšeftovalo se s ním.  Co k tomu všemu dodat? Již v září budou komunální a senátní volby - přijďte k volbám i s vaší rodinou a přáteli vyjádřit váš názor na Fialovu vládní pětikoalici a podpořte opoziční SPD! Důležité je netříštit hlasy! Zářijové volby budou referendem o vládě!"
0f8f13523c8e0e213d4e4584ebc42ce8,"Předsedou KDU-ČSL se stal Marian Jurečka. Šance na účast lidovců v předvolebním spojenectví demokratických stran, ke kterému je na sjezdu vyzýval Petr Pithart, je fuč."
10120BF0B64CCA78FF4069357CBB75B9,"Já, Marian Jurečka, Petr Gazdík i Vít Rakušan jsme všichni v rozmezí pěti let kolem čtyřicítky. Jsme lidé, kteří chodili do práce. Kteří mají rodiny a nějakou kariéru, mají osobní zkušenost. Nejsou za námi skandály. A to je to, po čem spousta lidí touží. Není to dokonalé, ale dáváme jim určitou jistotu, že se naše země bude vyvíjet řádným směrem.  http://bit.ly/2nFfhdY"
