StatementId,Text
003367e9bff9dd8d5a4dfd5ec18ef159,"➡️ Putin chce dobýt Ukrajinu, ta jo no, dobrá. ➡️ Proč ji podle vás 🇺🇦, chce mít radioaktivně zamořenou?"
00ea9e0162b2b0d51b7024ddcb1c44f9,"Po vyhlášení mobilizace vzrostly ceny ropy i plynu o jednotky procent. Jednosměrné letenky z Ruska však zdražily o stovky procent. Kdo může, bere nohy na ramena. Nikomu se nechce umírat za Putina a jeho imperiální sen..https://t.co/JpkklfLZnT"
0121db09b26c2485b9b01d8c9f7da2b3,"Pane premiére, vy těm lidem zase lžete! Já vám řeknu, jak to celé je.  Od 18. února 2022 jsem vám radil, abyste zastropovali ceny energií u výrobců. Náš návrh na zastropování jste půl roku odmítali, označoval jste jej za extrémistický a populistický. Pak jste to udělal, ale zase špatně. Raději jste nechal vydělat vám spřátelené výrobce energií 350 miliard korun a teď chcete na občany a firmy přehodit dalších 65 miliard. To nemůžete myslet vážně.    A ještě máte tu drzost, vymlouvat se na naší vládu?  Celé Dukovany jsme vám připravili my. Vy jste neudělali nic, jen jste to blokovali a teď se chlubíte naší prací. Ale v pohodě, hlavně to dodělejte.   A Temelín? Ten by vám nepomohl, měl být dostaven až v roce 2025, ale hlavně nedostatek elektřiny fakt problém není, když ji i dnes vyvážíme a draze kupujeme zpět.   Nečasova vláda, jejíž jste byl součástí, poslala každopádně do finále tendru na dostavbu Temelína ruský Rosatom. Určitě si pamatujete, jak se Topolánek a Nečas jezdili objímat s Putinem. Nicméně ten tendr zrušil Sobotka a tehdejší ministr Mládek, protože jsem odmítl, aby občané garantovali ceny elektřiny ČEZu.   Z toho už se nevylžete."
01474903100FAB41BAA3197A9F113105,"Zatímco jiné státy zakázaly Nočním vlkům vstup na své území, pražský magistrát jim pomáhá organizovat spanilou jízdu. Hejtman za ČSSD Michal Hašek se s podporovateli politiky Vladimíra Putina dokonce fotí. Je samozřejmě správné uctít hrdiny druhé světové války, ale bez skupin, které podporují Putinův autoritativní režim. Ti, kteří pomáhají šířit kremelskou propagandu, jednají proti zájmům České republiky. Vlci do civilizace nepatří."
017552a3457c0fdd62f714cb26f68edf,"➡️ Ekonomický propad zemí EU byl vždy nezastavitelný, vzhledem k jejich nesplatitelným dluhům a neustálé IT výrobě ničím nekrytých “peněz”.  ➡️Ale teďka to máme na koho svést.  ➡️Ne naše dluhy, naše neexistující peníze, náš Green deal, ale PUTIN!!!🤣😅😂😂😂🤣🤣😅🤣😅"
0178e27069ed0ab4f4fafcc2113ab04f,"„Vždyť oni tam toho Putina mají rádi! A má ho ráda většina národa. Vezměte si, jak zemi zvedl z doby příšerného Jelcinova vládnutí a z toho bláta, kdy se Sovětský svaz položil. Byl to přece Putin, kdo dostal Rusko ekonomicky nahoru,“ řekl herec Ivan Vyskočil.  A co si myslíte Vy? :-)"
01B519730535EF9F1F74B24C25BCD370,"Zběsilé útoky na Okamuru: Naši věznitelé dostali poprvé strach. Děs z referenda je přímo mýtický. Cikánský, nebo slovanský holokaust? Národ i stát je možné uchovat. Jak na Druhé obrození? Tady jsme doma MY! Nejnovější článek na webu Protiproud - spisovatel a bývalý tiskový mluvčí Václava Klause Petr Hájek vidí za probíhající kampaní proti Tomio Okamurovi hrůzu politického a mediálního kartelu Páté kolony z naší možné svobody a přes všechen ten hluk a pološero tuší na konci tunelu záblesk světla. Vzteklé povolební pokřikování na prezidenta Zemana aktuálně poněkud ochabuje, a současně plynule přechází do vzteklého předvolebního pokřikování na Tomia Okamuru. Nejvíce se pochopitelně činí trpaslíci, kteří se s odřenýma ušima protlačili do sněmovny. Protože ovšem právě oni mají přímou linku do tzv. veřejnoprávních a s nimi propojených (stále více trpasličích) Bakalových médií, jsou jejich nenávistné výkřiky zesilovány, až uši zaléhají.   Naštěstí jejich moc už není taková jako ještě před pár lety. Většina veřejnosti jim nevěří, nebo je už vůbec nesleduje. Soudruzi z Kavčích hor a českého rozhlasu mezitím bojují o svobodu slova. Tím se míní svoboda šířit pomluvy, propagandu a lži o politických a mediálních konkurentech Kavárny (viz kauza Kroupův klan). Neumějí to ovšem jinak než po bolševicku: kdo nejde s námi jde proti nám, je to fašoun či Putinův agent. Je třeba ho umlčet, poslat do vězení, nebo přímo na věčnost. Jako novináře Karla Slezáka, který se jejich hyenským bojůvkám postavil – a byl vzápětí k smrti uštván novinářskou smečkou Kavárny.  S Okamurou to ale tak jednoduché mít asi nebudou. Jednak je podstatně mladší, především však má za sebou více než půl miliónu lidí, kteří jeho SPD poslali do sněmovny v dosti silné pozici. A tak naším veřejným prostorem prozměnu opět bouří „skandál“ o údajném „popírání holokaustu“ ve sběrném cikánském táboře v Letech. Ale především se v médiích – tak pevně jako ještě nikdy předtím – usídlilo slovo referendum: jeden ze základních pojmů politického programu Okamurovy Strany přímé demokracie.  Tři v jednom  Lety jsou odpudivý evergreen, který politicky korektní snipeři vytahují, kdykoli je potřeba odstřelit politického soupeře. Okamura se jim před zaměřovače připletl tím, že vznesl legitimní otázku na absurdní stovky miliónů, za něž Sobotkova vláda s lidoveckým „ministrem Sudeťáků a jejich kultury“ Danielem Hermanem vykoupila tamní zemědělský provoz, aby k dosavadnímu pietnímu místu mohla vybudovat za další milióny velký „památník cikánského holokaustu“. Ani slovo proti každé jediné oběti nacistů. Avšak na desítky a stovky podobných zařízení z dob německého protektorátu po celé naší zemi si ani nevzdechla, přestože tam se skutečně vraždilo, nikoli „jen“ umíralo na tyfus.  Naše berlínsko-bruselská Pátá kolona kavárníků zaržála a rozjela kampaň. Velmi se podobá té, která zrovna v té chvíli bouřila proti Polsku, jež nechce připustit, aby se v souvislosti s německými koncentráky na jeho území mluvilo o „polských koncentrácích“. Snaha vytvořit dojem, že německá zvěrstva byla ve skutečnosti „internacionální“, že vinu nesou také občané z okupovaných zemí Hitlerovy Nové Evropy, je již dlouho součástí hnusné propagandistické mytologie Merkelové Nové Evropy. Útok na Okamuru s tím bezprostředně souvisí.  Hermana sice voliči vyprovodili z politiky, ale jeho bratři z KDU převzali onu zapáchající štafetu. Nyní chtějí odvolávat Okamuru z postu místopředsedy poslanecké sněmovny, neboť prý svými výroky popíral cikánský holokaust. Že se stejně vehementně neberou za „slovanský holokaust“, jehož rozměry a důsledky byly nekonečně strašnější – a o němž se vůbec nemluví?  Jako člověk, jehož otec a babička trpěli ve skutečných koncentrácích, aniž byli židé či cikáni, bych to docela ocenil. A nebyl bych jistě sám. Jenže lidovci plní internacionální zadání bratrů Bavorů. A v tomto případě se podařilo současně dostat do jednoho „fake“ balení Okamuru, německé zájmy na „úpravě“ historie a zviditelnit polomrtvou Bělobrádkovu a Bartoškovu partaj. Tři v jednom, no nekupte to!  Hrůza z lidového hlasování  Avšak přece jen to hlavní, co předseda SPD do naší reality v posledních dnech přinesl, je onen „strašák, který obchází Evropou“: referendum o setrvání či opuštění Evropské unie. Nebylo zbytí. Babiš totiž stále ještě musí s Okamurou jednat, přestože ho nesnáší. Nikoli z ideových důvodů – o něčem tak hloupém velký Andrej neuvažuje, ani když sní – ale protože pouze SPD pro něj představuje jedinou reálnou hrozbu v podzimních senátních a komunálních volbách. Stále sice doufá, že splichtí svou vládu s polomrtvou ČSSD a tolerancí komunistů, ale blížící se sjezd socialistů a jeho výsledky jsou sázkou velmi nejistou. Nechává si proto k SPD otevřená zadní vrátka.  Tím se dostalo téma referenda do světel reflektorů. A ten pohled stál (a stojí) za to! Ta hrůza, kterou z lidového hlasování o našem setrvání v bruselském ráji všichni (s výjimkou komunistů) mají, je až komická. Všechno, jen ne to! Šéf sněmovny Ondráček (ANO) dokonce tvrdí, že by se toto slovo nemělo vůbec vyslovit. Piráti jsou v kleštích, protože se sice také tváří, že jsou pro „přímou demokracii“ – ale kupodivu právě s touto výjimkou. No vždyť jsou stvořeni jako marketingový projekt přímo v lůně EU a jejich „mezinárodní vedení“ šéfuje zdatný muslim, takže na tom opravdu nic divného není.  O ostatních ani nemluvě. ODS, která se zapřísahá „eurokritičností“, má rovněž referendum o EU za sprosté slovo. Kalousek, Bělobrádek, Gazdík a spojení trpaslíci by to měli přímo za zločin. Nějak jim všem uniká, že takto hystericky proti hlasování „nevědomého a hloupého lidu“ neprotestovali, když se schválilo jednorázové referendum o vstupu do unie. Tehdy ještě měli plně v rukou média, ta internetová skoro neexistovala: Jó, to se dělala „fake“ unijní propaganda úplně jinak!  Jsme na další křižovatce  Strach je to přímo šílený. Andrej Babiš vymýšlí přímo „olympijské“ překážky, které by takovému referendu zabránily. Jako aby formálně v ústavě bylo, ale fakticky se nedalo provést. Jiní už jenom více či méně artikulovaně řvou NE! NE! NE! Vstoupit do berlínsko-bruselské pasti bylo snadné, ale dostat se z fešáckého kriminálu pomocí hlasování? Kdo to kdy slyšel? Tak je to se svobodou, její ztrátou a pokusem o opětovné nabytí vždy.   Jenže tím řevem učinili již z Tomia Okamury vítěze – bez ohledu na to, jak vše nakonec dopadne. Protože džin možného národního osvobození a státní suverenity byl vypuštěn z dosud pečlivě uzavřené láhve, a nikdo ho už dovnitř nedostane. Bude se vracet se stále větší naléhavostí. O to více nyní uslyšíme, jak strašlivě by se nám bez „unijních dotací“ a podobných zrůdností vedlo. O to více bude muset být „potrestána“ Velká Británie, která jako první prostřednictvím lidového hlasování vězení národů opustila.  Jenže všechno marno. Dříve nebo později se to stane. Touhu národů po svobodě a nezávislosti nelze držet v papiňáku totality neomezeně dlouho. Máme s tím právě MY jisté zkušenosti. Do té doby nezbývá, než pracovat a krok za krokem tento okamžik připravovat. Nejspíš bude potřeba i „Druhé národní obrození“.  Malý krok ke světlu  Chci proto i v této souvislosti každého znovu upozornit na měsíčník MY (z Čech, Moravy, Slezska a Slovenska), jehož druhé číslo šlo právě do prodeje. Časopis, který se naší současností i dějinami zabývá v klidném tónu (klidný časopis do bouřlivé doby), je jedním z takových prvních malých kroků směrem ke světlu. Moc proto prosím všechny přátele Protiproudu, aby ho četli a všemi prostředky a cestami šířili. A protože je vystaven složitostem „distribuce“, a zdaleka se nedostane do všech prodejen tisku, aby si ho předplatili a doporučili totéž svým přátelům a známým.  Nejde o žádnou závratnou částku – a pomůžete tak svým konkrétním činem tomuto prvnímu, na velkých vydavatelských domech nezávislému, „nosiči Druhého obrození“ žít a dýchat. Přinášet co největšímu počtu lidí ze všech koutů naší vlasti příběhy o tom, že to jde. Že všude u nás žijí zajímaví a hrdí lidé, kteří se navzdory těžké době nevzdávají, nenechávají se „poevropštit“, ale jsou tu a nezoufají. Udržují tradice, budují své rodiny, žijí své každodenní životy, o něž „velká média“ ani nezavadí. A posílejte do redakce své tipy na tyto příběhy, nebo je sami pište!  Proklínaný Tomio Okamura udělal svým „vypuštěným džinem“ referenda první větší otvor do pevných kulis našeho virtuálního vězení. Takových událostí bude ovšem potřeba ještě nesčetně, než budeme opět svobodně dýchat, sami si tvořit své zákony a opravdu svobodně volit své politické představitele. Každý by měl nyní vyzkoušet svůj malý krok, myslíme-li to opravdu vážně.  Celý článek Petra Hájka zde: http://www.protiproud.cz/politika/3626-zbesile-utoky-na-okamuru-nasi-veznitele-dostali-poprve-strach-des-z-referenda-je-primo-myticky-cikansky-nebo-slovansky-holokaust-narod-i-stat-je-mozne-uchovat-jak-na-druhe-obrozeni-tady-jsme-doma-my.htm"
022b84fcae7189a5dec4b5e5fd97b3a9,"🛑 Putin:  Anglosasům nestačí “sankce”, přešli k odklonům, organizují výbuchy na mezinárodních plynovodech Nord Stream. Je zřejmé každému, kdo z toho má prospěch. Kdo z toho má prospěch, je ten kdo to udělal "
031a28b410dce039f6808c5a5680845e,"Tak vy jste nechtěli v roce 2020 naše LNG? Tak teďka si ho prostě koupíte za ceny, které vám nadiktujeme a mlčte vy francouští Putinovi švábi🤣😅😂.  https://t.co/JsfNszllbh"
03c82099e78caefad4063e3c60183e98,"Zajímalo by mě, zda Putin přijal zprávu o Gerasimově zranění s úlevou, nebo se zklamáním, že je to jenom zranění. Poslat náčelníka generálního štábu na bojiště je tak zvláštní a neobvyklý krok, že o motivech můžeme jenom spekulovat."
