Entity,Community
Babiš,2
Okamura,0
Zeman,2
Hamáček,2
Sobotka,2
Fiala_p,3
Kalousek,2
Schillerová,2
Salvini,4
Putin,5
Merkelová,4
Trump,5
Orbán,4
Le Pen,4
Fiala,0
Maláčová,2
Havel,2
Klaus,2
Havlíček,2
Vojtěch,2
Bělobrádek,2
Macron,4
Masaryk,2
Soros,4
Petříček,2
Bartoš,7
Jourová,2
David,8
Juncker,4
Hitler,0
Moravec,5
von der Leyen,2
Blatný,2
Wilderse,4
Pekarová Adamová,3
Schwarzenberg,2
Toman,2
Johnson,1
Staněk,2
Gott,2
Hřib,3
Rakušan,3
Foldyna,4
Dostál,2
Vystrčil,2
Fiala_r,0
Volný,0
Prymula,2
Benešová,2
Ťok,2
SVOBODA,6
Dvořák,5
Faltýnek,2
Brabec,2
Koněv,3
Šafránková,0
Bakala,2
Filip,2
Erdogan,4
Jurečka,3
Šojdrová,6
Zaorálek,2
Biden,5
Gazdík,3
Polčák,6
Plaga,2
Němcová,2
Novák,8
Hrnčíř,8
Zdechovský,6
Feri,7
Pospíšil,6
Michálek,7
Vondráček,2
Nos,8
Křeček,8
Mynář,2
Stanjura,3
Kreml,2
Farský,3
Kovanda,2
Duka,2
Blaško,8
Šmarda,2
Metnar,2
Makron,4
Timmermans,2
Nováková,2
Herman,2
Charanzová,6
Klaus ml.,7
Čižinský,2
Niedermayer,6
Stropnický,2
Dlabajová,6
kurz,2
Poche,6
Černochová,3
Pelikán,2
Konečný,6
Ježek,6
Kalouskův,2
Válková,2
Chovanec,2
Šlachta,7
Arenberger,2
Paroubek,2
Štětina,6
Teličko,6
Szijjártó,2
Hyťhová,2
Dienstbier,2
Soukup,0
Wilder,4
Novotný,8
Doležal,8
Maříková,2
Kobza,0
Holík,0
Brichta,0
Horák,8
Hahnova,8
Bárta,0
Paul,8
Dopita,8
Atkinson,0
Henner,8
Schmeidler,8
Kubera,2
Čaputová,2
Ovčáček,2
Fischer,2
Drahoš,2
Topolánek,2
Nečas,2
Johansson,4
Pokorný,2
Kolář,3
Redl,8
Rakoušan,3
Válek,3
Hlubuček,3
Síkela,3
Jedlička,4
Palacký,4
Jandejsek,4
Obama,5
Beneš,2
Výborný,7
Kupka,7
Jakl,8
Stalin,0
Gottwald,0
Farage,1
Corbyn,1
Sehnalová,6
Lipovský,5
Peksa,7
