Entity,Community
SPD,0
EU,1
Babiš,0
RT,0
Okamura,0
Sněmovna,0
Ano,0
ČSSD,0
ODS,3
Brusel,1
Poslanecká sněmovna,0
Fiala,3
Praze,1
TOP 09,3
Zeman,0
KDU ČSL,3
Evropská komise,1
KSČM,0
Senát,0
Svoboda a přímá demokracie,0
Praha,4
Piráti,3
NATO,1
STAN,3
Sobotka,0
Parlament,1
Hamáček,0
COVID-19,0
ČT,0
Kalousek,3
Česká televize,0
Evropský parlament,4
Brno,4
Prahy,0
Putin,1
Le Pen,4
Salvini,4
ČT 24,0
Merkelová,1
Tv Barrandov,0
Orbán,1
V 4,1
Schillerová,0
Trump,1
Brně,0
Spolu,3
OSVČ,0
OSN,1
Evropská rada,1
Hrad,0
Agrofert,0
EET,0
Havlíček,0
Bělobrádek,0
Dukovany,3
Ostravě,1
Ústavní soud,0
Havel,0
Maláčová,0
Ministerstvo zdravotnictví,0
Ministerstvo financí,0
ČEZ,3
Vojtěch,0
David,4
Klaus,0
EP,1
COVID,0
Bartoš,3
Český rozhlas,0
Blatný,0
Parlamentní listy,0
CO2,1
Unie,1
Nejvyšší kontrolní úřad,0
Soros,1
Macron,1
Hnutí Svoboda a přímá demokracie,0
Hitler,1
Svoboda,4
Ostrava,1
Komise,1
NKÚ,0
Wilderse,4
ČNB,1
Masaryk,0
Juncker,1
Islámský stát,1
Rakušan,3
Plzni,2
Prymula,0
Úřad vlády,0
Schwarzenberg,3
OKD,0
Brna,0
Youtube,0
Von der Leyen,1
Foldyna,4
TV Prima,3
Jourová,1
Petříček,0
ČTK,0
Moravec,0
Události komentáře,0
Právo,0
Ústí nad Labem,0
BIS,0
Šafránková,0
Trikolóra,3
Hnutí SPD,0
IDnes,0
Berlíně,0
FB,0
Partie,3
Čapí hnízdo,0
Volný,0
Jurečka,3
Svobodný,4
19,0
ANO ČSSD,0
Pekarová,3
Dvořák,0
ENF,4
Erdogan,1
Berlína,1
Adamová,3
Novinka,3
Beneš,3
Hřib,3
Vystrčil,0
Rada,1
Evropa národů a svoboda,4
Plzeň,2
Gazdík,3
Bakala,0
Green Deal,1
Otázky Václava Moravce,0
Respekt,0
Polčák,3
Rada ČT,0
Feri,3
Prahu,3
Eurostat,1
Nos,4
Vláda,0
Moskvy,1
Křeček,0
Identita a demokracie,4
Rada EU,1
Zaorálek,0
AFD,1
Policie,1
Šojdrová,3
Johnson,1
Wilder,4
Hrnčíř,4
Česká pošta,0
Karlovy Vary,4
Paříži,0
Vídni,1
Ministerstvo vnitra,0
Facebook,1
Londýně,1
Seznam zprávy,3
ID,4
Televize,0
Temelín,3
Washingtonu,1
TV NOVA,0
Benešová,0
Kovanda,0
Makron,1
MF Dnes,0
Redl,3
Rakoušan,3
Seznam,3
Lipovský,0
Stanjura,3
Koněv,3
Eurozóna,3
Zdechovský,3
Vídně,1
CVVM,3
Blaško,4
Lidové noviny,0
Válek,3
Liga,4
Google,1
Armáda ČR,4
EFTA,1
Liberec,4
Liberci,0
Novák,4
Doležal,4
Bruselská elita,4
Pospíšil,3
Kolář,3
Farský,3
