Entity,Community
Sobotka,0
Bělobrádek,0
David,1
Novotný,1
Hahnova,1
Dopita,1
HENNER,1
Paul,1
Schmeidler,1
Macron,9
Juncker,9
Polčák,4
Poche,4
Štětina,4
Nos,2
Hrnčíř,1
Holík,2
Brichta,2
Atkinson,2
Bárta,2
Pošarová,1
Vašíček,1
Lukeš,1
Čermák,1
Pupava,1
DICKFELD,1
Mitterwald,1
Vostenak,1
Danna,2
Vyskočit,2
Šojdrová,4
Zdechovský,4
Ježek,4
Niedermayer,4
Teličko,4
Doležal,1
Horák,1
Schubert,1
Redl,3
Švarc,3
Kula,3
Pán,3
Valsamisová,3
Kufa,3
Nimrichter,3
Hauzner,3
Vraj,3
Blaško,1
Běrský,1
Krpálek,3
Pajgerová,3
Novák,3
Obdržálek,3
Pospíšil,4
Charanzová,4
Dlabajová,4
Konečný,4
Sehnalová,4
Keller,4
Kohlíček,4
Maštálek,4
Kocman,3
Heydrich,17
Kubiš,17
Jedlička,5
Palacký,5
Hannan,5
Jandejsek,5
Piketty,5
Bakalův,6
Bakalova,6
POC,4
Chytra,2
Kupka,7
Kovář,7
Johansson,8
Tayyip Erdoğan,8
Jakl,3
Zahradníček,3
Pokorný,6
Marx,10
Lenin,10
Wollner,11
Becher,11
Schneider,11
Brand,11
Schmidt,11
Konečné,4
Kraus,12
Němec,12
Tenzor,12
Mahrika,12
Morawiecki,13
Pellegrini,13
Veleba,2
M,14
A,14
Shehadeh,15
Alrawi,15
Kobulnický,15
Janeček,16
Štěpán,16
Gabčík,17
Metoděj,17
Hrubý,17
Valčík,17
Peksa,12
Bublík,17
Lhoťan,15
Kurás,18
Kurase,18
Grosse,19
Vlček,19
Taber,20
Tabery,20
H,14
Opletal,21
Hlávkova kolej,21
Tomin,11
Marksa,11
De Gaulle,22
Schuman,22
Dyka,23
de Gaulle,23
Posselt,11
Vokřál,11
Koněvovi,24
Kalouskovu,24
