Politician,Top 1,Similarity 1,Top 2,Similarity 2,Top 3,Similarity 3,Top 4,Similarity 4,Top 5,Similarity 5,Top 6,Similarity 6
adam-vojtech,vlastimil-valek,0.8014,marek-novak,0.7861,alena-gajduskova,0.7857,sarka-jelinkova,0.7816,olga-sehnalova,0.7757,andrej-babis,0.774
alena-gajduskova,alexandra-udzenija,0.9542,jan-bartosek,0.9493,jan-hamacek,0.944,vlastimil-valek,0.9432,marketa-adamova,0.9424,sarka-jelinkova,0.9388
alena-schillerova,andrej-babis,0.8865,alena-gajduskova,0.8788,jan-skopecek,0.8732,karel-havlicek,0.8722,martin-kupka,0.8704,veronika-vrecionova,0.8579
alexandra-udzenija,petr-fiala,0.9572,jan-bartosek,0.956,alena-gajduskova,0.9542,marketa-adamova,0.9452,vit-rakusan,0.942,tomas-czernin,0.9397
andrej-babis,martina-dlabajova,0.9263,jan-hamacek,0.9223,petr-hladik,0.9125,jiri-vosecky,0.9114,marek-novak,0.9084,herbert-pavera,0.9057
antonin-stanek,lubomir-zaoralek,0.9287,herbert-pavera,0.8879,hana-zakova,0.8846,jiri-vosecky,0.8775,barbora-koranova,0.8697,marek-novak,0.8687
barbora-koranova,vit-rakusan,0.9665,marek-vyborny,0.9585,milos-vystrcil,0.955,marketa-adamova,0.9546,david-smoljak,0.9525,frantisek-kopriva,0.9513
david-smoljak,vit-rakusan,0.9646,marek-hilser,0.9578,barbora-koranova,0.9525,tomas-golan,0.9525,tomas-czernin,0.9489,marketa-adamova,0.9438
dominik-feri,tomas-golan,0.9626,zdenek-nytra,0.9563,patrik-nacher,0.9453,barbora-koranova,0.944,jana-cernochova,0.9436,olga-richterova,0.9419
frantisek-kopriva,barbora-koranova,0.9513,marketa-adamova,0.9489,pavel-telicka,0.9475,ivan-bartos,0.9455,jan-lipavsky,0.9436,michaela-sojdrova,0.9422
hana-zakova,herbert-pavera,0.9474,zuzana-majerova-zahradnikova,0.9242,jiri-vosecky,0.9201,ladislav-oklestek,0.9106,milos-zeman,0.9074,radek-vondracek,0.9051
helena-langsadlova,jan-lipavsky,0.9654,pavel-fischer,0.9552,marek-zenisek,0.9455,miluse-horska,0.9431,marketa-adamova,0.9427,michaela-sojdrova,0.9407
herbert-pavera,stanislav-blaha,0.9506,hana-zakova,0.9474,zuzana-majerova-zahradnikova,0.947,jakub-janda,0.9365,marek-novak,0.9358,vaclav-klaus,0.9325
ivan-bartos,martin-kupka,0.9519,frantisek-kopriva,0.9455,mikulas-peksa,0.9438,marketa-adamova,0.9411,ondrej-profant,0.9379,mikulas-ferjencik,0.9378
jakub-janda,jana-cernochova,0.9448,zuzana-majerova-zahradnikova,0.9396,stanislav-blaha,0.9384,herbert-pavera,0.9365,vaclav-klaus,0.9364,vit-rakusan,0.9278
jan-bartosek,vit-rakusan,0.9611,tomas-czernin,0.9592,marketa-adamova,0.9565,alexandra-udzenija,0.956,miroslav-kalousek,0.9549,olga-richterova,0.9524
jan-cizinsky,zdenek-hrib,0.965,renata-chmelova,0.9467,petr-hlubucek,0.9441,marek-novak,0.9294,jan-hamacek,0.9274,stanislav-blaha,0.9254
jan-hamacek,marek-novak,0.9449,marek-vyborny,0.9444,alena-gajduskova,0.944,jan-bartosek,0.9407,barbora-koranova,0.938,vit-rakusan,0.9357
jan-hrncir,radim-fiala,0.9898,tomio-okamura,0.9777,helena-langsadlova,0.9146,mikulas-peksa,0.9104,michaela-sojdrova,0.9093,marek-zenisek,0.9051
jan-kobza,tomas-zdechovsky,0.9586,pavel-belobradek,0.9524,miroslav-kalousek,0.9482,vit-rakusan,0.9457,jana-cernochova,0.9445,jaroslav-foldyna,0.9442
jan-lipavsky,helena-langsadlova,0.9654,pavel-fischer,0.9589,jiri-drahos,0.9444,frantisek-kopriva,0.9436,pavel-telicka,0.9417,david-smoljak,0.9391
jan-skopecek,petr-fiala,0.9465,ludek-niedermayer,0.946,alexandra-udzenija,0.9392,mikulas-ferjencik,0.9382,marketa-adamova,0.9355,veronika-vrecionova,0.9329
jan-zahradil,marek-zenisek,0.967,stanislav-polcak,0.9613,marketa-gregorova,0.9478,pavel-telicka,0.9468,frantisek-kopriva,0.9361,tomas-zdechovsky,0.9352
jana-cernochova,stanislav-blaha,0.9465,tomas-zdechovsky,0.9465,jakub-janda,0.9448,jan-kobza,0.9445,zdenek-ondracek,0.944,dominik-feri,0.9436
jana-vildumetzova,petr-hladik,0.9372,ladislav-oklestek,0.9234,jiri-vosecky,0.9173,marek-novak,0.909,herbert-pavera,0.9031,andrej-babis,0.8971
jaroslav-foldyna,tomas-zdechovsky,0.9483,jan-kobza,0.9442,jana-cernochova,0.9288,pavel-belobradek,0.9258,petr-gazdik,0.902,patrik-nacher,0.896
jaroslav-polacek,jan-lipavsky,0.9088,ivan-bartos,0.8985,marketa-adamova,0.8967,stanislav-polcak,0.8927,pavel-telicka,0.8917,marek-vyborny,0.8906
jiri-dolejs,pavel-belobradek,0.9431,tomas-zdechovsky,0.9257,patrik-nacher,0.9063,michal-kucera,0.9053,lubomir-volny,0.9017,miroslav-kalousek,0.8987
jiri-drahos,tomas-czernin,0.9559,miluse-horska,0.9546,jan-lipavsky,0.9444,vit-rakusan,0.9414,david-smoljak,0.9341,helena-langsadlova,0.9312
jiri-pospisil,stanislav-polcak,0.9567,marketa-adamova,0.9457,marek-zenisek,0.9376,lukas-wagenknecht,0.935,pavel-telicka,0.934,petr-fiala,0.9336
jiri-vosecky,herbert-pavera,0.9301,zuzana-majerova-zahradnikova,0.9273,hana-zakova,0.9201,petr-hladik,0.9195,jana-vildumetzova,0.9173,radek-vondracek,0.9169
karel-havlicek,andrej-babis,0.8857,martina-dlabajova,0.8778,alena-schillerova,0.8722,veslav-michalik,0.8467,martin-kolovratnik,0.8331,zdenek-hrib,0.8249
katerina-valachova,marek-vyborny,0.9189,sarka-jelinkova,0.9187,alena-gajduskova,0.9175,olga-richterova,0.9117,vlastimil-valek,0.9017,alexandra-udzenija,0.8951
ladislav-oklestek,jana-vildumetzova,0.9234,petr-hladik,0.9138,hana-zakova,0.9106,zuzana-majerova-zahradnikova,0.9091,herbert-pavera,0.9088,jiri-vosecky,0.9046
lubomir-volny,tomas-zdechovsky,0.9148,pavel-belobradek,0.9106,jan-zahradil,0.9059,jiri-dolejs,0.9017,marek-zenisek,0.8972,radim-fiala,0.893
