n-gram,frekvence
ods,89
dnes,89
stát,82
strana,75
čtěte,69
demokratická,62
jejich,62
komentáři,61
občanská,60
naše,59
musí,57
jim,56
všem,55
vláda,54
daně,54
chceme,52
lidí,50
víc,47
let,47
sociální,45
2,44
své,43
peníze,42
mě,41
další,41
lidem,40
praha,40
naší,40
děti,39
koalice,39
ráda,39
teď,38
rodiny,37
také,37
vlastní,36
naši,36
bych,36
státu,35
praze,33
zemi,33
země,33
jeho,33
než,32
dnešní,32
měli,32
právě,32
pak,32
občanů,31
více,31
lidi,30
den,30
chce,30
my,29
místo,29
paní,29
život,29
seniory,28
mají,28
nikdy,27
daň,27
nemovitosti,27
děkuji,27
třeba,26
lidé,26
eet,25
ano,25
musíme,25
tady,25
jedno,25
řešení,25
dělat,25
vše,24
vůbec,24
strany,24
mezi,24
práce,24
premiér,24
změny,23
peněz,23
rodiče,23
demokratická strana,62
ods občanská,60
občanská demokratická,60
čtěte komentáři,55
nabytí nemovitosti,15
polokomunistická vláda,14
rodičovský příspěvek,14
praha 2,14
30 let,14
daň nabytí,11
naší země,11
mladých lidí,11
víc čtěte,11
chtěla bych,11
ministryně maláčová,9
životní prostředí,9
hnutí ano,9
26 let,9
dvojka srdcem,9
mimo jiné,9
andrej babiš,9
čím dál,9
časopis reflex,9
daňové prázdniny,8
naši zemi,8
naše země,8
důchodového systému,8
malý levný,8
komentáři časopis,8
víc peněz,8
celý život,7
nadační fond,7
mezi top,7
nulové zdanění,7
naše děti,7
bohosluzba ucteni,7
ucteni pamatky,7
pamatky narodnich,7
narodnich hrdinu,7
ruskem velvyslanectvi,7
pirati sli,7
sli pietni,7
pietni akt,7
akt takoveho,7
takoveho historickeho,7
historickeho vyznamu,7
klacky nohy,7
děkuji všem,7
praze 2,7
státní výpalné,7
podařilo prosadit,6
sociálních služeb,6
prázdniny rodiče,6
lidem 26,6
socialistická vláda,6
prorodinná politika,6
dnes připomínáme,6
fond dvojka,6
pražská koalice,6
důchodovou reformu,6
díky všem,6
paní ministryně,6
evropského parlamentu,6
meli ruskem,6
velvyslanectvi pirati,6
malých středních,6
koalice změny,6
přeji všem,6
daňových poplatníků,6
prorodinné politice,6
levný stát,6
magistrátní koalice,5
jim děkuji,5
praha sobě,5
primátor hřib,5
my ods,5
smutné výročí,5
pan primátor,5
top 10,5
10 zemí,5
ods občanská demokratická,60
občanská demokratická strana,60
