n-gram,frekvence
dnes,149
čssd,117
vnitra,98
více,92
policie,73
rád,68
čr,67
zde,65
práce,65
sociální,64
mě,63
jejich,62
ministr,59
všem,58
musí,57
díky,56
let,55
kč,47
bych,46
práci,45
den,45
naše,44
vládě,43
české,42
všechny,42
také,42
návrh,42
jeho,42
policisté,41
mají,41
své,41
děkuji,40
než,40
ministra,40
právě,40
proti,40
rok,39
hasiči,39
jim,38
demokracie,37
chci,36
peníze,35
vše,35
podle,35
policejní,35
další,33
lidé,33
nejen,32
roce,32
třeba,32
naší,31
první,31
musíme,31
rozpočtu,31
našich,30
měli,30
ministrem,30
velmi,30
budu,29
česká,29
lidí,29
mezi,29
děti,28
vlády,28
ano,27
chceme,27
spolupráce,27
kultury,27
budeme,27
eu,27
my,27
roku,26
dalších,26
zákona,25
dnešní,25
policistů,25
kraje,25
hodně,24
pracovní,24
podařilo,24
více zde,42
ministr vnitra,33
sociální demokracie,33
ministra kultury,16
upřímnou soustrast,16
bezpečnostních sborů,16
české republiky,15
jana maláčová,15
mimo jiné,15
evropského parlamentu,15
ministerstvo vnitra,14
česká republika,14
chtěl bych,13
olga sehnalová,13
ministerstva vnitra,12
ministrem vnitra,11
rodičovský příspěvek,11
rodičovského příspěvku,10
sociální demokracii,10
čssd vládě,10
hnutí ano,10
pavel poc,10
900 kč,10
andrej babiš,10
příští rok,9
více než,9
skvělá práce,9
ministra vnitra,8
policejním prezidentem,8
rád bych,8
minimální mzdu,8
pan premiér,7
rodiny dětmi,7
české pošty,7
nelegální migraci,7
minimální mzda,7
bych rád,7
děkuji všem,7
světové války,7
práce sociálních,6
férovou evropu,6
víc než,6
severní makedonie,6
tomáš petříček,6
soustrast blízkým,6
zákona služebním,6
služebním poměru,6
příslušníků bezpečnostních,6
nejbezpečnějších zemí,6
maláčová čssd,6
dokud budu,6
dvojí kvalita,6
svou práci,6
volby evropského,6
rád podařilo,6
minimální mzdy,6
policie čr,6
nového ministra,6
radek hlaváček,6
pravou míru,6
boji proti,6
30 let,6
česká pošta,5
českou republiku,5
petříček ministr,5
ministr zahraničí,5
zahraničí české,5
blízkým obětí,5
velkou radost,5
jednou nejbezpečnějších,5
policistů hasičů,5
nová auta,5
severní makedonii,5
podívejte video,5
rok 2020,5
nominaci předsedu,5
proti nelegální,5
smutná zpráva,5
držím palce,5
rok 2019,5
zákona služebním poměru,6
příslušníků bezpečnostních sborů,6
jana maláčová čssd,6
volby evropského parlamentu,6
tomáš petříček ministr,5
petříček ministr zahraničí,5
ministr zahraničí české,5
zahraničí české republiky,5
upřímnou soustrast blízkým,5
soustrast blízkým obětí,5
jednou nejbezpečnějších zemí,5
proti nelegální migraci,5
nového ministra kultury,5
druhé světové války,5
premiér andrej babiš,5
práce sociálních věcí,4
víc než přikazuje,4
než přikazuje zákon,4
policie české republiky,4
nejbezpečnějších zemí světě,4
čeká hodně práce,4
dokud budu ministrem,4
budu ministrem vnitra,4
vyjádřit upřímnou soustrast,4
upřímnou soustrast pozůstalým,4
chce čssd vládě,4
přidáno 10 procent,3
přidáme víc než,3
dvojí kvalitě potravin,3
rozpočtu rok 2020,3
chtěl bych poděkovat,3
13 350 kč,3
hasičského záchranného sboru,3
dvojí kvalita potravin,3
podepsal darovací smlouvu,3
bych rád popřál,3
čest jeho památce,3
rozpočtu příští rok,3
ukončena probíhá běžný,3
probíhá běžný výkon,3
běžný výkon služby,3
děkuji mu jeho,3
mu jeho práci,3
olga sehnalová radek,3
sehnalová radek hlaváček,3
nejvyššího státního zástupce,3
přeji rychlé uzdravení,3
ministrů vnitra eu,3
slovenskou ministryní vnitra,3
uvést pravou míru,3
hasičský záchranný sbor,3
záchranný sbor čr,3
foto deník sport,3
zrušili karenční dobu,3
boji proti terorismu,3
300 000 kč,3
000 kč nově,3
kč nově narozené,3
rozloučení karlem gottem,3
letišti václava havla,3
velmi smutná zpráva,3
zdroje navýšení rodičovského,2
navýšení rodičovského příspěvku,2
lze nalézt vyšším,2
nalézt vyšším zdaněním,2
vyšším zdaněním bank,2
zdaněním bank ano,2
bank ano zatím,2
ano zatím odmítá,2
zatím odmítá pan,2
odmítá pan premiér,2
muset vybrat zda,2
vybrat zda chce,2
zda chce podporovat,2
chce podporovat rodiny,2
podporovat rodiny dětmi,2
rodiny dětmi bankéře,2
dostanou přidáno 10,2
10 procent nejvíce,2
procent nejvíce roku,2
tomáš petříček ministr zahraničí,5
petříček ministr zahraničí české,5
ministr zahraničí české republiky,5
upřímnou soustrast blízkým obětí,5
víc než přikazuje zákon,4
dokud budu ministrem vnitra,4
přidáme víc než přikazuje,3
jednou nejbezpečnějších zemí světě,3
ukončena probíhá běžný výkon,3
probíhá běžný výkon služby,3
děkuji mu jeho práci,3
olga sehnalová radek hlaváček,3
hasičský záchranný sbor čr,3
300 000 kč nově,3
000 kč nově narozené,3
zdroje navýšení rodičovského příspěvku,2
lze nalézt vyšším zdaněním,2
nalézt vyšším zdaněním bank,2
vyšším zdaněním bank ano,2
zdaněním bank ano zatím,2
bank ano zatím odmítá,2
ano zatím odmítá pan,2
zatím odmítá pan premiér,2
muset vybrat zda chce,2
vybrat zda chce podporovat,2
zda chce podporovat rodiny,2
chce podporovat rodiny dětmi,2
podporovat rodiny dětmi bankéře,2
dostanou přidáno 10 procent,2
přidáno 10 procent nejvíce,2
10 procent nejvíce roku,2
chceme zabránit odchodu zkušených,2
zabránit odchodu zkušených zaměstnanců,2
naopak manažerů lidí administrativy,2
manažerů lidí administrativy června,2
lidí administrativy června ubyde,2
administrativy června ubyde 15,2
června ubyde 15 procent,2
ministryně práce sociálních věcí,2
pořád dojem těm našim,2
dojem těm našim hrdinům,2
těm našim hrdinům zahraničního,2
našim hrdinům zahraničního odboje,2
hrdinům zahraničního odboje mnoho,2
zahraničního odboje mnoho dlužíme,2
odboje mnoho dlužíme přesně,2
mnoho dlužíme přesně ta,2
dlužíme přesně ta správná,2
přesně ta správná připomínka,2
ta správná připomínka odvahy,2
správná připomínka odvahy hrdinství,2
připomínka odvahy hrdinství našich,2
odvahy hrdinství našich letců,2
hrdinství našich letců děkuji,2
našich letců děkuji emile,2
letců děkuji emile pozvání,2
děkuji emile pozvání dokázal,2
emile pozvání dokázal otevření,2
pozvání dokázal otevření muzea,2
dokázal otevření muzea raf,2
otevření muzea raf ivančicích,2
prezidentovi michala šmardu sám,2
michala šmardu sám navrhl,2
šmardu sám navrhl teď,2
sám navrhl teď najednou,2
navrhl teď najednou změnil,2
teď najednou změnil názor,2
najednou změnil názor předpokládám,2
změnil názor předpokládám platí,2
názor předpokládám platí dohoda,2
předpokládám platí dohoda čestné,2
platí dohoda čestné slovo,2
dohoda čestné slovo chlapa,2
čestné slovo chlapa nebudeme,2
slovo chlapa nebudeme kádrovat,2
chlapa nebudeme kádrovat vlastní,2
nebudeme kádrovat vlastní ministry,2
trvá dodržení koaliční smlouvy,2
dodržení koaliční smlouvy ústavy,2
ti celý život pracovali,2
tomáš petříček ministr zahraničí české,5
petříček ministr zahraničí české republiky,5
přidáme víc než přikazuje zákon,3
ukončena probíhá běžný výkon služby,3
300 000 kč nově narozené,3
lze nalézt vyšším zdaněním bank,2
nalézt vyšším zdaněním bank ano,2
vyšším zdaněním bank ano zatím,2
zdaněním bank ano zatím odmítá,2
bank ano zatím odmítá pan,2
ano zatím odmítá pan premiér,2
muset vybrat zda chce podporovat,2
vybrat zda chce podporovat rodiny,2
zda chce podporovat rodiny dětmi,2
chce podporovat rodiny dětmi bankéře,2
dostanou přidáno 10 procent nejvíce,2
přidáno 10 procent nejvíce roku,2
chceme zabránit odchodu zkušených zaměstnanců,2
naopak manažerů lidí administrativy června,2
manažerů lidí administrativy června ubyde,2
lidí administrativy června ubyde 15,2
administrativy června ubyde 15 procent,2
pořád dojem těm našim hrdinům,2
dojem těm našim hrdinům zahraničního,2
těm našim hrdinům zahraničního odboje,2
našim hrdinům zahraničního odboje mnoho,2
hrdinům zahraničního odboje mnoho dlužíme,2
zahraničního odboje mnoho dlužíme přesně,2
odboje mnoho dlužíme přesně ta,2
mnoho dlužíme přesně ta správná,2
dlužíme přesně ta správná připomínka,2
přesně ta správná připomínka odvahy,2
ta správná připomínka odvahy hrdinství,2
správná připomínka odvahy hrdinství našich,2
připomínka odvahy hrdinství našich letců,2
odvahy hrdinství našich letců děkuji,2
hrdinství našich letců děkuji emile,2
našich letců děkuji emile pozvání,2
letců děkuji emile pozvání dokázal,2
děkuji emile pozvání dokázal otevření,2
emile pozvání dokázal otevření muzea,2
pozvání dokázal otevření muzea raf,2
dokázal otevření muzea raf ivančicích,2
prezidentovi michala šmardu sám navrhl,2
michala šmardu sám navrhl teď,2
šmardu sám navrhl teď najednou,2
sám navrhl teď najednou změnil,2
navrhl teď najednou změnil názor,2
teď najednou změnil názor předpokládám,2
najednou změnil názor předpokládám platí,2
změnil názor předpokládám platí dohoda,2
názor předpokládám platí dohoda čestné,2
předpokládám platí dohoda čestné slovo,2
platí dohoda čestné slovo chlapa,2
dohoda čestné slovo chlapa nebudeme,2
čestné slovo chlapa nebudeme kádrovat,2
slovo chlapa nebudeme kádrovat vlastní,2
chlapa nebudeme kádrovat vlastní ministry,2
trvá dodržení koaliční smlouvy ústavy,2
jana maláčová tomáš petříček ministr,2
maláčová tomáš petříček ministr zahraničí,2
zákona služebním poměru příslušníků bezpečnostních,2
služebním poměru příslušníků bezpečnostních sborů,2
služebního příjmu účely výsluhových nároků,2
oslava dne české státnosti vietnamu,2
fungovat vzájemná spolupráce pondělí sejdu,2
vzájemná spolupráce pondělí sejdu premiérem,2
spolupráce pondělí sejdu premiérem očekávám,2
pondělí sejdu premiérem očekávám něj,2
sejdu premiérem očekávám něj řešení,2
premiérem očekávám něj řešení té,2
očekávám něj řešení té doby,2
něj řešení té doby platí,2
řešení té doby platí nebudu,2
té doby platí nebudu vzkazovat,2
doby platí nebudu vzkazovat přes,2
platí nebudu vzkazovat přes média,2
pokračujeme podpoře zemí postižených migrační,2
podpoře zemí postižených migrační krizí,2
potřebuje ministerstvo vnitra navýšit rozpočet,2
