n-gram,frekvence
babiš,37
pan,34
předseda,31
teď,26
krade,23
ano,22
proti,17
vystoupení,16
bych,16
sněmovně,16
naše,15
české,14
než,14
předsedo,14
mu,14
děti,13
díky,13
my,13
spd,13
víte,12
prosím,12
chtěl,12
mě,12
fakt,12
eu,12
pana,12
čr,12
vaše,11
přátelé,11
lidi,11
všechny,11
let,11
vůbec,10
parlamentní,10
prdele,10
ministra,10
jeho,10
okrádá,9
prostě,9
dnes,9
listy,9
prezident,9
prý,9
mají,8
jeden,8
tady,8
jim,8
něj,8
moci,8
lidé,8
ti,8
panem,8
nikdy,8
ať,8
právě,8
stb,8
ta,8
pak,8
poslanecké,8
předsedy,8
debil,8
poslanci,8
trochu,8
země,7
víc,7
jejich,7
čau,7
panu,7
třeba,7
další,7
líp,7
státní,7
nemá,7
člověk,7
předsedou,7
nevím,7
vždycky,7
své,7
stát,7
výročí,7
pan předseda,28
babiš krade,21
krade babiš,20
parlamentní listy,9
babiš okrádá,8
okrádá vaše,8
vaše děti,8
děti babiš,7
čau lidi,7
poslanecké sněmovně,7
panem předsedou,6
pana předsedy,6
chtěl bych,5
istanbulské úmluvy,5
ministra havlíčka,5
české televize,4
proti přepisování,4
paní monika,4
panu předsedovi,4
pana předsedu,4
než smažou,4
dnešní vystoupení,4
turecké agresi,4
pan prezident,4
pronásledování křesťanů,4
křesťanů století,4
elektrické energie,4
poslanecká sněmovna,3
tahle země,3
rychle sdílejte,3
sdílejte než,3
vystoupení sněmovně,3
30 let,3
jiného než,3
úplně prdele,3
jazzové sekci,3
dotační podvodník,3
události komentáře,3
ivanem davidem,3
nemá smysl,3
návrh usnesení,3
ratifikace istanbulské,3
česká republika,3
vyjádření ministra,3
havlíčka energetice,3
české republiky,3
energetických zdrojů,3
přepisování dějin,3
miloš zeman,3
milí přátelé,3
veřejnost nesmí,3
nesmí vědět,3
koncesionářských poplatků,3
uctění památky,2
hospodaření české,2
seminář děti,2
děti drogy,2
drogy legislativa,2
legislativa praxe,2
praxe léčba,2
léčba prevence,2
hubu krok,2
nikdo neví,2
komentář parlamentní,2
mě fakt,2
severní makedonie,2
makedonie nato,2
vysokou školu,2
nevím jestli,2
ošetřující lékař,2
pražský hrad,2
svoje zájmy,2
lepší než,2
frontotemporální demencí,2
zahraničních věcí,2
víte jděte,2
výročí prvního,2
prvního zvolení,2
zvolení václava,2
václava havla,2
babiš krade babiš,20
krade babiš krade,20
babiš okrádá vaše,8
okrádá vaše děti,8
vaše děti babiš,7
děti babiš okrádá,7
pronásledování křesťanů století,4
rychle sdílejte než,3
sdílejte než smažou,3
ratifikace istanbulské úmluvy,3
proti přepisování dějin,3
veřejnost nesmí vědět,3
hospodaření české televize,2
seminář děti drogy,2
děti drogy legislativa,2
drogy legislativa praxe,2
legislativa praxe léčba,2
praxe léčba prevence,2
komentář parlamentní listy,2
severní makedonie nato,2
dnešní vystoupení sněmovně,2
výročí prvního zvolení,2
prvního zvolení václava,2
zvolení václava havla,2
václava havla československým,2
rozhovor parlamentní listy,2
hádat mezi sebou,2
pan předseda agentem,2
stb dotační podvodník,2
turecké agresi sýrie,2
několik tezí černé,2
tezí černé budoucnosti,2
černé budoucnosti migrační,2
