n-gram,frekvence
dnes,47
jeho,30
proti,29
let,25
než,22
díky,21
také,21
další,20
čr,19
ano,19
jejich,18
prahy,18
podle,17
praze,16
zahraniční,16
roce,15
české,15
jde,15
mě,15
mezi,15
eu,15
či,15
poslanci,14
země,14
své,14
teď,14
stát,14
ods,14
naše,14
lidí,13
svobodu,13
6,13
podporu,13
musí,13
více,13
všem,13
česko,13
tady,13
premiér,12
kvůli,12
patří,12
návrh,12
praha,12
evropě,12
všechny,12
naší,12
děkuji,12
ruské,12
zeman,11
právě,11
jim,11
čínské,11
ať,11
den,11
spd,11
zatím,11
strany,10
přes,10
bohužel,10
všech,10
prezident,10
můžete,10
téma,10
rozhodnutí,10
2,10
zákon,10
česku,10
bych,10
výboru,10
budeme,10
třeba,10
jednání,10
velmi,10
lety,9
mezinárodní,9
měl,9
této,9
prezidenta,9
společnosti,9
koněva,9
lidská práva,7
prahy 6,6
více než,6
lidských práv,5
dnes připomínáme,4
5 let,4
top 09,4
bojovníků svobodu,4
praze 6,4
magnitského zákon,3
výbor obranu,3
zahraničních investic,3
zahraničního výboru,3
zahraniční politice,3
jednací řád,3
děkuji všem,3
ruské propagandy,3
miloše zemana,3
tajných služeb,3
prahy dnes,3
20 let,3
bychom měli,3
české republiky,3
tajné služby,3
měl čest,3
maršála koněva,3
bychom neměli,3
naše země,3
10 let,3
václava havla,3
pěti lety,3
miloš zeman,3
zuzana čaputová,3
naší historie,3
dobrý den,3
lehkou váhu,3
smutné výročí,2
nebuďme lhostejní,2
zeman číně,2
českou republiku,2
země oficiální,2
rady čtk,2
otevřený dopis,2
jde reakci,2
další osud,2
roce 2014,2
český berňák,2
milionů korun,2
svobodu internetu,2
václava klause,2
šíření dezinformací,2
více můžete,2
můžete přečíst,2
pan nebeský,2
spousta lidí,2
vybírá hotovosti,2
lidským právům,2
ano čssd,2
čssd ksčm,2
2 roky,2
sochy koněva,2
ruské ambasády,2
všem voličům,2
voličům podporu,2
poslanecké sněmovny,2
jejich oběť,2
finská novinářka,2
novinářka jessikka,2
pět let,2
přijatého rozhodnutí,2
