n-gram,frekvence
dnes,165
eu,150
ano,126
daně,113
více,109
hnutí,99
rozpočtu,96
vláda,89
ods,84
než,83
jeho,79
další,78
proti,74
čr,70
ministryně,70
daní,67
čssd,65
mě,60
mld,60
sněmovně,58
financí,58
vlády,56
eet,55
stát,55
podle,52
době,52
babiš,51
bych,48
kvůli,48
rok,47
jejich,46
chce,46
tedy,45
pak,44
návrh,43
rozpočet,41
let,40
paní,40
růstu,39
budu,38
zvýšení,38
zase,38
státu,36
kč,36
zrušení,36
lidí,35
svobodu,35
díky,35
musí,35
ksčm,35
daň,34
navíc,34
evropské,33
třeba,32
regulace,32
dnešní,32
mezi,32
stále,32
zemi,31
snad,31
mají,31
schillerová,31
manželství,30
premiér,30
teď,30
státní,30
naše,30
měl,29
den,28
vládní,28
příští,28
jim,27
jde,27
vlastní,27
nejen,27
euro,27
eura,27
bychom,27
měli,27
ať,27
hnutí ano,92
mld kč,31
příští rok,26
paní ministryně,22
zvýšení daní,21
vládní koalice,20
státního rozpočtu,19
ministryně financí,18
budu hostem,17
premiér babiš,16
ano čssd,16
ministryně schillerová,16
40 mld,16
více viz,14
národních států,13
hnutím ano,13
době růstu,13
premiéra babiše,12
rozpočtu příští,12
spotřební daně,12
von der,11
více než,11
státní rozpočet,11
hostem pořadu,11
bychom měli,10
zvyšovat daně,10
evropské komise,10
ministr financí,10
financí schillerová,10
poslanecké sněmovně,9
návrh rozpočtu,9
andrej babiš,9
volbách ep,8
stále více,8
událostech komentářích,8
daňový balíček,8
prezident zeman,8
centralizaci unifikaci,8
poslanecké sněmovny,8
zrušení superhrubé,8
superhrubé mzdy,8
daňové břemeno,8
události komentáře,8
ministryně maláčová,8
unifikaci eu,8
vysoké daně,7
evropského parlamentu,7
listopadu 1989,7
václav klaus,7
vyšší daně,7
ekonomický růst,7
držím palce,7
dálniční známky,7
kč více,7
pořadu události,7
regulace lidských,7
lidských vztahů,7
100 let,7
vláda měla,6
středočeské ods,6
české ekonomiky,6
poslanecký den,6
financí schillerovou,6
rezerv pojišťoven,6
průmyslu dopravy,6
nacistickým německem,6
nemá společného,6
ekonomického růstu,6
nabytí nemovitosti,6
podle mě,6
příštím roce,6
bojovat proti,6
daňových poplatníků,6
položení kytice,6
vlny eet,6
komentáře čt24,6
veřejné finance,6
mimo jiné,6
nízké nezaměstnanosti,6
jiný než,5
rozpočtu příští rok,12
hnutí ano čssd,12
ministryně financí schillerová,10
40 mld kč,9
zrušení superhrubé mzdy,8
budu hostem pořadu,8
mld kč více,7
pořadu události komentáře,7
regulace lidských vztahů,7
hostem pořadu události,6
centralizaci unifikaci eu,6
události komentáře čt24,6
návrhů jaké daně,5
česko čína příležitosti,5
čína příležitosti limity,5
nejvyšší daňové břemeno,5
státní regulace lidských,5
kvůli hnutí ano,5
paní ministryně schillerová,5
von der leyenové,5
koalice hnutí ano,5
svazu průmyslu dopravy,4
rozpočet příští rok,4
premiér babiš ministryní,4
pořadatel svobodně rozhodl,4
svobodně rozhodl hostesky,4
rozhodl hostesky roky,4
hostesky roky funguje,4
roky funguje teď,4
funguje teď závodem,4
teď závodem nemá,4
závodem nemá společného,4
nemá společného vyvíjí,4
společného vyvíjí soukromého,4
vyvíjí soukromého pořadatele,4
soukromého pořadatele nátlak,4
pořadatele nátlak nebylo,4
nátlak nebylo tudíž,4
nebylo tudíž svoboda,4
tudíž svoboda pořadatele,4
svoboda pořadatele zpochybňována,4
pořadatele zpochybňována obránci,4
zpochybňována obránci svobody,4
obránci svobody měli,4
svobody měli jeho,4
měli jeho právo,4
jeho právo bránit,4
chaotických návrhů jaké,4
vlády hnutí ano,4
sněmu hnutí ano,4
konference česko čína,4
daňové břemeno historii,4
vláda prostřednictvím rozpočtu,4
prostřednictvím rozpočtu utratí,4
rozpočtu utratí příštím,4
utratí příštím roce,4
příštím roce více,4
roce více 100,4
více 100 mld,4
100 mld kč,4
kč více než,4
více než letos,4
než letos stát,4
letos stát roste,4
stát roste úkor,4
roste úkor soukromého,4
úkor soukromého sektoru,4
soukromého sektoru stát,4
sektoru stát otesánek,4
stát otesánek stále,4
otesánek stále více,4
stále více obaluje,4
více obaluje tukem,4
obaluje tukem pomalý,4
tukem pomalý neefektivní,4
pomalý neefektivní potřebuje,4
neefektivní potřebuje redukční,4
potřebuje redukční dietu,4
redukční dietu další,4
dietu další deficity,4
budu hostem pořadu události,6
hostem pořadu události komentáře,6
česko čína příležitosti limity,5
státní regulace lidských vztahů,5
pořadu události komentáře čt24,5
koalice hnutí ano čssd,5
pořadatel svobodně rozhodl hostesky,4
svobodně rozhodl hostesky roky,4
rozhodl hostesky roky funguje,4
hostesky roky funguje teď,4
roky funguje teď závodem,4
funguje teď závodem nemá,4
teď závodem nemá společného,4
závodem nemá společného vyvíjí,4
nemá společného vyvíjí soukromého,4
společného vyvíjí soukromého pořadatele,4
vyvíjí soukromého pořadatele nátlak,4
soukromého pořadatele nátlak nebylo,4
pořadatele nátlak nebylo tudíž,4
nátlak nebylo tudíž svoboda,4
nebylo tudíž svoboda pořadatele,4
tudíž svoboda pořadatele zpochybňována,4
svoboda pořadatele zpochybňována obránci,4
pořadatele zpochybňována obránci svobody,4
zpochybňována obránci svobody měli,4
obránci svobody měli jeho,4
svobody měli jeho právo,4
měli jeho právo bránit,4
chaotických návrhů jaké daně,4
konference česko čína příležitosti,4
nejvyšší daňové břemeno historii,4
vláda prostřednictvím rozpočtu utratí,4
prostřednictvím rozpočtu utratí příštím,4
rozpočtu utratí příštím roce,4
utratí příštím roce více,4
příštím roce více 100,4
roce více 100 mld,4
více 100 mld kč,4
100 mld kč více,4
mld kč více než,4
kč více než letos,4
více než letos stát,4
než letos stát roste,4
letos stát roste úkor,4
stát roste úkor soukromého,4
roste úkor soukromého sektoru,4
úkor soukromého sektoru stát,4
soukromého sektoru stát otesánek,4
sektoru stát otesánek stále,4
stát otesánek stále více,4
otesánek stále více obaluje,4
stále více obaluje tukem,4
více obaluje tukem pomalý,4
obaluje tukem pomalý neefektivní,4
tukem pomalý neefektivní potřebuje,4
pomalý neefektivní potřebuje redukční,4
neefektivní potřebuje redukční dietu,4
potřebuje redukční dietu další,4
redukční dietu další deficity,4
nárůst mandatorních výdajů více,4
mandatorních výdajů více 7,4
zrušení daně nabytí nemovitosti,4
vládní koalice hnutí ano,4
integrační model založený stále,3
model založený stále hlubší,3
státní rozpočet příští rok,3
hnutí ano čssd podporou,3
ano čssd podporou ksčm,3
stranických akcích slibuje úlevy,3
akcích slibuje úlevy živnostníkům,3
více 80 lidických dětí,3
proti vyloučení vkml ods,3
volný pohyb zboží kapitálu,3
největších plátců daně příjmu,3
ano čssd ksčm piráti,3
dnes budu hostem pořadu,3
zvýšení spotřební daně alkohol,3
ministryně financí alena schillerová,3
návrh rozpočtu příští rok,3
příští rok počítá navýšením,3
budu hostem pořadu události komentáře,6
pořadatel svobodně rozhodl hostesky roky,4
svobodně rozhodl hostesky roky funguje,4
rozhodl hostesky roky funguje teď,4
hostesky roky funguje teď závodem,4
roky funguje teď závodem nemá,4
funguje teď závodem nemá společného,4
teď závodem nemá společného vyvíjí,4
závodem nemá společného vyvíjí soukromého,4
nemá společného vyvíjí soukromého pořadatele,4
společného vyvíjí soukromého pořadatele nátlak,4
vyvíjí soukromého pořadatele nátlak nebylo,4
soukromého pořadatele nátlak nebylo tudíž,4
pořadatele nátlak nebylo tudíž svoboda,4
nátlak nebylo tudíž svoboda pořadatele,4
nebylo tudíž svoboda pořadatele zpochybňována,4
tudíž svoboda pořadatele zpochybňována obránci,4
svoboda pořadatele zpochybňována obránci svobody,4
pořadatele zpochybňována obránci svobody měli,4
zpochybňována obránci svobody měli jeho,4
obránci svobody měli jeho právo,4
svobody měli jeho právo bránit,4
konference česko čína příležitosti limity,4
vláda prostřednictvím rozpočtu utratí příštím,4
prostřednictvím rozpočtu utratí příštím roce,4
rozpočtu utratí příštím roce více,4
utratí příštím roce více 100,4
příštím roce více 100 mld,4
roce více 100 mld kč,4
více 100 mld kč více,4
100 mld kč více než,4
mld kč více než letos,4
kč více než letos stát,4
více než letos stát roste,4
než letos stát roste úkor,4
letos stát roste úkor soukromého,4
stát roste úkor soukromého sektoru,4
roste úkor soukromého sektoru stát,4
úkor soukromého sektoru stát otesánek,4
soukromého sektoru stát otesánek stále,4
sektoru stát otesánek stále více,4
stát otesánek stále více obaluje,4
otesánek stále více obaluje tukem,4
stále více obaluje tukem pomalý,4
více obaluje tukem pomalý neefektivní,4
obaluje tukem pomalý neefektivní potřebuje,4
tukem pomalý neefektivní potřebuje redukční,4
pomalý neefektivní potřebuje redukční dietu,4
neefektivní potřebuje redukční dietu další,4
potřebuje redukční dietu další deficity,4
nárůst mandatorních výdajů více 7,4
hostem pořadu události komentáře čt24,4
vládní koalice hnutí ano čssd,4
integrační model založený stále hlubší,3
hnutí ano čssd podporou ksčm,3
stranických akcích slibuje úlevy živnostníkům,3
dnes budu hostem pořadu události,3
formy státní regulace lidských vztahů,3
koalice hnutí ano čssd spolu,3
hnutí ano čssd spolu ksčm,3
návrhů jaké daně zvýšit či,3
pořadu události komentáře čt24 téma,3
nesouhlasím pirátským návrhem zavedení daně,2
pirátským návrhem zavedení daně prodeji,2
návrhem zavedení daně prodeji firmy,2
zavedení daně prodeji firmy další,2
daně prodeji firmy další impuls,2
prodeji firmy další impuls podnikatelé,2
firmy další impuls podnikatelé opouštěli,2
další impuls podnikatelé opouštěli svými,2
impuls podnikatelé opouštěli svými firmami,2
podnikatelé opouštěli svými firmami česko,2
opouštěli svými firmami česko zakotvili,2
svými firmami česko zakotvili zemi,2
firmami česko zakotvili zemi nechce,2
česko zakotvili zemi nechce trestat,2
zakotvili zemi nechce trestat podnikatele,2
zemi nechce trestat podnikatele vybudovali,2
nechce trestat podnikatele vybudovali následně,2
trestat podnikatele vybudovali následně prodali,2
